"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Réunion","January",-0.069,0.129,-0.472,-0.624,-0.476,-0.327,1.011,-0.451,-0.192,0.806,0.004,-0.107,0.191,-0.711,-0.112,-0.154,0.964,-0.168,0.611,-0.111,0.227,0.056,-0.276,0.032,0.401,0.139,-0.003,0.766,0.354,-0.758,0.981,0.899,1.187,0.336,0.544,0.042,0.341,1.509,0.267,0.276,0.524,0.027,0.921,0.764,0.678,0.192,0.605,0.319,1.332,0.946,0.559,0.553,0.326,0.34,0.803,1.107,1.17,0.934,1.898
"2","Réunion","February",0.476,0.224,0.073,0.471,-0.131,0.268,0.906,-0.146,-0.247,0.601,-0.201,-0.712,0.086,-0.916,-0.117,-0.469,0.209,0.027,0.096,-0.566,0.052,-0.339,0.479,0.117,0.376,-0.116,-0.058,0.561,0.139,-0.673,0.736,0.204,0.062,0.451,0.849,0.207,-0.214,1.104,0.382,0.251,1.039,0.882,0.886,1.159,0.773,0.387,0.9,0.014,1.227,1.241,1.154,0.968,0.751,0.885,0.188,1.352,0.915,1.129,1.493
"3","Réunion","March",0.644,0.442,-0.37,0.738,-1.213,-0.265,0.523,-0.228,0.82,1.018,-0.533,-0.445,0.553,-1.048,-0.45,0.138,0.737,-0.295,-0.487,0.262,0.25,-0.092,0.147,-0.385,0.243,-0.048,0.96,0.598,0.676,-0.175,0.163,-0.009,-0.3,0.338,-0.114,0.015,0.123,0.811,0.14,-0.582,0.876,0.87,1.053,1.327,1.23,0.654,0.168,-0.019,0.695,0.708,0.822,0.195,0.219,0.752,0.456,1.119,1.383,0.946,2.21
"4","Réunion","April",0.964,-0.588,0.21,0.059,-0.693,-0.095,0.694,-0.458,1.04,-0.011,-0.013,-0.125,0.174,-0.328,0.67,NA,0.747,0.085,-0.136,0.342,1.07,-0.261,0.457,-0.645,0.284,0.252,1.12,0.718,0.357,NA,0.193,-0.308,0.58,0.798,0.477,0.225,0.773,0.922,0.75,0.618,1.057,0.56,0.734,1.347,0.661,0.774,0.688,0.801,0.915,1.028,1.342,0.996,0.569,0.723,1.426,1.14,1.353,1.217,2.13
"5","Réunion","May",1.714,-0.837,-0.589,-0.441,-0.742,0.106,0.044,-0.958,0.741,-0.011,-0.213,0.376,0.674,-0.528,0.371,0.539,0.787,0.766,0.254,-0.228,NA,0.009,0.427,-0.644,-0.206,-0.068,0.911,-0.001,0.547,0.476,-0.036,0.362,0.9,0.779,-0.233,-0.075,0.264,1.612,0.51,0.739,1.137,0.821,1.634,0.748,0.761,0.475,1.088,0.102,1.265,1.529,0.942,0.446,0.58,0.773,1.477,0.54,1.254,0.967,1.231
"6","Réunion","June",1.133,-0.619,-0.171,-0.172,-0.724,-0.036,0.263,0.051,0.109,0.058,-0.544,0.344,0.043,-0.359,-0.361,NA,1.086,0.454,0.162,-0.189,NA,0.327,0.786,-0.216,0.402,-0.839,0.489,0.067,0.096,0.394,-0.368,0.201,0.559,0.357,0.006,0.364,0.632,0.871,0.849,0.977,0.286,0.179,0.403,-0.184,0.43,1.043,0.357,-0.43,1.524,1.197,1.511,0.684,-0.002,1.092,1.495,0.459,1.172,1.086,0.999
"7","Réunion","July",0.348,-0.464,-0.055,-0.807,-0.159,0.49,0.368,-0.124,0.174,0.423,-0.429,0.859,0.158,-0.744,0.314,NA,0.841,-0.081,0.378,-0.034,NA,0.073,0.521,-0.541,NA,-0.544,0.854,0.573,0.411,0.189,-0.272,0.116,0.324,1.002,0.901,-0.091,0.217,0.686,0.154,0.842,0.621,0.824,0.318,0.631,0.345,0.158,0.872,0.285,1.309,0.413,1.126,1.16,0.383,1.207,1.01,0.574,1.537,0.651,1.664
"8","Réunion","August",0.158,-0.193,-0.805,-0.697,-0.308,0.25,-0.262,-0.063,-0.315,-0.167,-0.469,0.52,-0.082,0.016,-0.265,NA,0.921,0.41,0.478,-0.444,NA,0.063,0.491,-0.55,0.898,0.616,1.075,0.213,0.281,0.57,0.128,-0.064,0.485,0.613,0.621,0.519,0.478,1.046,0.974,0.753,1.421,0.555,-0.022,1.092,0.705,0.019,0.892,0.546,0.359,0.573,0.986,1.58,0.694,1.207,1.421,0.834,1.798,1.761,1.475
"9","Réunion","September",-0.003,0.245,-0.707,-0.658,-0.31,0.688,-0.273,-0.075,-0.227,-0.078,-0.64,0.058,-0.343,-0.945,-0.487,0.192,0.84,0.478,1.026,-0.015,NA,0.331,-0.24,-0.702,0.226,0.555,0.533,0.321,0.21,1.068,1.146,0.535,-0.137,0.551,0.19,0.208,0.026,1.125,0.483,0.711,1.34,0.473,0.717,0.83,1.064,0.157,0.471,1.184,0.898,0.711,0.625,0.378,1.142,0.956,0.959,0.673,1.686,1.85,1.663
"10","Réunion","October",0.284,0.083,-0.819,-0.521,-0.172,-0.324,-0.046,-0.338,0.361,-0.191,-0.853,0.246,-0.156,-0.258,-0.359,0.969,0.547,0.856,0.654,0.602,NA,0.329,-0.013,0.136,-0.106,0.622,0.701,1.209,0.347,1.206,1.004,1.222,0.13,1.019,0.297,0.475,-0.106,1.152,-0.04,0.449,0.747,0.691,0.804,0.318,0.201,0.045,-0.142,1.072,1.085,1.199,0.712,0.566,1.12,1.993,1.847,1.46,1.974,0.987,2.151
