"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Republic of Korea","January",-1.23,-0.145,-4.087,2.495,-0.425,-0.409,-1.132,-0.335,-0.058,-1.259,0.352,3.409,2.938,0.195,0.689,-0.535,-2.929,1.176,3.312,0.188,-2.953,-0.108,1.148,-2.113,-1.987,-1.302,0.784,1.54,3.254,0.106,1.001,2.68,0.921,1.283,0.835,0.813,-0.067,1.3,2.023,0.902,-0.387,2.771,-0.022,0.987,0.658,2.112,2.639,1.372,0.788,-0.132,-2.93,0.294,-0.293,1.841,1.716,0.558,1.669,-0.639,1.955
"2","Republic of Korea","February",0.127,0.92,-1.513,-1.873,-0.196,1.244,-0.98,-3.188,-1.213,1.041,-0.155,0.282,1.575,-0.918,-0.064,3.024,-1.552,-0.887,2.027,-1.624,-0.669,0.859,-0.873,-2.278,0.848,-1.949,1.282,-0.47,2.672,3.254,-0.166,1.189,1.687,1.201,1.521,-0.663,1.102,3.067,1.381,-0.753,0.73,2.689,2.287,2.752,-0.507,0.907,3.979,-0.335,3.579,1.883,1.742,-1.098,0.083,1.55,1.309,1.211,1.085,-0.692,1.91
"3","Republic of Korea","March",1.212,-0.462,0.604,-0.005,-1.22,0.786,0.646,0.118,-1.284,-3.06,-1.48,0.579,0.2,-0.673,0.044,0.489,0.856,-0.021,1.276,0.539,1.153,1.372,1.106,-1.615,0.221,0.488,0.001,-0.486,1.281,2.335,0.692,2.147,0.67,-0.229,1.186,0.043,1.814,2.321,1.61,1.305,0.719,3.222,1.043,1.577,0.055,0.84,2.082,2.19,1.774,0.144,-0.391,0.381,1.305,2.249,1.184,2.118,1.398,2.701,2.385
"4","Republic of Korea","April",0.423,-1.005,-0.336,2.127,-1.287,-0.043,0.176,0.531,-0.361,-0.336,-0.121,-0.096,1.185,-0.1,0.967,-0.35,1.064,0.602,-0.425,-0.975,0.606,0.288,1.559,0.06,0.264,0.59,-0.109,0.085,2.057,-0.058,0.783,0.733,-0.216,2.505,-0.048,-1.143,0.845,3.384,1.378,0.154,1.593,2.008,1.298,1.692,1.701,-0.111,0.473,1.713,1.112,-1.567,-0.261,1.105,-0.989,1.603,0.952,2.232,2.356,1.653,0.528
"5","Republic of Korea","May",0.205,0.53,-0.597,0.996,0.088,0.356,1.609,-0.542,-0.246,0.436,-0.138,-1.063,-0.209,-0.153,-0.649,-0.754,0.068,0.896,-0.646,-0.251,-0.592,1.01,0.568,0.327,0.627,0.012,0.063,0.351,0.729,-0.193,-0.079,-0.622,0.211,0.553,-0.566,0.276,0.407,1.321,0.298,0.083,1.627,0.339,0.884,0.741,0.199,0.233,0.95,0.461,1.385,0.182,0.326,1.484,0.929,1.217,1.233,1.739,1.94,0.766,1.928
"6","Republic of Korea","June",0.667,-0.157,-0.716,0.1,0.404,-0.373,0.706,-0.025,-0.825,-0.913,0.225,0.194,0.042,-1.145,-0.022,-0.415,0.209,0.855,0.774,0.829,0.166,0.394,0.356,0.934,0.074,0.342,0.451,0.8,-0.489,0.614,1.339,-0.568,0.127,0.658,-0.313,0.471,1.49,-0.167,1.157,1.028,1.221,0.729,0.576,1.37,1.942,0.478,1.039,-0.108,0.981,1.48,0.989,1.422,1.715,0.883,1.195,1.584,1.231,1.539,0.735
"7","Republic of Korea","July",1.834,0.408,-0.014,0.815,-0.744,-0.415,0.52,-0.164,-0.813,-1.099,0.414,0.04,1.893,-2.113,0.312,-1.849,1.297,2.082,-0.449,-1.838,1.11,-0.602,-0.921,0.305,0.782,-1.54,-0.69,-0.337,-0.52,0.839,-0.183,0.563,-2.184,3.311,0.011,-0.408,0.59,-0.025,-0.394,1.133,1.226,-0.079,-1.894,0.86,0.673,-1.089,-0.704,1.36,-0.899,0.814,0.412,0.725,1.643,0.343,-0.044,1,2.158,2.098,0.46
"8","Republic of Korea","August",1.103,-0.184,0.165,1.07,-0.346,1.41,1.913,-0.684,-0.111,0.367,-0.737,-1.635,0.98,-0.215,0.892,-0.84,-1.582,0.794,-0.253,-3.048,-0.984,0.021,0.483,1.219,1.053,-0.472,-0.756,0.186,-0.509,1.39,-1.184,-0.68,-2.818,1.69,1.27,0.126,0.296,-0.044,-0.44,0.221,0.243,-1.077,-1.108,-0.107,0.224,1.249,0.988,-0.496,-0.727,1.455,-0.232,0.964,1.931,-1.512,0.236,1.736,0.467,2.279,1.062
"9","Republic of Korea","September",1.299,-0.126,-0.167,0.515,-0.173,-0.582,0.339,0.008,0.334,0.845,-0.203,-1.197,-0.394,-0.396,2.189,-1.208,0.973,0.422,-0.59,-1.258,-0.826,-0.711,1.436,-0.155,0.78,-0.943,-0.792,0.469,0.231,0.933,0.574,0.261,-0.17,0.592,-0.699,0.634,-0.398,1.952,1.914,-0.568,0.766,0.072,0.723,0.814,1.516,-0.449,1.124,1.179,0.637,1.561,0.633,-0.11,0.971,0.489,0.607,1.371,0.712,0.392,1.478
"10","Republic of Korea","October",1.51,-0.494,-0.746,0.037,0.517,0.596,0.302,-1.016,-0.661,0.636,-1.229,-0.281,-0.947,-0.774,1.135,-0.237,2.207,0.255,1.203,-0.93,-0.981,1.211,0.548,-0.443,0.91,-1.322,1.43,0.753,-0.287,0.909,-0.216,-0.196,-0.892,0.925,0.91,0.368,-0.487,2.392,0.345,0.498,1.742,-0.683,-0.21,0.569,0.542,2.92,0.951,1.87,1.473,0.478,0.003,0.581,1.414,0.698,1.049,1.516,1.086,-0.678,1.701
