"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Republic of Moldova","January",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.828,2.697,5.256,0.826,-3.143,-1.3,3.479,2.685,-0.359,3.886,1.392,0.565,-0.234,4.273,-3.088,7.037,1.746,1.746,-1.851,1.294,1.011,1.306,1.946,2.935,0.238,-1.18,2.662,1.015
"2","Republic of Moldova","February",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.023,0.613,0.615,5.643,-2.942,1.898,4.083,2.427,3.276,2.415,6.522,-2.915,1.568,-0.968,-1.473,2.186,3.776,3.114,0.886,-1.148,-5.785,3.446,1.345,2.489,6.726,1.456,0.625,4.215
"3","Republic of Moldova","March",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.492,-0.592,2.808,2.312,-3.898,1.186,0.37,2.63,2.04,3.706,4.416,-1.213,3.264,-0.375,0.29,4.082,4.576,1.679,1.538,0.98,1.94,-0.142,5.382,2.838,4.119,5.372,-1.231,4.773
"4","Republic of Moldova","April",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.205,-1.093,2.236,0.245,-0.536,-2.846,2.898,1.705,3.303,1.137,0.186,-1.239,0.749,0.402,0.588,0.168,1.36,0.954,0.986,0.048,3.05,2.433,1.434,0.331,3.485,0.118,4.655,0.708
"5","Republic of Moldova","May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.072,1.044,0.843,-0.939,3.12,1.459,-0.195,-1.151,1.216,-0.401,1.598,4.24,-0.775,1.473,-0.267,2.891,-0.169,0.778,1.622,0.972,3.409,3.437,1.145,1.484,0.373,0.443,3.195,1.668
"6","Republic of Moldova","June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2,-0.705,-0.85,1.405,1.019,0.307,1.488,2.777,0.304,-1.235,0.786,1.166,-0.459,-0.799,-0.039,2.812,0.974,1.614,1.517,1.085,3.138,1.939,-0.127,1.41,1.979,1.765,2.325,4.335
"7","Republic of Moldova","July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.103,-1.554,1.719,1.599,0.088,-0.384,0.683,2.856,0.503,3.506,3.47,0.566,0.344,0.894,0.519,3.357,0.845,2.266,2.543,1.776,4.304,0.495,1.617,2.411,2.038,1.001,1.567,1.032
"8","Republic of Moldova","August",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.65,-0.319,0.972,0.32,-0.054,-0.773,0.423,0.816,1.723,2.516,0.854,1.536,0.33,1.034,1.26,2.656,2.379,0.848,4.267,0.898,2.513,1.504,2.132,3.07,2.154,2.822,3.381,2.544
"9","Republic of Moldova","September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.927,-1.21,4.064,-0.394,-3.035,-2.428,-0.069,1.382,-1.085,0.58,0.472,-0.317,-0.082,1.604,0.87,0.24,-0.902,1.896,0.352,2.364,2.573,-1.344,1.552,3.756,2.345,2.461,1.973,2.104
"10","Republic of Moldova","October",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166,0.95,0.392,-0.028,0.231,-1.763,0.477,0.358,0.581,1.616,-0.145,-0.703,1.393,0.37,1.266,0.896,1.902,1.404,-2.218,-0.845,2.77,0.495,-0.501,-0.39,-1.652,0.852,2.941,2.313
"11","Republic of Moldova","November",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.238,-6.639,-1.14,-3.847,3.69,0.198,-3.946,-1.744,3.645,-1.007,1.854,1.069,0.897,-0.267,1.338,-1.632,0.937,1.953,5.727,-1.793,1.736,3.717,-0.554,2.317,-0.763,1.131,-1.653,3.8
"12","Republic of Moldova","December",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.873,2.036,-0.471,-3.332,-1.575,-0.623,-4.378,1.724,2.726,-5.081,-6.17,0.701,2.231,1.619,3.026,0.031,2.022,-0.362,-1.167,3.028,-2.378,0.646,0.456,3.109,-0.228,3.764,-0.331,4.163
