"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Romania","January",-0.164,1.81,-6.143,-3.927,1.7,-0.927,-2.482,-1.314,-3.417,1.203,2.606,-0.249,0.016,0.162,3.272,1.073,1.323,0.546,0.013,-2.389,-0.802,-0.616,3.956,2.741,-3.8,2.345,-2.706,3.726,2.185,1.113,2.254,1.022,1.463,4.497,0.349,-0.683,0.381,3.317,2.357,-1.54,3.564,1.063,0.872,-0.729,2.754,-1.808,6.631,1.368,1.514,-0.305,1.081,1.134,1.764,3.608,2.896,0.546,-2.68,3.59,1.186
"2","Romania","February",1.07,-1.159,-1.901,-2.025,-4.452,5.11,-0.914,2.209,-0.981,0.141,1.154,1.462,2.128,3.46,-0.3,-3.048,4.82,-0.124,0.406,-0.024,0.092,-2.145,-0.247,-0.597,-6.913,-2.744,-0.098,1.504,3.472,4.494,-2.113,0.468,-1.882,1.457,4.982,-2.526,1.505,3.365,0.67,2.204,2.368,5.825,-4.132,1.078,-2.273,-0.819,3.524,3.012,1.606,1.086,-0.809,-5.22,2.789,3.19,1.568,6.388,2.201,0.826,3.258
"3","Romania","March",2.669,-1.974,-2.377,-1.807,0.186,1.057,1.348,0.339,-2.674,0.548,-1.293,1.71,-1.161,1.708,3.458,-1.884,2.835,1.715,2.632,-0.908,2.623,-0.166,2.362,-1.097,-1.226,-0.062,-4.939,0.355,3.565,4.757,1.616,1.304,-1.223,3.031,1.312,-4.027,-0.045,-0.92,1.935,1.115,4.101,3.482,-0.979,1.762,-1.097,0.156,3.405,3.146,1.078,1.162,0.865,1.742,0.066,4.336,1.706,2.814,4.436,-0.213,3.932
"4","Romania","April",2.689,0.956,-0.157,0.437,-2.376,2.124,0.06,2.602,-1.148,1.067,-0.02,2.413,-0.066,-1.882,0.735,0.701,-0.708,-0.513,-0.984,-1.605,-1.139,-2.027,2.432,-1.093,0.952,2.452,-1.15,-0.985,3,0.518,-0.738,0.597,-0.586,1.617,-0.07,-0.297,-3.536,2.395,1.421,3.19,0.475,0.022,-1.049,1.046,0.389,1.402,0.842,1.424,2.117,0.949,0.418,2.425,2.365,1.379,0.035,3.148,0.01,5.036,1.254
"5","Romania","May",-1.394,0.627,1.116,-1.338,-1.06,0.057,0.619,2.509,2.325,-1.381,1.531,0.469,0.493,-1.286,1.572,-0.686,0.263,-1.537,1.206,-1.925,-0.699,1.03,2.004,0.549,2.023,1.705,-1.176,0.308,-0.532,0.143,-2.267,-0.691,1.488,0.967,-0.563,2.692,1.261,-0.136,-0.26,1.711,0.757,2.162,4.049,-0.73,1.109,0.311,2.664,0.773,1.356,1.213,0.612,1.839,2.64,0.447,1.624,0.174,0.828,3.49,0.421
"6","Romania","June",0.756,-0.994,0.616,2.313,0.1,-1.302,-0.945,0.84,-0.718,-0.254,-0.671,1.084,-0.731,-1.455,0.506,-1.7,-0.539,-0.835,1.942,-0.819,1.401,0.266,-0.649,-1.553,-1.434,0.159,0.506,-0.401,-1.255,-0.302,0.259,0.188,0.286,0.069,0.831,1.287,0.602,1.354,1.817,1.111,-0.853,1.503,2.503,0.069,-0.639,0.275,2.755,1.556,1.106,1.133,1.159,2.869,1.452,0.084,1.107,2.283,2.211,2.061,3.712
"7","Romania","July",-0.544,-0.665,1.533,-0.102,0.053,0.275,0.848,-0.546,-1.39,0.504,-0.952,0.962,-0.076,-1.118,0.158,-0.433,-0.328,-1.438,-1.909,-0.761,-0.683,-0.832,0.661,-1.771,-0.4,-0.836,2.169,2.189,-0.155,0.26,0.952,0.231,-0.429,1.832,1.876,-0.165,-0.325,0.951,2.024,1.007,2.167,2.856,1.219,0.695,0.714,1.328,3.146,0.796,1.909,1.929,1.381,4.372,1.02,1.248,2.766,1.941,1.553,1.429,1.167
"8","Romania","August",-0.058,1.716,1.941,-1.18,-1.758,0.427,0.681,-1.251,-0.035,-0.388,0.89,-0.316,-0.833,0.811,-0.441,-3.161,-0.627,-1.604,-0.934,-1.082,-0.58,0.26,-0.44,-1.236,0.787,1.404,-1.427,1.055,0.727,0.472,-0.386,3.806,0.823,1.615,0.157,0.276,-0.611,1.05,0.968,2.103,2.41,0.615,2.62,0.557,0.427,0.649,2.352,2.34,1.601,2.976,1.652,2.83,2.347,1.476,3.019,1.504,3.041,3.264,2.972
"9","Romania","September",0.497,-0.093,1.667,-0.58,1.297,-0.241,1.532,0.228,0.261,-0.599,-2.039,-2.192,0.898,0.835,1.979,-1.082,-1.918,-1.627,0.729,-1.142,0.55,2.74,0.602,1.31,-0.619,0.686,2.178,0.201,-0.372,-1.184,0.351,-0.498,-0.418,4.253,-0.66,-2.77,-1.594,-0.715,1.617,-0.495,0.115,-0.122,-0.269,-0.086,1.054,0.994,-0.651,-0.613,1.68,0.175,3.21,2.93,-0.839,1.064,2.871,2.086,1.498,1.799,1.903
"10","Romania","October",0.875,0.51,0.067,1.408,-1.012,4.171,2.179,-0.521,-0.309,-1.581,-1.585,-2.39,-0.494,-0.027,-0.259,-0.222,-0.198,-0.074,-1.716,1.125,1.888,1.061,-0.505,2.351,-1.141,-0.797,-0.708,-1.145,0.294,0.725,0.014,0.69,2.018,-0.074,0.441,0.151,-2.259,0.989,0.457,1.239,2.353,0.176,-1.341,1.868,0.334,1.73,0.357,1.7,0.918,-2.149,-0.823,2.472,1.118,0.672,-0.023,-1.124,0.821,2.816,2.708
