"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Russian Federation","January",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.74,3.579,0.372,3.712,1.124,0.608,0.506,0.531,-0.012,-0.831,2.732,1.782,2.457,3.534,-2.683,6.692,1.638,2.229,-1.021,1.575,1.464,0.225,-0.55,3.17,2.137,2.617,2.623,2.897
"2","Russian Federation","February",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.719,4.337,0.101,7.221,2.383,2.644,0.845,3.076,4.136,0.184,4.685,1.726,2.065,0.476,0.829,0.09,4.272,-0.654,-1.362,0.167,1.124,1.504,1.658,5.269,5.81,4.258,2.953,3.723
"3","Russian Federation","March",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.756,2.746,1.44,3.066,1.707,3.332,1.866,-2.806,2.529,1.175,5.054,2.774,1.476,1.301,1.276,3.197,5.204,1.629,0.458,4.411,0.637,-0.937,5.171,4.251,4.544,7.389,0.401,5.23
"4","Russian Federation","April",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.695,0.137,0.876,2.836,-0.186,4.257,-0.742,0.39,3.306,1.322,1.156,1.334,-0.125,1.717,-1.423,4.077,1.054,2.183,0.948,3.863,3.197,2.59,3.815,2.292,3.84,2.864,2.431,3.114
"5","Russian Federation","May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.324,0.424,0.311,1.04,0.977,1.339,-0.188,0.558,1.158,1.988,1.288,1.536,0.973,2.212,0.804,1.76,1.205,1.015,2.552,2.028,2.644,2.515,1.997,2.026,1.72,0.383,0.981,2.003
"6","Russian Federation","June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.778,0.468,0.934,0.717,-0.036,0.477,1.178,0.345,1.511,1.283,1.167,0.365,0.542,1.247,1.891,0.596,1.1,0.947,1.596,1.977,2.711,1.526,0.981,2.041,1.934,1.162,1.675,1.771
"7","Russian Federation","July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.472,0.63,-0.006,0.222,0.827,-0.476,1.49,1.247,0.577,1.349,1.095,0.829,0.455,1.093,0.282,1.121,0.738,0.301,1.767,1.274,1.552,0.937,0.091,0.601,1.56,0.462,0.886,0.535
"8","Russian Federation","August",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.296,-0.043,-0.155,1.212,-0.566,0.417,1.129,-0.221,0.898,1.097,0.464,1.372,0.152,0.824,0.508,1.825,1.102,0.432,1.276,0.725,0.483,1.111,1.422,0.813,1.956,1.547,1.254,1.036
"9","Russian Federation","September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.719,-0.904,0.89,0.706,-1.444,0.189,-0.836,-0.11,0.069,-0.145,0.214,1.276,0.867,1.809,1.396,1.546,0.33,1.593,0.504,0.719,1.595,-0.22,0.074,1.144,1.973,0.377,1.754,0.849
"10","Russian Federation","October",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.454,0.181,2.709,2.263,0.681,2.632,-0.455,1.369,-0.047,0.313,0.337,2.112,0.64,2.915,0.334,2.843,3.371,2.187,1.773,3.242,2.085,0.845,-0.125,1.04,0.645,1.06,4.143,2.642
