"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Rwanda","January",0.05,-0.386,-0.186,0.302,-0.566,-0.043,-0.008,-0.036,-0.042,0.069,0.046,-0.302,0.761,-0.302,NA,-0.286,NA,NA,0.684,NA,NA,-1.766,NA,NA,NA,-0.187,0.122,-0.766,-0.521,-0.716,-1.066,0.234,NA,NA,NA,NA,NA,NA,-0.716,-2.866,0.247,NA,1.213,0.684,NA,1.344,0.841,0.934,NA,NA,0.894,NA,1.453,NA,NA,NA,NA,NA,NA
"2","Rwanda","February",-0.48,-0.216,-0.494,0.005,-0.427,0.059,-0.028,-0.175,0.021,0.531,-0.205,-0.114,1.491,-0.089,NA,-0.47,NA,NA,0.39,NA,0.94,0.74,1.19,NA,NA,NA,0.151,-0.78,-0.91,0.09,-0.11,-0.16,NA,NA,0.176,NA,NA,1.74,-0.16,-1.41,0.92,NA,1.619,0.549,NA,1.92,1.103,-0.1,0.757,1.609,1.32,1.023,NA,NA,NA,NA,NA,NA,NA
"3","Rwanda","March",-0.306,-0.39,-0.457,0.316,-0.382,0.208,-0.008,-0.396,0.483,0.451,-0.057,0.186,0.627,0.375,NA,-0.259,NA,0.131,NA,NA,NA,NA,NA,NA,NA,0.277,0.477,NA,-0.523,NA,0.577,NA,NA,NA,0.971,NA,NA,NA,NA,NA,NA,-0.402,0.927,1.527,NA,NA,1.357,-0.339,NA,1.307,0.481,NA,NA,NA,NA,NA,NA,NA,NA
"4","Rwanda","April",-0.017,-0.157,-0.076,-0.203,-0.286,-0.037,0.189,-0.003,0.459,0.562,-0.412,0.191,0.491,0.14,NA,NA,NA,0.148,NA,NA,0.988,0.438,1.238,NA,-0.247,0.851,0.58,0.068,-0.171,0.138,-0.562,-0.112,NA,-0.266,0.738,NA,NA,0.638,NA,NA,0.445,0.343,0.501,0.544,NA,0.318,0.861,-0.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Rwanda","May",0.343,-0.285,0.839,0.038,-0.547,0.07,-0.272,-0.265,0.24,0.061,-0.312,0.165,0.193,-0.303,NA,NA,NA,0.779,NA,NA,0.724,NA,0.993,NA,NA,0.574,0.643,0.654,-0.35,-0.026,-0.726,-0.726,NA,0.317,0.674,0.324,NA,0.874,NA,1.519,NA,0.015,0.553,0.368,1.799,NA,NA,0.949,0.217,NA,0.859,NA,0.957,NA,NA,NA,NA,NA,NA
"6","Rwanda","June",0.156,-0.079,-0.009,0.052,-0.394,0.087,-0.294,-0.096,0.394,0.145,-0.403,0.556,0.393,0.203,0.159,NA,NA,NA,0.384,0.984,NA,0.834,0.912,NA,NA,-0.231,0.042,0.714,-0.036,0.784,0.434,0.284,NA,NA,-0.327,NA,NA,0.734,NA,1.449,0.011,0.291,0.081,0.083,1.879,1.139,0.213,NA,0.383,NA,1.319,0.413,NA,NA,NA,NA,NA,NA,NA
"7","Rwanda","July",0.23,-0.107,-0.076,-0.556,0.031,0.438,-0.161,-0.128,0.334,0.397,0.059,0.379,0.279,-0.371,NA,NA,NA,0.545,NA,NA,NA,0.888,0.851,-0.055,NA,1.688,0.944,0.768,0.888,1.138,0.038,0.038,0.038,0.545,1.138,0.988,NA,0.538,NA,1.775,0.109,0.957,-0.515,-0.181,NA,2.095,0.485,NA,0.648,NA,1.235,NA,NA,NA,NA,NA,NA,NA,NA
"8","Rwanda","August",0.22,-0.593,-0.028,-0.515,0.004,0.287,-0.362,-0.064,0.237,0.054,-0.009,0.356,0.267,-0.059,-0.093,NA,NA,0.147,1.755,NA,NA,0.255,0.269,-1.001,NA,0.039,0.148,0.177,0.555,0.855,-0.045,0.355,0.055,-0.18,NA,1.055,NA,0.155,0.641,1.127,-0.701,0.636,0.099,0.375,NA,1.317,0.177,NA,0.526,NA,0.157,NA,0.269,NA,NA,NA,NA,NA,NA
"9","Rwanda","September",0.298,-0.378,0.206,-0.235,-0.007,-0.099,-0.451,0.144,0.27,-0.004,-0.411,0.539,0.566,-0.181,0.197,NA,NA,0.177,NA,NA,NA,1.417,0.014,-0.843,NA,0.245,0.427,0.137,0.217,NA,0.667,0.317,NA,1.637,NA,0.717,1.967,-0.733,NA,2.214,-1.193,0.839,0.157,0.105,NA,1.367,0.757,NA,1.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Rwanda","October",-0.471,-0.494,0.219,-0.457,0.104,-0.432,-0.5,0.159,0.009,0.09,-0.148,0.587,0.405,0.153,-0.856,0.754,NA,0.614,NA,NA,NA,-0.151,-0.683,-0.701,NA,0.225,-0.277,-0.203,-0.401,0.549,-1.001,-0.751,1.654,NA,NA,0.549,1.399,NA,NA,0.664,-0.901,0.675,0.049,1.465,NA,NA,0.218,0.644,NA,NA,0.159,NA,NA,NA,NA,NA,NA,NA,NA
"11","Rwanda","November",-0.539,-0.008,-0.208,-0.48,-0.207,0.004,-0.573,0.182,0.249,0.504,0.16,0.508,0.35,0.381,NA,NA,NA,0.121,NA,NA,NA,0.042,0.166,-0.672,NA,-0.149,-0.258,0.122,-0.108,0.642,0.042,NA,NA,NA,NA,NA,0.542,0.242,NA,1.017,NA,0.254,0.728,0.424,NA,NA,0.777,0.616,NA,1.266,0.272,0.772,0.628,NA,NA,NA,NA,NA,NA
"12","Rwanda","December",0.05,-0.006,0.325,-0.77,-0.06,-0.203,0.052,-0.127,0.157,-0.459,-0.491,0.639,0.026,-0.091,-0.327,NA,NA,0.143,NA,NA,1.065,NA,-0.137,-0.209,NA,-0.072,1.025,-0.105,NA,0.165,0.165,NA,NA,NA,NA,0.065,0.215,NA,-1.685,0.993,0.391,0.242,0.12,0.54,2.473,0.423,0.617,1.711,0.921,0.663,1.193,0.945,1.121,NA,NA,NA,NA,NA,NA
