"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Saint Helena, Ascension and Tristan da Cunha","January",0.321,-0.115,-0.196,0.635,0.034,-0.437,0.011,0.498,-0.415,-0.714,-0.135,0.172,-0.458,0.126,1.085,0.586,-0.456,0.481,-0.699,0.806,0.725,-0.154,-1.01,0.778,-0.678,0.827,-0.336,1.103,0.044,0.702,0.494,0.494,0.624,1.145,0.255,1.522,0.653,0.751,1.554,1.452,1.678,0.657,1.213,0.643,1.894,1.199,1.88,2.255,1.43,1.427,2.253,1.08,2.065,1.462,2.347,2.188,0.979,1.678,1.686
"2","Saint Helena, Ascension and Tristan da Cunha","February",-0.035,0.362,0.133,0.227,-0.302,0.34,0.405,0.791,-0.627,-0.506,-0.376,0.065,-0.492,0.695,0.822,0.231,-0.614,-0.269,-0.635,0.787,0.186,-0.254,-0.058,0.663,0.169,0.844,-1.098,-0.066,0.125,0.421,0.015,-1.655,0.235,0.76,0.357,0.497,0.692,1.642,2.088,1.687,1.656,1.66,0.993,1.548,1.539,1.554,1.359,1.585,2.565,1.424,1.28,1.227,1.371,1.02,2.076,1.262,1.272,2.082,2.825
"3","Saint Helena, Ascension and Tristan da Cunha","March",0.683,0.292,0.108,0.359,-0.323,-0.38,0.126,0.117,0.224,-0.508,-0.65,0.477,-0.37,0.184,0.659,0.547,1.038,-0.892,-0.308,0.343,1.622,0.358,2.05,0.769,0.085,1.501,0.226,0.244,-0.102,1.046,2.218,-0.062,1.238,0.985,1.295,0.912,1.908,1.7,1.34,1.216,1.574,1.704,1.421,1.51,1.813,1.624,1.369,1.691,1.69,1.627,1.421,1.943,1.71,1.427,1.996,1.447,1.611,2.46,1.628
"4","Saint Helena, Ascension and Tristan da Cunha","April",0.367,0.093,0.761,-0.02,-0.055,-0.151,-0.226,0.037,-0.317,0.191,-0.293,-0.181,-0.352,0.828,0.66,0.433,0.272,0.269,0.26,-0.262,-0.91,0.628,1.524,0.15,-0.01,0.399,-0.063,0.748,1.048,1.375,1.103,-0.913,-0.012,1.097,0.765,0.778,0.98,0.824,1.148,1.457,1.363,0.205,1.473,0.663,1.394,2.018,1.285,2.383,2.162,1.256,2.063,1.749,1.173,1.526,2.559,1.357,1.157,1.733,1.538
"5","Saint Helena, Ascension and Tristan da Cunha","May",0.267,0.22,0.193,-0.261,0.052,0.279,-0.565,0.42,0.493,-0.625,-0.182,0.253,0.281,0.437,-0.333,-0.011,0.023,0.463,0.88,-0.817,-0.565,-1.31,-0.232,0.518,2.239,1.442,0.804,0.775,-0.145,0.839,0.275,1.062,-0.265,0.756,1.155,0.524,0.741,0.785,1.822,1.955,-0.302,1.344,1.793,1.101,0.958,1.122,1.413,0.309,1.785,0.398,1.425,1.106,1.216,0.517,1.661,1.619,1.117,1.618,1.255
"6","Saint Helena, Ascension and Tristan da Cunha","June",0.174,-0.478,-0.034,-0.152,-0.623,0.557,-0.894,0.204,0.324,-0.539,-0.575,0.672,-0.014,-0.108,0.246,0.19,-0.199,1.164,0.126,0.06,0.721,-0.185,0.197,0.824,0.975,0.447,0.96,0.085,0.855,1.494,0.185,0.849,1.347,0.664,1.319,0.713,0.25,0.946,1.228,0.631,0.536,1.319,1.474,1.077,1.35,2.214,0.791,0.32,2.176,1.246,1.24,1.401,1.176,1.015,2.439,1.562,1.158,1.776,0.963
"7","Saint Helena, Ascension and Tristan da Cunha","July",0.344,-0.038,-0.23,-0.348,0.004,0.331,-0.557,-0.087,0.176,-0.085,-0.273,0.805,-0.403,-0.201,0.176,0.41,-0.546,0.551,0.195,0.304,-0.457,1.666,0.6,0.718,0.628,0.926,0.887,0.226,0.556,0.667,0.935,-0.144,0.236,2.05,1.235,0.723,1.207,2.224,0.572,1.035,0.688,0.899,1.746,2.045,1.81,1.528,2.242,0.318,2.283,0.959,1.89,1.839,1.547,0.945,3.645,1.446,1.254,1.142,1.873
"8","Saint Helena, Ascension and Tristan da Cunha","August",0.128,-0.173,-0.336,-0.183,-0.131,0.05,-0.707,-0.053,0.205,0.456,0.175,0.745,-0.213,0.248,0.84,0.457,-0.568,-0.499,-0.39,0.028,0.249,1.22,0.876,1.072,0.824,0.751,0.75,0.17,-0.03,1.273,0.63,0.5,1.49,1.289,0.107,-0.23,1.086,0.743,1.49,2.44,0.782,1.22,1.191,1.803,0.952,1.554,0.251,1.358,1.3,1.138,0.857,0.717,0.881,1.25,1.581,1.851,1.967,1.351,2.163
"9","Saint Helena, Ascension and Tristan da Cunha","September",-0.389,-0.359,-0.234,-0.274,-0.199,0.428,-0.125,0.242,0.254,-0.383,-0.136,0.994,-0.219,-0.269,0.059,-0.033,0.585,-0.594,0.639,0.722,-0.091,-0.375,0.259,-0.144,-0.371,0.654,1.247,-0.15,-0.43,0.368,0.08,1.29,1.085,0.83,0.709,-0.109,1.523,1.066,1.313,1.129,0.324,1.297,1.853,1.987,1.025,1.571,0.128,0.092,1.354,0.986,1.51,1.31,0.523,1.242,1.995,1.55,1.608,0.935,2.181
"10","Saint Helena, Ascension and Tristan da Cunha","October",-0.387,-0.165,0.1,-0.307,0.292,0.403,-0.564,0.135,0.209,0.113,0.022,0.819,0.135,0.051,-0.008,0.542,-0.135,0.16,-0.098,0.43,-0.466,-0.036,1.151,1.578,0.157,0.62,0.826,1.902,-1.398,1.348,0.302,1.242,1.282,1.598,1.092,0.653,1.162,2.292,1.285,1.345,1.018,1.172,1.919,2.163,1.336,1.407,2.22,1.244,1.98,1.28,0.836,1.378,1.467,1.648,1.591,1.434,1.567,1.703,1.727
