"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Saint Kitts and Nevis","January",0.656,0.534,0.451,0.073,-0.816,0.57,0.143,-0.526,-0.069,0.688,0.011,-0.239,0.494,-0.06,-0.529,-0.957,0.401,-0.239,-0.335,0.349,1.133,0.526,0.416,0.147,-0.367,0.05,0.213,0.679,-0.155,0.599,0.546,NA,-0.018,0.624,0.453,0.682,0.389,1.29,0.507,-0.015,NA,1.293,NA,0.287,0.418,0.566,0.401,-0.061,0.559,0.774,0.888,0.319,0.836,1.01,1.279,1.068,0.615,1.311,0.475
"2","Saint Kitts and Nevis","February",0.41,-0.365,0.377,0.865,-0.616,0.327,0.133,-0.398,-0.389,0.222,-0.506,-0.335,-0.147,-0.335,-0.66,-1.014,0.557,0.243,0.168,0.634,0.668,0.319,-0.004,0.091,-0.203,-0.795,0.104,0.15,-0.426,-0.251,0.706,NA,0.051,0.393,0.804,0.61,0.459,1.493,-0.627,-0.207,NA,-0.139,NA,0.555,-0.192,0.413,0.894,0.138,0.528,1.642,0.471,0.381,0.519,0.651,1.403,1.33,0.963,0.247,0.825
"3","Saint Kitts and Nevis","March",-0.265,0.231,0.469,0.424,0.073,0.114,-0.905,-0.616,0.617,-0.006,-0.236,-0.26,0.232,-0.456,-0.535,-1.297,0.304,0.305,-0.267,0.21,0.883,-0.345,0.992,-0.104,-0.579,-0.16,0.113,0.007,-0.331,-0.234,0.498,NA,0.261,0.238,-0.051,0.481,0.061,1.239,0.355,-0.714,NA,0.626,NA,0.297,1.047,0.121,0.995,-0.529,-0.3,2.315,-0.209,0.339,0.67,0.372,0.704,0.785,0.804,0.686,0.862
"4","Saint Kitts and Nevis","April",0,-0.224,0.273,-0.207,-0.605,0.014,-0.867,-1.012,0.961,0.452,-0.112,-0.128,0.124,-0.856,-0.52,-0.746,-0.264,0.402,0.002,0.536,0.031,0.1,0.275,-0.1,-0.522,0.206,1.59,0.441,-0.413,0.089,-0.004,NA,0.447,0.268,0.332,0.123,0.05,0.96,0.351,0.132,NA,0.304,NA,0.85,1.664,0.802,1.053,-0.352,0.112,1.177,0.12,0.497,0.694,0.733,0.645,1.176,0.486,0.512,0.294
"5","Saint Kitts and Nevis","May",0.116,-0.259,-0.18,0.245,-0.173,-0.243,-0.472,-0.126,0.667,0.103,-0.679,-0.671,0.48,-0.784,-0.604,-0.512,0.047,0.012,0.071,1.19,0.45,0.128,0.522,-0.508,-0.093,-0.243,0.439,0.431,-0.331,0.21,0.052,NA,0.154,0.43,0.986,-0.047,0.425,0.942,1.012,0.106,NA,0.319,NA,0.054,1.171,0.873,1.24,0.073,0.36,1.515,0.491,0.258,0.582,0.13,0.816,1,0.666,0.1,0.614
"6","Saint Kitts and Nevis","June",0.052,-0.073,0.175,0.11,-0.513,-0.214,-0.278,-0.568,0.451,-0.326,-0.351,-0.064,0.121,-0.318,-0.328,-0.768,0.264,-0.066,0.292,0.679,0.189,0.195,0.603,-0.432,-0.018,-0.249,0.472,0.324,-0.262,0.034,0.345,NA,0.684,0.107,0.574,-0.112,0.698,0.773,0.595,0.292,NA,0.593,0.23,0.488,0.633,0.469,1.096,0.401,0.496,0.613,0.942,0.875,0.366,0.602,0.722,0.742,0.308,0.441,0.731
"7","Saint Kitts and Nevis","July",-0.217,0.201,0.208,0.018,-0.27,-0.14,-0.208,-0.235,-0.126,-0.234,-0.244,-0.004,0.312,-0.242,-0.256,-0.195,0.308,-0.042,-0.098,0.501,0.151,0.012,0.554,-0.436,0.037,-0.276,0.547,0.212,0.292,0.141,0.501,NA,0.41,0.274,1.056,-0.096,0.415,0.804,0.414,0.641,NA,0.508,0.417,-0.149,0.611,0.473,1.016,0.547,0.814,0.919,0.253,0.631,0.493,0.353,0.887,0.907,0.854,0.632,1.104
"8","Saint Kitts and Nevis","August",0.089,-0.074,0.464,0.078,-0.349,-0.049,-0.237,0.165,0.001,-0.331,-0.49,-0.237,0.246,-0.194,-0.268,-0.206,-0.489,-0.165,0.243,0.582,0.305,0.028,0.477,0.182,0.18,-0.034,0.675,-0.307,-0.164,0.341,0.611,NA,0.613,0.425,0.771,0.289,0.566,0.927,0.439,0.371,NA,NA,0.539,0.693,0.587,0.204,0.504,0.74,0.854,0.84,0.376,0.462,0.65,0.47,0.787,0.967,0.946,0.504,1.049
"9","Saint Kitts and Nevis","September",0.372,0.191,0.47,0.253,-0.181,-0.064,-0.101,0.306,0.108,-0.345,-0.17,-0.172,-0.239,-0.663,-0.162,-0.077,-0.353,0.211,-0.585,0.555,0.343,-0.17,0.538,-0.147,-0.019,-0.057,0.668,0.345,-0.231,0.252,0.451,NA,0.244,-0.119,0.191,0.067,0.533,0.769,0.617,0.223,NA,NA,0.854,0.348,1.098,0.588,0.365,0.346,0.299,0.778,0.394,0.975,0.923,0.533,0.938,0.738,0.835,0.691,1.229
"10","Saint Kitts and Nevis","October",-0.153,0.128,0.394,-0.047,-0.074,0.32,-0.146,0.216,0.266,-0.329,-0.284,-0.193,-0.008,-0.462,-0.597,-0.112,-0.114,-0.229,0.072,0.656,0.225,-0.238,0.369,-0.492,-0.739,0.077,0.862,0.159,-0.063,0.189,-0.079,NA,0.322,0.043,0.412,0.345,0.595,0.681,0.315,0.409,NA,NA,0.519,0.517,0.484,0.751,-0.166,0.044,0.63,0.2,0.683,0.557,0.921,0.864,1.496,1.255,0.764,0.354,0.859
