"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Saint Lucia","January",0.524,-0.071,0.294,0.064,-0.491,0.756,-0.094,-0.576,-0.286,0.617,0.107,-0.174,0.249,-0.431,-0.737,-0.678,0.002,-0.08,-0.467,0.244,0.355,0.177,0.188,-0.133,-0.483,-0.235,0.039,0.447,0.094,0.511,0.556,0.245,0.006,0.538,0.457,0.515,0.402,0.953,0.289,0.433,0.282,1.079,-0.135,0.601,0.744,0.476,0.698,0.337,0.764,1.234,0.981,0.853,0.934,0.834,1.082,0.825,0.668,1.068,0.444
"2","Saint Lucia","February",0.24,-0.338,0.185,0.521,-0.521,-0.113,-0.179,-0.078,0.058,0.271,-0.195,-0.384,-0.14,-0.25,-0.58,-0.75,0.292,0.311,0.47,0.477,0.979,0.25,0.133,0.053,-0.275,-0.705,0.312,0.481,-0.147,-0.152,0.492,0.198,-0.042,0.514,0.461,0.727,0.547,1.443,-0.45,0.127,0.082,0.384,0.957,0.553,0.772,0.736,0.663,0.216,0.388,1.274,0.771,0.606,1.071,0.828,1.064,1.476,0.828,0.31,0.908
"3","Saint Lucia","March",0.24,0.339,-0.012,0.387,-0.012,-0.064,-0.858,-0.331,1.095,0.064,-0.348,-0.399,0.09,-0.801,-0.628,-0.992,-0.005,0.316,-0.057,-0.049,0.407,-0.252,0.753,-0.143,-0.526,-0.501,0.183,0.179,-0.351,-0.058,0.474,0.45,0.073,0.331,0.179,0.441,0.152,1.422,0.344,-0.574,0.195,0.321,0.45,0.398,1.362,0.752,0.679,-0.236,-0.119,2.235,-0.022,0.641,0.995,0.412,0.463,0.895,0.735,0.93,0.809
"4","Saint Lucia","April",0.415,0.138,0.125,-0.157,-0.585,-0.08,-0.667,-0.522,1.067,0.489,-0.56,-0.541,-0.02,-0.943,-0.93,-0.622,-0.44,0.243,0.251,0.368,-0.143,-0.34,0.568,-0.051,-0.556,0.2,1.222,0.397,-0.707,0.105,-0.014,0.67,0.702,0.238,0.15,0.184,-0.194,1.418,0.15,0.119,0.304,0.313,1.265,0.663,1.895,0.898,1.094,0.134,0.348,1.454,0.257,0.537,0.67,0.657,0.744,1.571,1.086,0.396,0.606
"5","Saint Lucia","May",0.163,0.575,-0.252,-0.217,-0.111,-0.573,-0.792,-0.422,0.924,0.554,-0.663,-0.435,0.117,-0.761,-0.572,-0.505,-0.168,0.301,0.489,0.829,0.001,-0.037,0.496,-0.244,-0.284,-0.042,0.788,0.76,-0.385,0.168,0.277,0.459,0.344,0.595,0.609,-0.011,0.37,0.627,0.686,0.114,0.344,0.379,1.027,0.141,1.371,1.136,1.002,0.389,0.152,1.292,0.905,0.25,0.681,0.611,0.921,0.978,1.106,0.16,0.812
"6","Saint Lucia","June",-0.038,-0.004,0.138,-0.437,-0.501,-0.478,-0.165,-0.567,0.261,-0.159,0.004,0.056,0.237,-0.277,0.063,-0.344,0.298,0.112,0.417,0.16,0.145,0.243,0.731,0.215,0.1,0.143,0.576,0.474,0.223,0.265,0.676,0.092,0.733,0.422,0.627,0.127,0.418,0.722,0.647,0.335,0.824,0.736,0.719,0.418,0.77,0.878,0.78,0.712,0.544,1.321,1.367,0.841,0.79,1.066,1.031,0.959,0.928,0.716,1.12
"7","Saint Lucia","July",-0.126,-0.031,-0.106,-0.511,-0.358,-0.417,-0.438,-0.29,0.041,-0.529,0.038,0.133,0.5,-0.161,-0.053,-0.249,0.301,0.156,0.188,0.282,0.308,0.112,0.501,-0.309,0.158,0.042,0.678,0.62,0.372,0.386,0.599,0.417,0.552,0.605,0.982,0.282,0.409,0.918,0.443,0.445,0.777,0.646,0.893,0.411,0.684,0.969,1.031,0.811,1.045,1.368,0.88,0.982,0.934,1.085,0.861,1.286,1.189,0.799,1.258
"8","Saint Lucia","August",0.145,-0.264,0.574,-0.345,-0.275,-0.287,-0.48,-0.319,-0.004,-0.304,-0.556,0.081,-0.024,-0.218,-0.187,-0.058,0.057,-0.059,0.187,-0.065,0.223,-0.13,0.245,0.071,-0.047,0.11,0.772,0.053,0.133,0.421,0.549,0.161,0.205,0.485,0.524,0.161,0.26,1.084,0.339,0.427,0.83,0.604,0.639,0.563,1.131,0.943,0.585,1.111,1.175,1.207,0.927,0.713,0.855,0.725,1.278,1.366,1.067,0.813,1.092
"9","Saint Lucia","September",0.155,0.005,0.328,-0.16,-0.116,-0.251,-0.397,-0.203,0.095,-0.214,-0.45,0.046,-0.146,-0.54,-0.352,0.039,0.071,0.057,0.047,-0.268,0.082,-0.108,0.462,-0.162,-0.338,-0.197,0.281,0.091,-0.049,0.483,0.043,-0.179,0.239,-0.25,0.688,0.124,0.765,0.747,0.465,0.352,0.669,0.561,0.814,0.521,1.394,0.905,0.612,0.82,0.973,0.987,0.916,0.999,1.05,0.826,1.368,0.882,0.969,0.818,1.357
"10","Saint Lucia","October",-0.38,0.276,0.509,-0.396,-0.123,-0.046,-0.138,-0.126,0.05,-0.198,-0.604,0.284,-0.299,-0.456,-0.715,0.152,-0.222,-0.022,0.039,0.366,0.476,-0.352,-0.011,-0.202,-0.72,0.122,0.426,-0.088,-0.062,0.169,-0.464,-0.001,0.378,-0.097,0.461,-0.045,0.822,0.405,0.074,0.142,0.512,0.298,0.737,0.78,0.535,0.648,0.463,0.496,0.679,0.97,0.752,1.023,0.93,0.836,1.628,1.319,0.986,0.643,1.023
