"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Saint Pierre and Miquelon","January",-0.935,-0.732,2.19,-1.09,0.246,1.271,0.289,0.095,2.163,-1.758,-1.289,-2.06,-1.72,-4.162,-2.594,0.363,-0.028,0.273,1.804,-0.398,1.019,-0.821,1.125,-1.395,-1.529,1.124,-1.457,-0.641,-1.875,-0.675,-4.598,-2.533,-3.631,-2.462,-0.079,-1.085,-0.273,-0.152,0.213,1.508,-1.037,-1.754,-0.987,-1.529,-1.864,2.617,0.305,-0.556,-1.383,0.393,2.012,0.955,-1.312,-0.851,-0.689,-0.111,0.059,1.044,0.375
"2","Saint Pierre and Miquelon","February",-4.018,-1.252,-0.351,1.267,-0.593,-0.155,-1.186,0.149,3.776,2.652,-0.783,-3.786,0.671,-1.353,-5.498,-0.789,-0.943,1.28,-1.677,-0.081,2.882,-2.186,0.61,2.252,-0.919,-0.9,-0.027,-0.016,-2.212,-4.03,-1.659,-1.987,-3.279,-5.099,-2.539,2.269,-1.847,1.408,3.145,0.435,-0.866,0.084,-2.434,0.637,0.653,0.393,-1.953,-0.424,0.809,1.489,-0.391,0.381,0.426,-1.894,-1.599,1.701,-0.002,1.341,-2.214
"3","Saint Pierre and Miquelon","March",-1.475,2.172,-1.761,-1.383,0.351,1.405,-2.043,0.678,1.323,2.046,1.448,-1.603,-1.065,-2.377,-0.6,-1.563,0.901,-0.963,2.241,0.031,2.491,-1.72,1.271,0.372,-2.471,-2.012,-0.493,0.488,-2.78,-3.213,0.634,-2.265,-1.467,-0.942,-0.762,0.218,-3.505,1.459,3.594,2.119,0.43,-0.639,-3.17,-0.739,0.001,0.766,-0.658,-2.332,-0.737,1.394,-0.167,-0.205,1.551,-3.314,-2.946,-0.795,-0.796,2.745,-1.229
"4","Saint Pierre and Miquelon","April",-0.416,0.361,-0.824,0.354,-0.908,0.346,-1.848,0.463,-1.429,-0.011,1.411,-1.568,-0.327,-0.979,-0.833,0.497,-0.241,-0.852,0.526,1.08,0.677,-0.792,2.71,-0.103,-1.912,1.394,1.291,0.71,0.267,0.276,-0.707,-2.355,-0.024,-0.568,-0.146,1.432,-0.858,0.866,1.092,0.838,-0.463,0.014,-1.735,0.87,0.381,1.92,-0.651,0.255,0.393,2.186,-0.12,1.858,0.867,-0.232,-1.555,0.163,-0.093,0.083,-0.374
"5","Saint Pierre and Miquelon","May",-0.43,-0.176,0.265,-0.329,-0.659,-0.701,-1.227,0.327,-0.186,0.649,1.315,-1.662,0.046,-1.751,-0.225,0.752,-0.727,0.032,1.638,-0.233,2.04,0.588,1.302,1.493,-0.555,0.532,0.659,2.102,1.299,-0.519,-0.827,-0.031,0.214,-0.238,0.379,0.045,-0.171,2.064,3.335,0.464,1.296,-0.037,0.37,0.37,1.913,2.936,0.211,0.578,0.995,1.178,1.183,2.893,1.546,0.503,1.108,1.597,0.338,0.062,0.735
"6","Saint Pierre and Miquelon","June",0.114,-1.064,-1.443,-0.973,-0.381,-0.363,-0.294,-0.992,0.819,-0.059,0.589,0.617,-0.247,-0.138,-0.66,-0.22,0.853,0.608,1.309,-0.189,0.565,-0.846,0.829,-0.564,-0.486,-0.318,0.303,0.13,1.738,0.467,-1.011,0.611,-0.49,0.454,0.171,0.066,-0.106,1.222,3.049,0.94,1.687,-0.126,0.634,-0.19,0.883,2.502,1.118,0.934,2.042,0.411,0.961,1.981,1.224,1.535,0.873,0.9,0.323,-0.807,0.841
"7","Saint Pierre and Miquelon","July",0.08,-2.047,-0.356,-0.078,-0.125,-0.377,0.994,-0.134,-0.644,0.501,-0.255,0.094,0.453,-1.651,1.245,-0.316,-0.15,0.659,0.13,-0.81,0.042,-0.468,1.219,0.995,0.386,-1.113,1.091,0.191,0.482,-0.152,-1.003,-1.669,-1.301,1.251,0.502,0.337,0.375,1.128,2.09,0.877,0.431,0.388,1.124,1.649,1.637,2.453,1.241,2.133,1.786,1.667,0.357,3.012,3.067,2.707,0.119,1.502,0.852,1.309,1.629
"8","Saint Pierre and Miquelon","August",0.668,-0.822,-1.04,-1.118,-0.038,0.125,1.822,-1.889,-0.264,1.568,0.999,-0.539,-1.23,-0.32,0.043,0.508,0.07,-0.311,-0.166,-1.257,-0.106,-0.969,-0.83,1.51,-0.568,-0.179,-0.172,0.233,0.69,0.974,-0.989,-0.577,-0.046,1.388,-0.339,1.47,0.068,1.688,1.864,2.004,1.975,1.441,1.276,2.569,1.44,1.031,1.278,1.334,2.571,2.116,0.736,4.076,2.469,3.309,2.022,1.69,1.751,3.244,2.73
"9","Saint Pierre and Miquelon","September",1.699,-0.352,-0.402,-0.557,-0.894,-0.691,1.091,1.095,-0.482,-1.029,0.358,-0.204,-0.001,0.377,1.071,1.781,-1.088,-1.608,-0.704,-1.117,1.149,0.331,0.465,-0.179,-0.448,-1.8,-0.243,-0.53,0.355,0.81,-0.353,1.198,0.359,0.237,0.036,-0.5,1.053,0.446,3.321,1.074,1.951,0.295,2.659,0.013,2.035,1.673,0.823,1.734,0.49,2.216,2.263,3.518,2.802,1.818,2.574,0.706,2.069,1.221,0.517
"10","Saint Pierre and Miquelon","October",1.783,0.308,0.912,0.144,-0.923,0.169,0.852,1.286,-1.263,0.811,-0.266,-0.434,-0.299,-0.839,-0.619,-0.117,0.483,-0.683,0.56,-0.242,0.798,-1.445,0.571,-1.682,-1.052,-1.305,1.306,-0.012,-0.908,1.231,0.567,-0.26,-0.903,0.964,1.287,-0.501,-0.411,-0.041,-0.284,1.15,2.148,-1.297,4.005,1.097,1.661,1.646,0.784,1.046,-0.999,1.099,1.756,2.777,1.054,2.683,0.938,1.062,1.989,0.309,0.662
