"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Saint Vincent and the Grenadines","January",0.481,-0.168,0.116,-0.025,-0.56,0.767,-0.142,-0.43,-0.247,0.649,-0.087,-0.4,0.196,-0.815,-0.647,-0.236,-0.067,0.134,-0.155,0.395,0.26,0.187,0.154,-0.229,-0.617,-0.348,0.064,0.356,-0.155,0.409,0.427,0.067,-0.029,0.625,0.429,0.51,0.494,1.063,0.286,0.66,0.447,1.126,0.513,0.76,0.907,0.383,0.767,0.552,0.73,1.18,1.057,0.984,1.128,0.838,1.045,0.801,0.606,1.123,0.406
"2","Saint Vincent and the Grenadines","February",0.209,-0.418,0.136,0.365,-0.596,-0.241,-0.238,0.015,0.213,0.394,-0.207,-0.502,0.067,-0.387,-0.622,-0.214,0.304,0.38,0.76,0.322,1.133,0.221,0.301,-0.102,-0.575,-0.497,0.428,0.552,-0.277,-0.183,0.594,0.102,-0.003,0.587,0.498,0.863,0.402,1.596,-0.177,0.477,0.164,0.667,1.04,0.363,1.141,0.917,0.457,0.106,0.234,1.412,1.02,0.575,1.399,1.065,1.055,1.191,0.784,0.369,0.858
"3","Saint Vincent and the Grenadines","March",0.304,0.376,-0.112,0.334,-0.122,-0.085,-0.954,-0.191,1.168,0.12,-0.366,-0.53,0.217,-0.957,-0.436,-0.575,0.042,0.398,0.206,-0.035,0.537,-0.163,0.792,-0.084,-0.503,-0.548,0.272,0.279,-0.492,-0.19,0.324,0.319,0.27,0.529,0.541,0.478,0.321,1.471,0.358,-0.298,0.198,0.195,0.692,0.573,1.383,0.963,0.667,-0.142,0.129,2.342,-0.008,0.577,1.324,0.602,0.462,0.943,0.69,0.841,0.851
"4","Saint Vincent and the Grenadines","April",0.547,0.192,0.082,-0.182,-0.558,-0.167,-0.674,-0.385,0.998,0.391,-0.648,-0.85,-0.041,-0.896,-1.04,-0.229,-0.554,0.395,0.41,0.46,-0.081,-0.262,0.757,0.147,-0.454,0.216,1.039,0.543,-0.697,0.026,0.067,0.88,0.854,0.145,0.412,0.326,-0.235,1.388,0.196,0.107,0.208,0.306,1.349,0.701,1.934,1.137,1.392,0.272,0.463,1.548,0.473,0.522,0.843,0.766,0.939,1.727,1.123,0.323,0.735
"5","Saint Vincent and the Grenadines","May",0.332,0.66,-0.185,-0.288,-0.124,-0.576,-0.798,-0.539,0.974,0.548,-0.653,-0.562,0.081,-0.639,-0.624,-0.394,-0.122,0.19,0.662,0.68,-0.292,0.161,0.279,-0.136,-0.21,0.091,0.893,0.994,-0.495,0.042,0.377,0.688,0.617,0.617,0.719,-0.174,0.391,0.663,0.644,0.042,0.381,0.465,1.022,0.12,1.713,1.423,1.039,0.616,-0.036,1.171,1.064,0.226,0.764,0.863,0.968,0.604,1.28,0.113,0.924
"6","Saint Vincent and the Grenadines","June",0.038,-0.093,0.208,-0.55,-0.534,-0.482,-0.138,-0.564,0.224,-0.134,0.058,0.069,0.409,-0.065,0.175,-0.355,0.255,0.066,0.341,-0.305,0.131,0.161,0.628,0.501,0.163,0.047,0.66,0.769,0.321,0.185,0.828,0.225,0.999,0.407,0.719,0.151,0.253,0.786,0.793,0.354,0.951,0.752,0.914,0.384,0.96,1.033,0.966,1.332,0.759,1.682,1.432,0.674,0.929,1.37,1.145,1.172,1.213,0.836,1.2
"7","Saint Vincent and the Grenadines","July",0.064,-0.202,0.001,-0.633,-0.24,-0.362,-0.512,-0.416,0.048,-0.544,-0.004,0.046,0.503,-0.321,-0.196,-0.297,0.279,0.058,0.246,0.32,0.313,0.051,0.519,-0.217,-0.172,0.06,0.555,0.693,0.259,0.322,0.599,0.532,0.478,0.446,0.961,0.374,0.531,1.056,0.509,0.493,0.962,0.676,1.49,0.509,0.743,0.959,1.167,0.955,1.1,1.394,1.242,0.938,1.228,1.292,0.941,1.514,1.177,0.778,1.323
"8","Saint Vincent and the Grenadines","August",0.377,-0.445,0.74,-0.44,-0.249,-0.238,-0.583,-0.406,-0.084,-0.348,-0.659,0.16,-0.265,-0.32,-0.21,-0.042,0.128,-0.11,0.295,-0.029,0.149,-0.208,0.211,-0.041,-0.36,0.123,0.74,0.192,0.25,0.217,0.248,0.286,0.269,0.328,0.684,0.284,0.502,1.478,0.552,0.617,0.943,0.579,0.787,0.494,1.381,0.985,0.615,1.167,1.201,1.386,1.274,1.083,1.008,0.967,1.505,1.334,1.505,0.945,1.244
"9","Saint Vincent and the Grenadines","September",0.101,-0.054,0.38,-0.199,-0.08,-0.22,-0.432,-0.324,0.151,-0.25,-0.72,0.092,-0.287,-0.566,-0.34,0.015,0.055,0.058,0.116,-0.18,-0.039,0.009,0.428,-0.132,-0.818,-0.288,0.1,0.004,-0.075,0.734,-0.049,-0.103,0.123,-0.164,0.771,0.237,0.891,0.926,0.564,0.431,0.696,0.695,0.702,0.633,1.472,1.052,0.694,1.1,1.114,1.238,1.172,1.179,1.148,0.881,1.491,0.716,1.232,0.8,1.433
"10","Saint Vincent and the Grenadines","October",-0.37,0.275,0.683,-0.472,-0.049,-0.152,-0.183,-0.154,-0.009,-0.101,-0.951,0.339,-0.6,-0.485,-0.757,0.327,-0.082,0.018,0.086,0.361,0.633,-0.429,-0.163,-0.18,-1.198,-0.027,0.404,-0.044,-0.112,0.319,-0.332,0.177,0.138,-0.014,0.4,0.017,0.932,0.563,0.063,0.202,0.592,0.361,1.035,0.652,0.91,0.707,0.615,0.839,0.773,1.423,0.774,1.244,0.849,0.961,1.645,1.256,1.162,0.743,0.954
