"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Samoa","January",0.482,-0.241,-0.156,0.328,-0.415,0.273,-0.262,-0.014,0.411,0.29,-0.388,-0.63,0.32,-0.265,-0.092,-0.718,0.409,0.01,0.237,0.181,0.341,0.139,0.607,0.04,-0.383,0.212,0.424,0.91,-0.415,0.117,0.34,0.436,0.405,0.9,0.477,0.58,0.08,NA,-0.12,1.003,1.198,1.237,1.827,-0.02,1.047,0.003,0.632,0.737,0.815,NA,-0.511,0.785,0.482,0.495,0.935,1.805,1.655,0.705,1.455
"2","Samoa","February",0.073,-0.095,0.123,0.515,-0.691,0.091,-0.576,-0.321,0.32,0.567,-0.469,-0.404,0.895,-1.021,-0.301,-0.582,0.832,0.494,0.306,0.387,0.042,-0.297,1.333,0.423,0.269,0.368,0.894,0.982,-0.276,0.541,0.666,0.714,0.581,NA,0.654,0.677,0.977,NA,-0.023,0.984,0.824,1.939,1.029,-0.323,1.393,-0.054,0.919,1.269,1.944,0.622,-0.116,0.684,1.164,1.451,1.511,2.591,0.791,0.941,1.491
"3","Samoa","March",-0.785,0.029,-0.315,0.491,-0.191,0.435,0.039,-0.485,0.531,-0.118,-0.459,-0.275,1.002,-0.497,0.029,-0.168,0.245,-0.267,0.044,0.663,-0.129,0.81,0.719,0.232,0.75,0.556,0.726,1.001,-0.122,0.542,0.956,0.457,0.347,0.85,0.924,0.74,0.24,NA,0.24,0.558,0.803,1.289,1.489,-0.26,1.469,0.923,0.884,0.813,1.784,1.525,0.728,0.443,1.043,1.187,1.437,1.667,1.817,1.267,1.217
"4","Samoa","April",0.187,-0.015,-0.023,0.307,-0.55,0.231,-0.464,-1.092,0.112,0.103,-0.499,0.264,0.487,-0.551,-0.466,-0.22,0.104,-0.254,-0.284,0.437,-0.333,0.523,-0.053,0.368,0.005,0.4,0.597,0.15,-0.226,-0.238,0.953,0.11,0.572,0.369,0.442,0.812,NA,NA,0.612,0.952,0.747,1.197,0.612,-0.348,0.947,1.027,1.207,0.712,1.862,1.522,1.087,0.392,1.347,0.562,1.022,0.832,1.332,0.582,1.582
"5","Samoa","May",0.203,-0.109,0.11,-0.336,-0.075,0.21,-0.305,-0.438,-0.274,0.679,-0.308,-0.18,0.292,-0.747,-0.122,-0.462,-0.335,0.145,0.326,-0.204,0.186,0.348,0.647,0.537,0.108,0.121,-0.107,0.717,-0.08,0.611,0.344,0.804,0.528,0.389,0.821,0.345,NA,NA,-0.655,0.307,1.121,1.551,0.845,-0.314,0.391,1.476,0.726,0.168,NA,1.35,0.831,0.536,1.601,0.908,0.608,1.058,1.208,1.008,0.958
"6","Samoa","June",-0.137,-0.304,-0.197,-0.221,-0.63,-0.109,-0.479,0.124,0.237,0.52,-0.397,0.359,0.077,-0.333,-0.338,-0.36,0.123,-0.024,0.727,0.338,-0.365,0.351,0.224,0.423,0.016,0.506,-0.818,0.459,0.216,0.583,0.396,0.775,0.065,-0.023,1.561,0.977,NA,NA,-0.023,0.246,1.051,1.021,-0.023,-0.149,-0.049,0.601,1.405,0.111,0.093,1.285,0.79,0.616,1.236,0.695,0.505,1.115,0.915,1.415,1.415
"7","Samoa","July",0.065,0.203,0.49,-0.33,-0.301,0.089,-0.523,-0.085,-0.137,0.339,-0.328,-0.114,0.325,0.247,0.165,-0.12,0.203,-0.089,-0.075,0.165,-0.327,0.291,0.206,-0.025,0.404,0.17,-0.404,0.291,-0.211,0.53,1.227,1.452,-0.332,-0.52,1.403,0.908,NA,NA,0.808,0.038,0.853,1.558,0.408,0.333,0.193,0.173,1.648,0.308,NA,1.311,1.194,0.658,1.043,0.378,0.538,0.968,1.118,0.918,1.318
"8","Samoa","August",0.143,-0.218,0.355,0.064,-0.208,-0.386,-0.573,-0.607,-0.276,0.054,-0.13,0.326,0.168,-0.235,0.196,-0.049,-0.051,0.32,0.04,0.43,0.359,0.199,-0.338,0.221,0.643,-0.008,-0.223,0.575,0.239,0.485,1.121,0.79,NA,-0.257,0.984,1.047,NA,NA,0.447,0.924,1.309,0.694,-0.253,0.924,0.544,0.704,1.819,0.469,NA,0.944,1.009,1.084,1.109,0.781,0.211,1.511,1.261,0.811,1.811
"9","Samoa","September",0.343,0.175,-0.163,-0.406,0.043,-0.313,0.197,-0.128,-0.439,-0.26,-0.451,0.316,0.52,0.35,0.265,-0.261,-0.233,0.07,0.487,0.34,0.364,0.066,0.229,0.217,0.049,0.345,-0.049,0.477,0.725,0.677,0.434,1.121,NA,0.047,0.718,1.305,NA,NA,0.478,1.083,0.868,1.253,0.705,0.883,0.828,0.243,1.368,0.448,NA,0.578,1.103,1.273,1.233,1.631,0.661,1.321,1.671,1.221,1.571
"10","Samoa","October",-0.645,-0.157,0.136,-0.075,-0.337,-0.109,-0.439,-0.036,0.481,0.148,-0.079,0.38,-0.452,0.247,0.074,0.672,0.226,0.119,0.294,-0.037,0.092,0.467,0.251,0.022,0.615,0.403,0.595,0.315,0.67,1.092,0.859,0.901,NA,0.54,0.625,0.673,NA,NA,0.305,0.565,0.845,0.765,0.873,0.92,0.905,0.11,1.3,0.804,NA,1.328,1.21,1.575,1.255,2.108,0.488,1.648,0.998,1.298,1.498
