"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","San Marino","January",-0.555,1.385,-3.155,-1.866,0.661,-2.061,-1.447,-1.878,-0.008,1.525,0.478,0.78,0.538,2.026,1.872,-0.083,1.699,1.026,-1.221,-0.779,-2.13,0.633,1.171,0.604,-3.056,0.463,-0.993,3.053,0.219,0.614,0.659,-0.019,0.77,2.347,0.398,1.834,1.843,1.694,1.423,-0.477,2.376,-0.269,0.735,-0.031,-0.307,-0.941,3.903,2.29,0.752,-0.25,0.816,0.571,1.269,3.533,1.873,2.299,-1.37,3.656,-0.493
"2","San Marino","February",1.843,-1.062,-3.559,-0.226,-3.016,3.211,-0.048,1.442,-1.303,0.083,-0.01,1.78,-0.457,2.109,-0.14,0.542,2.644,-0.298,0.837,0.438,-1.681,-1.571,-2.344,-1.51,-1.068,-2.718,-0.221,0.803,1.772,3.06,-2.053,0,-0.924,-0.174,2.544,-1.286,1.76,2.353,-0.972,0.903,1.276,2.545,-2.907,0.594,-2.397,0.031,3.035,0.979,-0.157,0.469,0.644,-3.093,-0.904,3.459,0.459,3.238,2.622,-1.383,1.92
"3","San Marino","March",1.895,-2.664,-0.734,-0.009,0.189,-0.384,1.847,0.782,-0.292,-1.129,-2.682,2.297,-1.454,0.619,0.572,-1.787,2.501,0.868,1.574,0.226,1.964,-0.993,0.647,-1.384,-0.347,-0.366,-3.223,0.1,2.887,2.372,2.624,0.565,-0.622,3.643,-0.564,-1.382,2.102,0.298,1.096,1.382,4.12,2.755,1.114,-0.242,0.121,-0.279,2.125,1.235,1.113,0.423,0.618,3.14,0.536,2.056,0.914,1.242,2.759,0.248,2.634
"4","San Marino","April",3.066,0.214,0.89,0.909,-1.224,1.594,-0.668,2.034,-0.256,-0.413,1.236,0.158,-2.011,-0.715,0.188,-0.164,-0.198,-1.225,-1.274,-2.123,0.856,-0.789,1.138,-0.866,0.523,0.663,0.403,0.597,0.957,-0.218,-1.318,0.772,0.509,-0.366,0.061,0.938,-1.41,1.008,1,1.998,-0.062,0.712,0.238,0.56,0.357,1.882,3.44,1.083,2.012,1.098,2.547,1.3,2.202,1.878,1.431,3.056,1.278,4.027,1.14
"5","San Marino","May",-0.148,-0.448,0.063,0.862,-0.607,0.289,0.747,0.223,1.962,-1.716,0.843,-0.417,0.877,-0.491,0.585,0.228,0.162,-1.177,0.423,-2.3,-0.185,0.395,0.826,-1.988,0.57,3.039,-1.266,1.019,0.191,1.191,-2.847,1.206,1.943,1.337,0.198,1.042,1.476,0.684,2.536,2.929,2.542,1.746,3.519,-0.714,2.3,1.483,2.719,1.307,3.422,0.646,1.695,0.648,0.102,0.14,2.544,0.776,1.874,2.477,-1.597
"6","San Marino","June",0.513,-0.83,0.056,1.6,0.032,1.125,-1.115,-0.769,-1.362,0.861,-0.59,-0.006,0.774,-0.76,-0.997,0.106,-0.52,-0.525,1.473,-1.185,0.32,2.018,-0.135,-0.871,-0.228,-0.77,-0.404,-0.634,-0.748,0.66,0.159,-0.732,1.629,0.646,-1.156,1.416,1.322,1.97,1.393,2.242,1.095,2.959,5.534,1.184,2.005,1.256,2.416,1.569,1.089,1.107,1.945,3.462,0.575,1.287,2.285,1.637,3.878,2.125,4.246
"7","San Marino","July",-0.629,-0.24,0.714,-0.072,0.391,-0.99,1.221,-0.243,-0.657,-0.471,0.251,-0.403,0.353,0.199,0.453,-0.077,0.134,-1.283,-0.303,-1.272,-1.049,1.451,2.605,0.056,1.869,-0.603,1.558,2.154,0.107,0.701,1.518,-0.067,0.014,2.025,1.884,-0.056,0.362,2.18,0.747,0.1,1.504,0.779,3.312,1.62,1.647,2.569,2.671,1.814,1.802,2.511,0.665,3.442,1.735,-0.601,4.521,2.736,2.78,2.536,2.298
"8","San Marino","August",0.332,2.375,-0.017,-0.389,-1.016,-0.496,0.864,-1.731,-0.692,0.377,2.666,-1.084,0.493,1.321,-0.483,-2.997,-1.196,-0.892,-0.72,0.728,-0.068,0.323,-0.021,-1.148,1.16,1.49,0.787,1.742,0.494,0.578,1.604,3.087,2.33,3.579,-0.462,0.283,0.753,2.552,1.99,2.424,3.134,0.249,5.051,2.04,-0.449,-0.336,1.031,2.069,2.905,0.853,2.682,3.7,2.195,0.537,2.441,1.188,3.918,2.546,2.847
"9","San Marino","September",2.112,0.853,0.293,-0.241,-1.187,0.764,0.203,-0.319,-0.072,1.103,-1.65,-2.85,1.097,0.199,1.685,-2.017,-2.289,-0.484,-0.485,0.58,0.53,2.054,0.773,-0.857,2.23,0.156,3.394,0.065,-0.529,0.1,1.831,1.05,0.293,1.342,-1.319,-2.451,1.46,-0.063,1.597,0.723,-1.462,-0.888,0.04,0.844,0.559,1.491,-0.744,-0.293,1.544,-0.248,3.366,1.092,1.039,0.044,1.752,1.361,-0.267,1.855,1.395
"10","San Marino","October",1.28,0.46,-0.194,-0.57,0.006,2.443,2.183,0.542,0.771,-0.388,-0.896,-1.965,0.197,-3.846,-0.44,0.659,0.96,-0.584,0.365,0.123,1.239,0.197,0.255,0.499,0.817,1.176,1.691,2.539,-0.752,2.099,-0.673,0.744,1.125,0.156,1.344,-0.136,0.785,0.702,1.137,1.415,3.345,1.313,-0.376,2.874,0.468,2.399,-0.082,1.841,0.018,-0.271,0.414,1.902,2.35,2.325,0.789,0.52,1.284,2.003,2.735
"11","San Marino","November",0.447,-0.928,3.449,0.322,0.621,-1.792,1.288,0.113,1.638,1.26,-0.769,0.706,-0.865,-0.523,-0.775,0.125,-0.044,-1.936,-0.828,-1.293,-1.877,0.569,-1.155,0.962,-0.77,0.221,0.31,-2.748,-0.923,0.372,-0.702,1.607,-1.445,2.154,-0.531,1.579,0.646,-1.447,-0.779,2.022,-0.535,3.308,1.47,0.734,-0.213,1.9,-0.903,1.159,1.353,1.461,0.49,2.544,1.558,3.472,1.323,1.262,0.363,1.885,2.198
