"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Sao Tome and Principe","January",0.166,-0.044,-0.29,0.494,-0.437,-0.122,-0.019,-0.176,0.166,0.139,-0.122,-0.23,0.772,-0.282,0.055,-0.288,-0.303,0.245,0.596,0.291,-0.056,0.198,0.954,0.114,0.006,0.13,0.532,0.447,-0.103,NA,0.241,NA,0.09,NA,NA,NA,0.542,1.32,0.699,0.2,0.346,0.76,0.289,0.745,1.329,0.729,1.071,0.253,0.636,0.97,0.948,0.422,1.145,1.064,0.942,1.332,1.565,0.132,0.761
"2","Sao Tome and Principe","February",-0.282,0.167,-0.169,0.201,-0.368,0.012,-0.025,-0.057,0.587,0.267,-0.293,0.093,0.884,-0.337,-0.325,-0.408,0.059,0.396,0.511,0.448,0.425,0.35,1.021,0.361,0.11,-0.401,0.143,0.387,-0.198,NA,NA,1.127,NA,0.371,NA,NA,0.564,1.826,0.417,0.538,0.799,0.432,1.156,0.461,1.233,0.704,0.726,0.985,0.419,1.297,0.591,0.06,0.845,0.945,0.762,1.795,1.012,NA,1.3
"3","Sao Tome and Principe","March",0.297,-0.281,-0.274,0.203,-0.178,0.277,0.146,-0.428,0.271,0.319,-0.145,-0.375,0.565,0.064,-0.087,-0.336,0.462,0.235,0.156,0.153,0.056,0.168,1.252,0.067,0.161,-0.621,0.553,0.47,-0.159,NA,NA,0.314,0.213,0.222,NA,NA,0.816,1.275,0.978,0.952,0.548,0.502,0.681,1.405,0.564,1.172,1.061,0.151,0.926,1.284,0.769,0.945,0.914,0.831,1.122,1.523,1.637,0.315,1.282
"4","Sao Tome and Principe","April",-0.027,-0.034,0.218,0.026,-0.364,-0.109,-0.179,-0.296,0.284,0.286,-0.277,-0.273,0.246,-0.166,-0.037,-0.182,0.528,-0.184,0.377,0.297,0.591,0.215,0.454,0.256,-0.76,0.013,0.197,0.214,-0.066,NA,NA,0.251,0.454,0.617,0.931,NA,-0.252,1.366,0.592,0.129,0.637,0.668,NA,0.486,0.599,0.473,0.937,0.34,0.885,0.942,0.669,0.714,1.103,0.898,0.931,1.381,1.025,1.01,1.071
"5","Sao Tome and Principe","May",0.188,0.168,0.243,0.005,-0.176,0.403,-0.192,-0.194,0.463,0.112,0.104,-0.055,0.207,-0.064,-0.011,-0.186,0.122,-0.346,0.102,0.088,-0.38,-0.409,-0.544,0.106,-0.188,0.185,0.524,NA,-0.319,0.088,NA,0.218,0.464,0.384,0.95,NA,NA,0.706,1.045,0.804,0.696,0.998,1.04,0.254,0.404,0.472,1.001,0.638,0.808,0.934,0.597,0.544,1.078,1.175,0.986,1.14,1.339,0.585,1.279
"6","Sao Tome and Principe","June",-0.773,-0.464,1.309,-0.116,0.284,1.016,-0.102,-0.304,-0.046,0.41,0.133,-0.638,0.595,0.383,0.416,-0.794,-0.023,0.087,0.253,0.095,0.191,-0.53,-0.798,0.67,-0.047,0.024,1.144,0.662,0.096,0.324,NA,-0.297,NA,0.508,0.796,NA,NA,1.608,1.465,0.653,0.786,1.196,0.878,0.163,0.188,1.832,1.301,0.522,1.205,1.035,0.745,0.969,0.833,1.73,0.388,1.885,1.627,NA,1.582
"7","Sao Tome and Principe","July",0.013,-0.277,0.752,-0.277,-0.265,0.823,-0.259,0.199,-0.26,0.078,0.195,0.444,0.734,-0.266,-0.236,-0.552,0.232,-0.108,0.346,0.18,-0.28,-0.308,-0.336,1.214,0.199,-0.022,0.969,0.765,-0.302,-0.284,NA,-0.331,NA,0.136,0.978,0.69,NA,1.851,1.602,0.549,0.172,1.243,1.997,1.209,0.134,0.89,1.569,1.174,0.859,1.288,0.77,1.087,0.443,0.466,0.661,2.201,0.924,1.92,1.963
"8","Sao Tome and Principe","August",-0.34,-0.188,0.307,-0.686,0.093,0.387,0.019,0.447,0.014,0.44,-0.223,0.053,0.615,0.143,-0.309,-0.36,0.403,0.25,0.021,0.187,0.028,-0.425,-0.972,0.862,0.514,-0.161,0.237,0.765,0.004,-0.098,NA,-0.691,NA,0.335,1.144,-0.09,NA,NA,1.041,0.406,0.177,0.98,1.421,1.234,0.648,0.676,1.385,1.448,1.107,1.079,1.095,1.241,0.521,0.632,0.67,1.379,0.972,1.489,1.531
"9","Sao Tome and Principe","September",-0.212,0.068,0.732,-0.561,0.046,-0.098,-0.111,-0.177,-0.003,-0.076,-0.11,0.344,0.159,-0.291,-0.122,-0.154,0.33,-0.105,0.059,0.119,0.143,-0.551,-0.629,0.283,0,NA,-0.293,0.369,NA,NA,NA,-0.379,NA,0.21,0.878,0.126,NA,0.544,NA,0.113,0.151,0.618,0.69,0.811,0.687,0.386,0.95,0.985,1.033,1.267,1.032,0.996,0.766,0.642,0.835,1.259,1.142,0.747,1.287
"10","Sao Tome and Principe","October",-0.273,0.223,0.208,-0.514,0.194,-0.043,-0.285,0.254,-0.086,0.027,-0.259,0.357,0.195,-0.158,-0.132,-0.301,0.061,0.116,0.601,0.135,-0.183,-0.205,-0.342,0.054,-0.25,-0.533,-0.167,0.091,NA,-0.088,NA,0.055,0.597,-0.094,0.174,-0.177,NA,0.744,0.265,0.373,0.56,0.51,1.059,0.496,0.536,0.797,0.581,0.71,1.037,1.074,0.736,0.883,0.625,0.886,1.408,1.697,1.146,NA,0.824
