"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Saudi Arabia","January",0.945,0.17,1.948,-1.201,0.025,2.205,-0.272,-0.184,0.061,0.275,0.117,-1.007,-1.08,-0.989,-0.619,-0.063,-1.789,0.47,1.096,-0.358,1.093,0.571,-2.057,-0.312,1.69,0.695,0.377,-0.266,-2.839,-1.009,-0.156,-3.172,-1.185,2.051,1.145,0.677,0.635,-0.534,1.19,-0.053,-0.429,-0.57,0.786,1.619,0.205,1.098,-1.238,-1.676,-0.203,2.54,0.924,0.381,1.65,1.137,1.277,0.809,1.596,0.823,2.676
"2","Saudi Arabia","February",-0.87,0.552,1.848,-0.291,0.78,-0.361,-1.3,-1.833,0.277,1.085,-0.247,-1.975,2.214,-0.575,-0.259,-1.136,1.228,0.606,2.011,-0.833,-0.072,-2.574,-2.23,-0.037,-1.521,0.278,1.866,-0.166,-2.722,-1.353,-0.16,-3.155,-1.622,-0.132,0.075,1.114,-1.889,0.057,2.485,-0.368,-0.32,0.928,0.963,0.398,0.617,1.279,0.81,-0.771,1.938,2.629,0.83,0.344,2.04,0.499,1.68,1.66,-1.189,2.848,1.11
"3","Saudi Arabia","March",-1.06,2.158,0.098,0.678,0.212,-0.579,-2.25,0.008,2.752,0.007,0.331,-0.622,0.072,-0.412,-0.392,-1.674,0.767,0.107,0.285,0.681,0.169,-1.871,-2.645,0.412,-0.277,0.262,-0.99,0.393,-0.599,-0.772,-0.111,-2.816,-0.463,-0.557,-0.293,-0.102,-2.174,-1.004,0.107,-0.501,1.68,0.812,-0.374,1.433,0.956,0.829,0.359,3.003,0.48,2.441,-0.448,-0.726,1.943,1.683,0.975,2.677,1.236,4.034,-0.49
"4","Saudi Arabia","April",-0.853,0.171,0.192,0.007,-0.85,0.397,-1.208,-1.799,-0.481,1.662,-1.422,-0.095,0.97,0.604,-0.588,-0.406,-0.556,0.683,1.893,0.964,0.519,0.364,-1.397,0.495,-0.101,-0.181,0.215,0.436,0.187,0.053,2.106,-0.52,-0.389,1.531,-0.052,0.248,-0.452,1.136,1.55,2.767,1.807,0.661,1.665,0.484,1.664,0.557,0.971,2.293,1.173,1.914,0.938,1.468,0.86,3.057,1.413,1.458,2.839,1.118,0.137
"5","Saudi Arabia","May",-0.182,0.211,-1.367,-0.335,-0.145,1.209,-0.783,-1.148,0.452,0.395,0.014,-1.12,0.098,-0.309,0.044,-0.292,0.407,0.91,0.412,0.375,-0.511,-0.145,0.463,-0.411,0.282,-0.35,1.294,1.193,1.268,0.97,0.355,-0.267,-0.703,0.89,0.798,1.879,0.324,1.171,1.974,1.161,1.131,1.236,1.882,0.982,0.218,1.369,2.287,1.063,1.36,1.66,1.572,2.555,0.583,1.506,2.49,2.011,2.272,1.685,1.544
"6","Saudi Arabia","June",0.172,0.961,0.181,0.008,0.444,1.009,-0.776,-0.168,0.98,0.074,-1.403,0.152,-1.022,0.045,-0.576,0.059,0.181,-0.907,0.747,0.53,-0.231,0.185,0.507,-0.974,-0.488,-0.509,0.194,0.27,-0.278,0.404,0.345,0.056,0.064,0.22,0.782,0.558,0.76,1.653,1.136,0.979,0.664,0.868,1.221,0.594,0.834,1.964,1.237,1.059,1.974,2.162,1.445,1.949,0.574,0.964,1.004,2.093,1.99,1.961,2.671
"7","Saudi Arabia","July",-0.258,1.723,0.649,-0.306,0.297,0.269,-0.481,0.691,-0.133,-0.266,0.362,-0.532,-0.309,-0.405,0.43,-0.805,0.173,0.145,-0.722,0.112,0.447,-0.336,0.38,-0.208,-0.542,0.447,1.474,0.916,0.976,0.414,-0.772,-0.897,0.325,-0.943,-0.188,1.636,0.094,1.729,0.895,2.629,1.083,1.944,0.801,1.481,1.103,0.973,0.838,1.372,1.067,2.268,1.883,2.626,1.847,1.09,1.688,2.016,3.294,1.906,1.705
"8","Saudi Arabia","August",0.476,0.547,0.023,-0.509,0.527,1.201,-1.155,-0.382,0.147,-0.133,-0.037,0.006,0.283,0.006,-0.36,-0.231,1.294,-1.193,-0.41,-0.11,0.312,-0.376,0.18,-1.497,0.977,1.189,1.339,0.515,0.654,0.481,-0.493,0.052,0.78,0.18,1.171,1.603,-0.234,3.042,1.921,2.18,2.51,1.477,2.097,0.958,1.459,2.178,1.787,1.623,1.768,3.018,1.896,2.236,1.19,2.225,3.017,2.675,3.213,1.648,1.678
"9","Saudi Arabia","September",-1.524,-0.073,0.134,-0.705,0.679,0.69,-0.332,-0.296,0.469,-0.684,-0.313,0.331,0.715,-0.248,1.061,-0.022,0.655,-0.843,1.207,-0.763,-0.074,1.17,-0.487,0.005,0.081,0.532,0.932,0.744,-0.091,0.341,-0.202,0.037,0.766,0.539,0.06,0.588,0.845,2.116,1.677,0.45,1.259,1.096,0.557,0.484,0.653,0.804,1.493,1.753,0.973,2.188,1.271,1.361,1.171,1.156,2.74,1.704,2.202,2.617,2.532
"10","Saudi Arabia","October",-0.564,0.263,0.221,-1.344,-0.39,0.488,0.112,-0.012,0.78,-0.114,-1.141,0.752,-0.134,0.245,-1.127,1.164,-0.836,-0.17,0.992,-0.019,-0.052,-0.198,-1.441,-0.984,-0.639,0.885,0.198,0.533,-0.009,0.663,0.175,-0.491,0.88,1.21,0.383,-0.328,0.546,0.42,1.254,0.185,0.756,1.466,1.23,1.207,0.339,1.607,1.115,0.315,1.052,2.231,0.737,1.709,-0.023,1.367,2.948,1.002,1.527,1.373,2.958
