"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Senegal","January",-0.817,-0.196,1.032,0.027,-2.049,-0.644,0.147,-1.608,1.628,0.649,0.063,0.084,0.482,-0.736,0.035,-0.953,0.714,1.556,1.189,1.311,0.421,0.093,0.9,0.435,0.001,-0.962,0.708,-0.227,0.386,-0.109,1.701,1.278,0.929,-0.684,0.393,2.519,2.295,1.185,0.169,1.668,1.149,1.465,0.855,0.979,1.026,0.644,1.526,0.674,-0.902,2.039,1.372,0.476,0.371,1.059,0.859,2.868,1.408,0.766,1.26
"2","Senegal","February",-0.482,0.111,1.023,1.02,-0.782,0.556,-0.659,-0.687,1.877,0.949,-0.12,-0.227,0.568,-0.677,-0.431,-0.683,0.668,0.918,0.991,0.708,0.399,-0.476,1.613,0.599,1.321,0.595,1.063,0.927,0.889,2.082,0.395,0.765,1.195,0.824,1.423,2.212,2.516,3.376,-0.819,1.049,1.034,1.653,0.752,1.29,0.832,0.589,1.611,1.938,0.02,2.595,0.137,-0.147,1.726,0.024,0.602,1.117,1.516,-0.459,1.285
"3","Senegal","March",-0.3,0.337,0.113,0.626,0.289,0.173,-0.362,-0.856,1.926,0.702,-0.586,-0.191,0.734,-1.047,-0.497,-0.242,0.979,0.317,0.59,1.025,1.717,0.213,2.277,0.155,0.852,0.367,0.906,2.08,0.479,2.406,0.441,0.538,1.252,1.094,0.27,0.583,0.497,2.148,0.726,2.099,1.382,1.07,2.151,1.199,1.748,1.718,1.903,2.473,0.579,2.745,1.114,1.401,2.444,0.157,0.639,1.293,2.425,2.3,0.564
"4","Senegal","April",0.05,-0.479,-0.485,-0.173,-0.865,0.228,-0.662,-1.005,1.36,0.871,0.372,-0.513,1.001,-0.912,-0.212,0.272,0.688,0.237,1.105,1.822,1.453,0.494,1.149,0.708,-0.123,1.508,1.037,1.549,0.433,1.39,0.705,0.625,1.463,1.157,0.438,1.248,0.743,2.678,0.829,2.115,1.209,0.328,1.456,1.083,1.829,1.343,1.182,2.305,1.29,1.85,1.326,1.044,1.046,2.042,1.39,1.86,2.441,1.141,1.554
"5","Senegal","May",0.723,-0.011,-0.284,0.355,0.35,0.206,-0.33,-0.941,1.182,0.148,-0.296,-0.352,0.739,-0.213,-0.391,-0.966,0.092,0.842,0.572,0.861,0.816,0.037,1.319,1.19,0.242,0.472,1.552,1.406,1.113,1.16,0.254,0.398,1.804,0.546,0.978,1.24,0.871,1.454,0.618,0.259,0.591,0.69,1.17,0.988,1.66,0.424,1.303,1.599,1.038,1.834,0.675,0.955,1.713,0.507,1.17,1.419,1.364,0.491,1.218
"6","Senegal","June",0.191,-0.103,0.731,-0.921,-0.655,-0.177,-0.609,-0.682,0.818,0.705,0.13,0.019,0.919,0.329,0.531,-0.149,0.653,-0.048,0.118,0.502,1.252,0.69,0.598,-0.185,0.699,0.973,1.039,0.66,0.38,0.702,1.072,0.51,0.81,0.428,1.473,0.999,0.298,1.308,0.861,0.162,0.848,0.916,-0.034,0.714,1.1,0.938,1.042,1.054,0.869,0.956,0.812,1.141,1.092,1.655,1.742,1.323,1.558,1.058,1.934
"7","Senegal","July",-0.526,0.057,-0.081,-0.211,-0.151,0.678,-0.355,-0.042,0.006,0.334,-0.221,0.977,0.717,-0.289,-0.738,0.343,0.964,-0.058,0.861,0.826,0.414,0.79,1.239,0.104,0.03,0.778,1.731,0.605,0.249,0.408,0.595,0.194,1.139,0.557,1.293,0.957,1.527,0.942,0.278,0.661,0.942,2.044,0.686,0.436,0.668,1.498,1.12,0.587,1.043,0.762,1.491,0.392,1.108,2.006,1.721,1.006,1.336,1.184,1.779
"8","Senegal","August",-0.171,-0.381,0.052,-0.595,-0.415,0.446,-0.356,0.9,-0.269,-0.033,-0.616,1.068,0.239,-0.311,0.038,0.381,0.928,0.379,0.931,0.573,0.389,0.255,1.504,1.526,0.548,0.665,1.132,0.238,0.186,0.847,1.005,1.135,0.742,0.209,0.547,0.75,1.122,0.633,0.083,0.126,1.563,1.45,0.706,0.863,1.231,1.169,0.362,0.544,0.705,0.626,1.042,0.377,0.583,0.854,1.313,1.486,1.102,1.376,1.716
"9","Senegal","September",-0.157,-0.037,0.633,-0.737,-0.438,-0.518,-0.878,0.145,-0.002,0.377,-0.155,1.1,0.768,-0.109,-0.459,0.399,0.361,0.102,1.19,0.76,0.331,0.801,1.42,1.01,0.19,-0.082,0.628,0.353,0.629,1.32,0.449,0.774,0.756,0.304,0.674,0.969,0.599,0.382,0.332,0.806,0.84,1.493,0.752,0.849,1.086,1.048,0.936,0.767,0.469,0.286,1.099,0.461,0.772,0.979,1.071,1.264,2.076,0.604,1.353
"10","Senegal","October",-0.056,0.039,-1.008,-0.341,-0.142,-0.569,-0.692,0.078,-0.481,0.911,0.072,1.341,0.887,-0.23,0.158,-0.029,0.932,0.399,0.865,1.113,1.248,0.355,1.9,0.695,1.051,0.954,0.522,0.99,0.894,1.316,0.434,1.208,0.68,0.44,1.142,1.137,1.477,1.381,0.192,0.128,1.607,1.714,1.217,1.886,1.263,1.981,1.499,0.571,1.235,0.919,1.392,1.18,1,1.771,1.648,2.254,2.458,1.776,1.363
