"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Seychelles","January",0.223,0.35,0.039,0.276,-0.407,-0.053,-0.484,-0.356,-0.19,0.652,-0.432,-0.599,0.474,-0.366,-0.617,-0.591,0.19,0.361,0.264,0.363,0.525,0.454,0.532,-0.087,0.214,0.043,0.401,0.747,-0.144,0.348,0.494,0.218,0.071,0.554,0.529,0.156,0.724,1.208,0.202,0.871,0.557,0.518,0.738,0.741,0.298,0.146,0.422,0.655,0.753,1.036,0.254,1.017,0.97,1.211,1.06,1.401,0.76,0.527,1.162
"2","Seychelles","February",0.399,0.07,-0.364,-0.058,-0.599,0.236,-0.16,-0.022,0.084,0.487,-0.703,-0.212,0.659,-0.502,-0.387,-0.569,0.114,0.313,0.648,0.244,0.076,1.039,1.259,-0.499,0.217,0.67,0.545,0.654,0.068,0.831,1.001,0.685,0.023,0.357,0.387,0.207,0.381,1.622,0.434,0.315,0.173,0.621,1.273,0.444,0.894,0.664,1.433,0.339,0.665,1.077,0.833,0.733,0.775,0.497,0.766,1.222,0.956,1.085,1.283
"3","Seychelles","March",0.314,0.203,-0.199,-0.206,-0.502,-0.15,-0.104,-0.561,0.472,0.655,-0.417,-0.964,0.393,-0.484,-0.291,-0.392,0.121,0.481,0.238,0.262,0.365,0.13,0.822,-0.122,0.036,0.385,0.76,0.766,-0.024,0.639,0.514,0.337,-0.094,0.388,0.563,0.391,0.734,1.218,0.716,-0.135,1.143,0.546,1.073,0.4,0.78,0.534,0.784,0.336,0.842,1.067,0.286,0.616,0.688,0.831,1,1.742,1.036,0.708,1.578
"4","Seychelles","April",0.223,0.174,-0.214,-0.188,-0.624,-0.139,0.036,-0.241,0.395,0.415,0.125,-0.706,0.592,-0.517,-0.126,-0.628,-0.02,0.022,0.186,0.224,0.27,0.064,0.612,-0.041,0.189,0.331,0.653,0.43,-0.074,0.335,0.728,-0.1,0.072,0.481,0.438,0.19,0.227,0.959,0.024,0.37,0.697,0.547,0.578,0.261,0.645,0.594,0.684,0.364,0.374,1.164,0.815,0.931,0.871,0.66,1.093,1.387,1.141,0.777,1.584
"5","Seychelles","May",0.366,-0.312,-0.529,-0.393,-0.865,-0.11,0.107,-0.444,0.352,0.31,0.21,-0.313,0.492,-0.495,0.258,0.351,0.34,0.274,0.192,0.108,0.155,0.518,0.466,-0.752,-0.444,0.429,0.533,0.093,0.063,-0.11,0.292,0.054,0.696,0.7,0.397,0.11,0.422,0.878,-0.106,0.369,0.692,0.449,0.438,0.004,0.808,1.058,1.144,0.284,0.854,1.136,1.44,0.793,0.29,0.62,1.513,0.863,1.238,0.955,1.423
"6","Seychelles","June",0.213,-0.156,-0.199,0.031,-1.272,0.173,0.073,-0.018,0.138,0.16,-0.411,0.2,0.361,-0.321,0.154,0.36,0.639,0.403,0.336,0.343,0.003,0.798,0.951,-0.738,-0.654,-0.025,0.156,0.011,-0.364,-0.194,0.402,0.074,0.393,0.494,0.398,-0.171,0.564,1.031,-0.076,-0.113,0.343,0.116,0.258,-0.045,0.239,0.805,0.915,0.193,1.23,1.407,1.208,0.723,0.289,0.947,1.337,0.898,1.232,1,1.788
"7","Seychelles","July",0.654,-0.276,-0.141,-0.389,-0.795,0.069,0.019,-0.087,0.172,0.374,-0.729,0.054,0.31,-0.177,0.215,-0.018,0.304,0.525,0.036,0.471,0.273,0.417,0.816,-0.683,-0.291,0.056,0.471,0.066,-0.316,-0.071,0.176,0.284,0.231,0.554,0.729,-0.168,0.603,0.529,0.599,0.483,0.539,0.54,0.47,0.006,0.507,0.654,0.519,0.185,0.777,0.751,1.249,0.787,0.138,0.928,1.294,0.651,1.204,0.718,1.43
"8","Seychelles","August",0.392,0.072,-0.075,-0.414,-0.562,0.186,0.109,-0.048,0.037,0.114,-0.877,0.348,-0.025,-0.001,0.004,-0.079,0.286,0.758,0.287,0.637,0.526,0.577,0.405,-0.355,-0.279,0.253,0.647,0.707,-0.118,0.554,0.363,0.031,0.384,0.656,0.678,0.101,0.712,0.907,0.557,0.611,0.794,0.188,0.678,0.517,0.342,0.877,1.281,0.384,0.771,0.778,1.062,1.159,0.808,1.023,1.549,1.063,1.347,1.267,1.555
"9","Seychelles","September",0.425,0.159,-0.305,-0.343,-0.216,0.392,0.013,0.086,-0.013,-0.032,-0.71,0.159,0.12,-0.27,-0.265,0.223,0.503,0.774,0.139,0.22,0.5,0.564,0.254,0.007,0.434,0.34,0.787,0.698,0.509,0.911,1.125,0.185,0.108,0.628,0.416,0.211,0.892,0.899,0.663,0.451,1.092,0.467,0.783,0.409,0.642,0.637,0.973,1.014,0.766,0.884,1.312,1.32,1.263,1.213,1.556,1.09,1.882,1.517,1.476
"10","Seychelles","October",0.331,-0.012,0.254,-0.504,-0.359,0.073,0.175,-0.226,0.443,0.076,-0.578,0.171,-0.072,-0.363,-0.383,0.187,0.179,0.595,0.492,0.565,0.237,0.579,0.414,0.046,0.284,0.535,0.783,0.594,0.426,0.966,1.067,0.398,0.286,0.747,0.564,0.249,0.652,0.843,0.445,0.713,1.361,0.869,0.747,0.531,0.429,0.681,0.732,0.876,0.971,0.822,0.897,0.647,1.195,1.378,1.77,1.61,1.76,1.286,1.714
