"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Sierra Leone","January",-0.565,0.284,0.326,0.261,-1.07,-0.666,-0.423,-0.205,0.638,0.702,-0.662,-0.22,0.042,-0.792,-0.507,-0.107,0.166,0.916,1.055,0.812,-0.775,-0.535,-0.54,-0.235,0.201,-1.151,0.315,-0.077,-0.524,-0.286,0.847,-0.319,-0.133,0.064,-0.372,1.079,0.941,0.699,0.746,NA,0.804,0.818,0.572,0.688,0.56,1.279,0.284,1.631,0.564,1.389,0.389,0.969,0.626,1.595,0.696,0.504,1.856,1.183,1.446
"2","Sierra Leone","February",-0.579,-0.277,0.027,0.237,-0.89,-0.01,0.009,-0.327,0.368,0.396,-0.163,0.07,1.008,0.246,-0.02,-0.013,-0.088,0.628,0.074,0.063,0.299,0.052,0.508,-0.22,-0.153,0.16,0.177,0.569,-0.042,0.045,0.663,0.558,0.493,0.455,-0.657,0.885,0.839,1.682,0.44,NA,0.687,1.26,0.397,1.361,1.004,1.074,0.579,2.062,1.319,1.761,0.417,0.554,1.121,0.882,0.908,-0.388,1.806,0.911,1.612
"3","Sierra Leone","March",0.331,-0.018,0.061,0.175,-0.295,0.232,-0.159,-0.529,0.477,0.447,-0.234,-0.054,0.544,-0.02,0.249,-0.063,0.169,0.112,0.478,0.254,0.323,0.227,1.112,0.571,0.587,-0.059,0.498,0.648,-0.012,1.033,0.815,0.356,0.204,0.846,0.299,-0.24,0.772,1.25,0.676,2.72,0.949,0.882,0.949,1.837,1.69,1.186,0.811,1.322,0.617,1.952,1.029,1.335,1.209,0.526,0.786,2.641,1.583,1.06,1.563
"4","Sierra Leone","April",-0.019,-0.24,0.141,-0.064,-0.129,0.259,0.1,-0.312,0.477,0.538,-0.358,-0.375,0.827,0.021,-0.074,-0.34,0.442,0.204,0.46,0.544,0.543,0.262,0.893,0.19,0.047,-0.289,0.932,0.998,0.039,0.736,-0.488,0.161,-0.019,-0.134,0.436,0.075,-0.387,2.327,0.566,NA,1.147,NA,0.72,0.892,1.321,0.752,1.318,0.786,0.052,1.591,1.343,0.503,1.372,0.76,0.877,1.516,1.709,0.964,1.579
"5","Sierra Leone","May",0.593,0.012,0.272,-0.163,-0.304,0.208,0.125,-0.399,0.693,0.116,0.012,-0.13,0.353,0.241,-0.247,-0.358,0.341,-0.033,0.452,0.056,-0.075,0.163,0.832,0.047,0.394,0.098,0.412,1.267,0.495,0.454,0.675,-0.127,0.506,0.89,0.318,1.138,0.193,0.885,0.793,NA,1.458,1.252,1.401,1.071,1.328,1.089,1.639,1.334,1.018,1.927,1.235,0.607,0.973,1.159,1.778,1.247,1.503,1.667,2.111
"6","Sierra Leone","June",-0.122,-0.449,0.284,-0.063,-0.345,0.111,-0.088,0.08,0.22,0.505,0.155,-0.041,0.695,0.487,0.087,-0.418,0.121,-0.301,0.282,0.429,0.585,0.377,0.423,0.441,0.253,0.171,1.103,0.529,0.356,0.372,1.212,0.589,0.444,0.523,0.932,0.642,-0.604,0.816,0.646,NA,NA,1.061,0.621,1.206,1.344,1.124,1.06,1.31,1.548,1.544,1.14,0.747,1.124,1.562,1.342,1.557,1.724,1.428,2.005
"7","Sierra Leone","July",-0.455,0.178,0.474,-0.259,-0.155,0.534,-0.285,0.45,0.077,0.263,0.065,0.603,0.876,0.013,-0.122,-0.33,0.242,-0.149,0.48,0.478,0.31,0.4,0.862,0.452,0.125,-0.356,1.645,0.051,0.486,0.317,0.428,0.159,0.501,0.325,0.583,0.542,1.063,0.773,1.013,0.953,NA,1.464,0.564,0.958,1.16,1.427,0.881,1.167,1.451,1.329,1.392,0.423,0.932,1.153,1.801,1.316,1.503,1.043,1.655
"8","Sierra Leone","August",-0.429,-0.25,0.239,-0.766,0.02,0.112,-0.408,0.63,0.173,0.166,-0.205,0.709,0.801,0.192,0.049,-0.069,0.282,0.246,0.726,0.447,0.558,0.19,0.655,0.873,0.441,0.128,1.142,0.37,0.194,0.734,0.414,0.189,0.842,0.488,0.448,0.37,1.178,0.738,NA,NA,0.392,0.865,0.525,0.787,0.733,1.028,0.646,1.025,0.667,1.407,1.414,0.53,0.908,0.925,1.687,1.405,1.772,1.698,1.701
"9","Sierra Leone","September",-0.118,-0.186,0.388,-0.608,-0.365,-0.228,-0.302,0.137,0.048,-0.092,-0.257,0.449,0.314,-0.2,-0.424,0.082,0.152,0.324,0.544,0.595,0.015,0.69,0.539,0.634,0.191,0.253,0.967,0.295,0.495,0.633,0.644,0.186,0.447,0.104,1.028,0.132,0.688,-0.172,NA,0.637,0.48,0.844,0.998,1.436,1.372,1.259,0.693,1.041,1.079,1.286,1.479,0.497,0.75,1.217,1.948,1.545,2.218,1.27,1.843
"10","Sierra Leone","October",0.198,-0.046,-0.137,-0.301,0.135,-0.129,-0.096,0.095,-0.395,0.344,-0.037,0.462,0.141,-0.013,-0.13,-0.531,0.283,0.272,0.61,0.463,0.389,0.284,0.604,0.566,0.332,0.076,0.803,1.259,0.233,0.433,0.274,0.579,0.622,0.196,0.829,0.215,2.091,1.121,NA,NA,1.038,0.972,1.763,1.492,1.307,1.356,0.987,1.371,1.486,1.417,1.038,0.969,0.788,1.087,1.541,1.791,2.307,1.636,1.48
"11","Sierra Leone","November",0.091,0.018,0.122,-0.39,-0.012,-0.135,0,-0.157,-0.043,-0.09,-0.085,0.501,0.42,-0.165,0.05,-0.692,0.448,-0.087,0.558,0.086,0.58,0.439,0.445,0.644,0.446,-0.176,1.083,0.647,0.879,0.793,0.393,-0.307,0.756,0.407,0.879,0.544,-0.07,-0.81,NA,NA,0.911,1.566,1.353,1.438,1.535,1.038,0.925,1.89,1.166,1.204,1.24,0.617,1.339,0.991,0.14,1.772,1.691,NA,1.646
