"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Singapore","January",-0.163,-0.467,-0.664,0.371,-0.28,-0.111,-0.234,-0.02,0.775,0.452,-0.533,-0.172,0.385,-0.291,0.394,NA,NA,0.407,0.622,0.637,0.136,-0.049,0.389,-0.492,0.677,0.104,0.031,1.308,0.735,0.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Singapore","February",0.122,-0.308,-0.941,-0.163,-0.048,0.487,-0.536,0.669,0.459,0.223,-0.451,0.113,0.603,-0.355,0.16,NA,NA,0.589,0.904,0.519,0.339,0.522,1.249,-0.676,0.416,0.233,0.37,0.997,0.274,0.824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Singapore","March",0.079,-0.351,-0.222,-0.146,-0.246,0.05,-0.361,0.405,0.604,0.406,-0.168,0.006,0.25,-0.208,-0.274,NA,NA,0.594,0.709,0.824,0.757,0.185,1.564,-0.542,0.152,-0.031,0.806,0.533,-0.04,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Singapore","April",0.046,-0.221,0.226,-0.181,-0.268,0.344,-0.438,0.61,0.56,0.026,0.315,-0.368,0.225,-0.257,0.055,NA,0.843,0.258,0.174,0.289,0.321,-0.386,1.693,-0.193,-0.103,0.134,0.311,0.338,-0.185,0.715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Singapore","May",0.08,0.106,0.344,0.165,-0.287,0.229,-0.478,0.034,0.619,0.073,0.207,0.046,-0.032,-0.381,-0.015,NA,0.548,0.364,0.479,0.794,0.213,0.083,0.563,-0.482,-0.069,0.258,0.035,0.312,-0.411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Singapore","June",-0.015,-0.219,-0.11,-0.331,-0.212,-0.116,-0.084,-0.045,0.467,0.063,-0.121,0.252,0.262,-0.309,-0.094,NA,0.042,0.157,0.072,0.687,0.462,0.541,0.654,-0.094,0.306,0.243,0.82,0.197,-0.126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Singapore","July",0.004,0.04,0.222,0.141,-0.015,0.011,-0.344,-0.057,-0.006,0.009,-0.111,0.982,0.608,-0.334,-0.506,NA,0.391,0.106,0.321,0.636,0.224,0.471,0.246,-0.216,-0.204,0.573,0.4,-0.083,0.254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Singapore","August",0.266,-0.675,0.239,-0.067,-0.184,0.08,0.112,0.367,-0.253,0.095,-0.709,0.297,0.001,0.335,0.215,NA,-0.252,0.763,0.778,-0.007,0.784,0.234,0.788,0.231,0.142,1.119,0.245,-0.028,0.199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Singapore","September",0.098,-0.027,0.281,-0.27,-0.129,0.221,-0.143,0.176,0.469,-0.018,0.227,0.116,-0.209,-0.452,-0.008,NA,0.097,0.212,0.227,0.442,0.351,0.475,0.255,-0.218,0.059,0.385,0.512,-0.111,0.066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Singapore","October",-0.048,0.049,-0.19,-0.555,-0.191,-0.292,-0.112,-0.302,0.397,0.01,0.025,0.608,0.086,0.315,0.017,NA,0.399,0.314,0.429,0.544,0.392,0.198,0.478,0.254,0.131,0.158,0.535,0.662,0.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Singapore","November",-0.003,-0.042,0.183,-0.002,0.289,-0.131,-0.12,-0.087,0.193,0.054,-0.315,0.521,0.214,0.394,-0.423,NA,-0.061,-0.046,-0.231,0.285,0.472,0.739,0.107,0.257,0.534,0.261,1.138,0.165,0.241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Singapore","December",-0.165,0.129,0.138,-0.995,0.382,0.045,-0.318,0.151,-0.036,0.246,-0.657,0.313,-0.458,0.465,-0.703,NA,0.518,0.233,0.548,0.263,-0.003,0.184,-0.646,0.339,0.316,0.733,0.42,0.247,0.497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
