"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Slovakia","January",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.204,5.171,1.157,-0.452,-0.464,4.041,2.457,-0.369,2.557,1.828,0.198,-0.768,2.032,-1.904,6.581,3.932,0.383,-0.656,1.942,2.163,1.427,4.5,3.979,1.045,-2.998,4.815,1.097
"2","Slovakia","February",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.325,0.844,4.518,-2.995,2.02,4.248,-0.353,2.772,2.058,4.716,-3.168,1.164,-2.382,-1.327,4.011,3.535,0.565,0.347,-0.434,-4.345,1.188,4.408,1.489,5.375,2.761,-0.846,3.755
"3","Slovakia","March",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.916,3.052,0.4,-3.018,0.62,-0.614,2.273,0.947,2.399,2.771,0.684,0.62,-1.381,-1.378,3.597,1.438,0.677,0.95,1.678,2.644,-1.677,4.705,2.151,2.217,4.206,-1.193,3.822
"4","Slovakia","April",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,0.814,0.162,0.549,-2.919,1.928,1.89,3.527,0.283,0.631,-0.367,1.433,1.353,1.725,2.177,1.128,4.231,1.098,2.716,1.71,1.776,2.463,0.671,2.037,0.196,5.598,2.466
"5","Slovakia","May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.109,0.467,-0.073,2.082,1.374,0.55,0.713,2.72,2.26,3.643,3.963,-0.582,1.3,0.396,2.723,1.482,1.513,0.855,1.151,2.067,1.356,0.731,0.916,1.311,1.767,4.309,-0.648
"6","Slovakia","June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.144,0.338,-0.21,0.957,0.588,1.525,1.189,1.558,-0.981,1.883,3.259,0.052,0.117,0.83,2.758,2.062,0.089,1.087,1.57,2.069,1.3,0.778,1.493,2.327,2.827,2.575,4.889
"7","Slovakia","July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.601,3.2,2.785,-1.096,-0.444,0.707,1.898,-0.649,1.544,2.598,1.829,0.606,1.252,3.353,2.325,0.879,2.097,2.726,0.266,2.828,1.952,2.12,3.457,2.101,1.602,2.408,1.868
"8","Slovakia","August",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.744,2.144,0.613,0.42,1.139,1.019,0.308,2.402,2.46,1.959,3.403,1.293,0.019,-0.364,2.121,1.445,2.143,1.303,2.286,2.46,2.409,0.171,4.602,0.977,3.228,4.223,3.495
"9","Slovakia","September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.302,2.658,-0.888,-3.088,-0.028,-0.18,2.935,-0.295,-1.334,-0.515,0.499,-0.136,1.434,2.305,-1.141,-0.546,2.373,-0.988,2.928,1.986,-0.909,1.411,1.886,3.02,0.288,2.123,1.3
"10","Slovakia","October",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.185,-1.308,1.802,0.7,-2.132,0.456,0.239,3.497,3.294,-0.826,-2.602,1.821,1.166,2.32,-0.333,1.608,-0.208,-1.941,-0.094,0.775,2.031,2.028,0.256,-0.637,1.119,2.936,2.627
