"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Slovenia","January",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.024,2.298,4.093,0.762,0.256,0.516,3.378,1.759,-0.663,2.806,1.171,0.112,-0.087,1.209,-1.428,5.527,3.797,-0.253,-0.631,1.816,2.139,2.164,5.119,3.361,2.134,-2.534,4.971,1.132
"2","Slovenia","February",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.989,-0.494,0.58,3.653,-2.568,2.687,4.292,-0.502,2.819,2.526,4.045,-2.998,1.09,-2.588,-0.676,4.309,3.04,0.631,0.077,0.485,-3.423,-0.505,3.474,0.738,4.226,3.114,-1.817,3.62
"3","Slovenia","March",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.088,-0.13,4.449,-0.239,-2.231,1.822,0.138,2.287,1.804,3.536,3.122,1.778,-0.351,-0.464,-0.948,2.801,1.181,1.149,0.76,1.463,3.943,-0.957,4.089,1.806,1.708,4.349,-0.662,3.338
"4","Slovenia","April",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.732,1.191,0.301,1.026,0.725,-1.844,1.44,1.662,3.422,-0.048,0.371,0.082,1.121,0.94,1.666,3.852,1.071,3.623,1.346,3.283,1.512,2.154,2.906,1.328,2.465,1.525,5.094,1.797
"5","Slovenia","May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.476,2.809,1.046,0.559,1.611,1.629,1.072,1.961,2.634,2.984,2.745,3.769,-0.535,1.752,0.923,2.763,2.17,3.165,0.918,1.84,1.655,0.774,0.645,2.152,0.908,2.144,3.828,-1.388
"6","Slovenia","June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.569,1.079,1.034,-0.826,1.374,0.964,1.934,0.859,2.348,-0.01,2.69,5.131,0.565,1.445,1.456,2.821,2.317,0.584,1.542,1.821,2.921,1.169,1.516,1.96,1.868,3.533,2.535,4.798
"7","Slovenia","July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.434,0.198,3.076,2.793,-0.682,0.108,1.446,1.329,-0.129,1.748,1.839,2.658,0.961,1.296,3.6,2.208,1.526,1.869,2.986,0.885,2.877,3.082,1.102,4.183,2.9,2.748,2.447,2.831
"8","Slovenia","August",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.667,1.651,2.931,0.266,0.419,1.148,2.184,1.117,2.802,3.163,1.411,5.178,1.707,-0.461,-0.906,1.327,1.814,2.85,1.128,3.043,3.543,2.826,0.45,3.425,1.373,3.625,3.725,3.461
"9","Slovenia","September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.972,-0.241,1.899,-1.051,-2.649,0.977,-0.138,2.462,0.761,-1.565,-0.558,0.082,0.317,1.102,2.103,-1.141,-0.503,2.159,-0.736,3.586,1.643,0.453,0.637,0.89,2.675,-0.859,2.22,1.402
"10","Slovenia","October",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.684,1.158,-0.961,2.099,0.604,-1.083,0.97,1.299,2.568,3.767,0.706,-1.685,2.465,1.219,2.914,-0.332,1.747,0.478,-1.132,0.033,1.316,2.22,2.981,0.549,-0.136,1.618,2.824,2.928
