"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Small Island Developing States","January",-0.034,0.261,0.026,0.112,-0.467,-0.008,-0.207,-0.19,-0.072,0.226,-0.099,-0.062,0.551,0.012,-0.031,-0.518,0.048,0.136,0.412,0.396,0,0.541,0.599,0.396,-0.226,0.302,0.247,0.707,0.241,0.596,0.72,0.436,0.444,0.669,0.986,0.801,0.455,1.436,0.686,0.455,0.101,1.215,1.27,0.99,0.818,0.477,1.203,0.572,0.928,0.522,0.77,0.542,1.292,0.942,0.695,1.484,1.169,0.848,0.959
"2","Small Island Developing States","February",0.195,0.085,0.058,0.364,-0.327,0.063,-0.208,-0.478,0.052,0.194,-0.139,-0.106,0.219,-0.211,-0.054,-0.435,0.178,0.12,0.183,0.295,0.22,0.356,0.434,0.359,-0.097,0.193,0.453,0.533,0.068,0.67,0.806,0.5,0.207,0.548,0.869,0.638,0.594,1.739,0.295,0.478,0.622,0.847,1.099,0.93,0.827,0.639,1.197,0.963,0.623,1.309,0.769,0.641,1.069,1.17,0.786,1.498,0.989,0.994,1.248
"3","Small Island Developing States","March",0.137,-0.031,0,0.395,-0.197,-0.168,-0.394,-0.385,0.34,0.279,-0.229,-0.232,0.634,-0.169,-0.084,-0.534,0.364,0.186,0.039,0.352,0.366,0.324,0.496,0.264,-0.004,0.139,0.461,0.566,-0.134,0.6,0.336,0.516,0.114,0.579,0.676,0.44,0.443,1.305,0.362,0.318,0.641,0.791,1.303,0.849,1.001,0.792,0.652,0.399,0.225,0.938,0.518,0.572,0.79,1.193,0.681,1.73,1.061,0.539,0.953
"4","Small Island Developing States","April",0.132,-0.073,-0.167,0.331,-0.293,0.102,-0.5,-0.435,0.57,0.392,-0.465,-0.194,0.369,-0.14,0.196,-0.533,0.18,0.041,0.209,0.423,0.414,0.306,0.387,0.376,0.126,0.238,0.24,0.916,0.127,0.391,0.544,0.369,0.347,0.377,0.677,0.801,0.504,1.41,0.535,0.627,0.772,0.737,1.122,0.916,0.7,0.966,0.725,0.367,0.774,1.114,0.829,0.516,1.134,1.075,1.075,1.449,1.388,0.854,1.287
"5","Small Island Developing States","May",-0.006,-0.111,-0.134,0.056,-0.403,-0.104,-0.245,-0.212,0.533,0.124,-0.236,-0.289,0.201,-0.04,0.082,-0.158,-0.274,0.439,0.197,0.489,0.543,0.07,0.421,0.038,0.111,0.207,0.438,0.783,0.177,0.534,-0.076,0.333,0.444,0.372,0.732,0.389,0.474,1.245,0.456,0.404,0.407,0.42,0.819,0.876,0.804,0.697,0.786,0.25,0.756,1.269,0.774,0.492,0.866,1.047,0.902,1.739,1.233,0.883,1.088
"6","Small Island Developing States","June",-0.323,-0.156,-0.073,-0.048,-0.502,-0.037,-0.19,-0.183,0.516,0.281,-0.218,-0.098,0.28,-0.23,0.132,-0.313,0.005,0.32,0.269,0.465,0.499,0.133,0.567,0,0.048,0.182,0.564,0.507,0.368,0.412,0.448,0.988,0.55,0.461,0.949,0.611,0.584,1.394,0.639,0.383,0.724,0.708,0.759,0.286,1.123,0.766,0.984,0.558,0.699,1.53,0.543,0.565,0.95,0.856,1.118,1.592,1.359,0.985,1.362
"7","Small Island Developing States","July",-0.108,0.144,-0.19,0.146,-0.623,-0.135,-0.053,-0.013,0.318,0.071,-0.127,-0.128,0.176,-0.053,-0.151,-0.133,0.167,0.233,0.142,0.323,0.318,-0.049,0.344,0.038,0.076,0.158,0.513,0.45,0.53,0.468,0.274,0.42,0.649,0.326,0.927,0.379,0.755,1.339,0.471,0.383,0.458,0.793,0.937,0.5,0.917,0.616,0.668,0.583,0.959,1.479,0.582,0.726,1.025,1.01,0.988,1.656,1.647,1.208,0.79
"8","Small Island Developing States","August",-0.104,0.035,0.028,-0.144,-0.463,0.057,-0.21,0.045,0.174,0.108,-0.091,-0.246,0.182,0.016,0.106,-0.293,0.003,-0.068,0.167,0.219,0.183,-0.266,0.362,0.015,0.185,0.306,0.581,0.562,0.604,0.448,0.035,0.299,0.136,0.405,1.055,0.246,0.201,1.491,0.238,0.528,0.653,0.868,0.411,0.211,0.627,0.285,0.654,0.684,0.822,1.297,0.694,0.631,0.729,0.633,0.823,1.459,1.387,0.998,1.095
"9","Small Island Developing States","September",-0.211,-0.002,-0.089,0.049,-0.278,0.071,-0.226,-0.039,0.112,-0.094,-0.029,-0.204,-0.055,-0.006,-0.027,-0.021,0.062,0.029,0.283,0.227,0.322,-0.006,0.355,-0.046,0.135,0.237,0.6,0.402,0.558,0.332,0.015,0.196,-0.004,-0.186,0.998,0.73,0.467,1.139,0.428,0.599,0.74,0.717,0.739,0.563,0.791,0.565,0.572,0.747,0.915,1.276,0.766,0.764,0.889,0.553,1.198,1.422,1.451,0.776,0.926
"10","Small Island Developing States","October",-0.316,0.304,-0.306,-0.219,-0.096,-0.151,-0.261,-0.08,0.167,0.122,-0.237,0.071,-0.079,-0.113,0.003,0.249,-0.057,0.114,0.301,0.419,0.219,-0.025,0.343,-0.348,0.217,0.401,0.638,0.359,0.348,0.514,0.049,0.426,0.384,0.573,0.727,0.575,0.662,1.206,0.481,0.501,0.89,0.74,1.188,0.454,0.975,0.724,0.502,0.817,0.834,1.101,0.643,1.036,0.798,0.747,0.996,1.368,1.139,1.019,0.957
