"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Solomon Islands","January",0.084,0.571,0.072,0.57,-0.306,-0.026,-0.236,-0.277,0.012,0.322,-0.295,-0.824,0.418,-0.142,-0.031,-0.508,0.203,0.272,0.119,0.308,0.568,0.771,0.455,0.469,0.408,0.776,0.234,0.624,0.004,0.464,0.354,-0.106,-0.046,0.418,1.152,0.79,0.845,1.041,0.848,0.621,NA,NA,0.364,NA,NA,NA,0.964,-0.486,1.134,0.315,1.334,0.514,1.464,1.674,1.654,1.914,NA,1.546,1.578
"2","Solomon Islands","February",0.404,0.547,0.3,0.48,-0.338,0.268,-0.158,-0.408,-0.008,0.142,-0.108,0.132,-0.058,-0.108,0.119,-0.747,0.134,-0.196,-0.1,-0.009,-0.226,0.181,0.255,0.802,0.494,-0.106,-0.136,0.824,-0.366,0.474,0.584,0.434,-0.416,-0.118,0.525,0.707,0.475,0.662,0.122,0.522,NA,NA,NA,1.904,1.964,0.284,1.014,0.464,0.143,0.738,1.014,1.264,1.104,1.424,1.404,2.404,NA,1.795,1.344
"3","Solomon Islands","March",0.432,0.026,0.25,0.153,-0.19,-0.053,-0.308,-0.008,0.442,0.392,-0.708,-0.208,0.292,-0.108,-0.201,-0.126,0.242,0.442,0.318,0.065,0.592,0.242,0.109,0.322,NA,-0.078,-0.328,0.342,-0.278,0.522,0.432,0.622,NA,0.412,0.482,0.228,0.586,0.342,0.112,-0.308,NA,NA,1.482,0.662,NA,0.562,0.692,0.162,1.242,0.495,0.952,2.052,0.742,1.502,NA,2.512,2.202,1.203,1.143
"4","Solomon Islands","April",-0.153,-0.206,-0.012,0.101,-0.409,0.001,-0.203,-0.303,0.397,-0.003,-0.503,-0.203,0.297,-0.303,0.085,-0.233,0.367,-0.093,0.414,0.818,0.61,-0.003,0.465,0.407,-0.263,-0.063,-0.203,0.677,-0.373,0.207,0.267,0.137,-0.033,0.092,0.59,0.155,0.259,0.547,0.147,0.297,NA,NA,1.297,0.487,0.587,0.587,0.607,0.547,0.569,0.543,0.857,NA,1.927,1.097,1.357,1.797,1.507,1.021,1.085
"5","Solomon Islands","May",0.233,-0.325,0.104,0.126,-0.337,-0.162,-0.265,-0.215,0.635,0.235,-0.315,-0.225,0.135,-0.215,-0.023,0.243,-0.167,0.283,0.235,0.602,0.796,0.485,0.368,0.124,-0.145,0.443,0.393,1.113,0.003,0.833,0.433,0.133,0.082,-0.225,0.342,-0.123,0.85,0.895,0.125,0.145,NA,NA,NA,0.663,0.999,0.763,1.223,NA,0.117,2.083,NA,NA,NA,NA,1.363,2.173,1.923,1.298,1.315
"6","Solomon Islands","June",0.373,-0.29,-0.028,-0.166,-0.698,-0.331,-0.152,-0.198,0.491,0.296,0.093,-0.402,0.141,-0.05,0.23,-0.067,0.271,0.488,0.449,0.218,0.556,0.155,0.268,0.074,0.092,0.466,-0.367,0.423,0.243,0.365,0.304,0.563,0.338,0.191,0.638,0.231,0.314,NA,0.358,NA,NA,NA,0.753,0.553,0.153,1.013,1.723,NA,0.101,NA,NA,1.803,1.743,1.773,1.103,1.733,NA,1.264,1.706
"7","Solomon Islands","July",0.462,0.21,-0.267,-0.013,-1.225,-0.657,0.175,-0.222,0.57,-0.113,-0.262,-0.22,0.223,0.525,0.492,0.233,0.362,-0.025,0.227,0.273,0.47,-0.514,0.262,0.152,0.137,0.087,-0.498,0.732,0.222,0.422,0.023,0.172,0.465,-0.19,0.797,0.895,0.846,1.11,0.48,NA,NA,NA,0.522,0.542,0.96,0.152,0.932,NA,0.514,NA,NA,NA,1.542,0.602,1.502,1.502,1.532,1.472,1.256
"8","Solomon Islands","August",0.211,0.099,-0.086,0.017,-0.642,-0.27,0.094,0.044,-0.056,0.144,0.294,-0.906,0.244,0.378,0.051,-0.129,0.221,0.391,0.244,0.322,0.194,-0.156,0.377,0.191,-0.046,-0.529,-0.299,0.911,1.039,0.511,0.061,-0.249,-0.605,0.224,0.832,0.621,-0.026,0.764,0.284,NA,NA,NA,-0.249,1.351,0.451,-0.149,1.521,NA,0.834,2.021,1.291,2.251,1.511,1.641,0.601,1.441,1.641,0.917,0.983
"9","Solomon Islands","September",0.296,0.162,-0.119,0.078,-0.513,-0.197,0.07,-0.08,-0.09,0.02,0.37,-0.68,0.16,0.572,0.323,-0.264,-0.414,0.196,0.291,-0.401,0.368,-0.398,0.146,0.12,0.48,-0.404,-0.134,0.696,0.376,0.256,-0.161,-0.184,-0.211,-0.12,0.87,0.561,-0.04,0.83,0.34,1.436,NA,NA,NA,0.426,0.606,0.526,1.126,NA,0.204,2.376,1.896,1.556,1.346,1.616,0.886,1.836,1.686,1.224,0.721
"10","Solomon Islands","October",-0.054,0.316,-0.405,-0.009,-0.593,-0.152,-0.233,0.167,0.067,0.157,0.218,-0.382,0.067,0.362,0.084,0.326,-0.124,-0.084,0.425,-0.084,0.717,-1.342,0.196,0.201,0.569,0.286,0.256,0.146,0.95,0.826,-0.094,0.026,0.196,-0.043,0.875,0.491,-0.273,0.817,0.468,1.586,NA,NA,0.676,0.176,0.276,0.456,1.166,NA,0.367,1.296,1.256,1.266,1.046,1.196,1.246,1.626,1.746,1.355,1.417
