"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Somalia","January",-0.056,-0.665,-0.325,0.138,-0.83,0.271,-0.155,-0.499,0.574,1.19,-0.256,0.514,0.599,0.007,-0.31,0.178,0.836,0.782,0.457,0.194,1.429,1.259,0.38,0.032,0.977,-0.418,0.775,1.855,0.335,0.718,1.077,1.381,0.281,0.946,0.617,1.581,1.08,0.624,1.054,0.16,1.079,1.458,1.118,1.322,1.144,0.888,0.586,0.477,1.229,1.587,0.907,0.412,1.756,1.231,0.592,1.582,2.719,0.29,1.134
"2","Somalia","February",0.034,-0.333,-0.102,0.421,-0.57,1.273,0.742,-0.163,0.276,-0.005,-0.851,0.318,0.132,-0.096,0.392,0.419,0.163,-0.279,0.463,0.733,0.528,1.106,0.889,-0.796,0.42,1.099,1.326,1.525,0.485,1.4,1.295,0.959,0.057,0.888,1.315,0.956,0.508,0.852,0.985,0.811,1.42,0.692,1.757,0.898,1.793,1.863,1.855,-0.25,1.524,1.769,1.257,0.737,1.828,1.365,1.454,0.806,1.888,1.531,1.639
"3","Somalia","March",0.152,-0.007,-0.188,0.66,-0.413,0.016,0.46,-0.749,-0.364,0.404,-0.736,-0.015,0.662,-0.744,0.394,0.133,0.419,0.524,0.033,0.591,-0.737,0.734,0.775,0.32,0.038,1.188,1.908,1.19,0.271,-0.262,0.773,1.094,0.423,1.13,0.379,0.581,0.735,1.64,-0.241,0.628,0.952,1.563,1.58,0.735,1.745,1.541,2.028,-0.344,1.481,0.183,-0.161,0.731,1.334,1.773,1.535,3.313,2.042,1.22,1.335
"4","Somalia","April",0.531,0.349,-1.065,-0.105,-0.225,-0.332,-0.4,-1.31,0.732,-0.418,0.055,1.091,1.413,-0.248,0.344,-0.267,-0.59,-0.447,-0.299,1.304,-1.535,-0.084,1.392,0.292,-0.43,-0.239,1.598,0.409,-0.87,-0.924,0.125,1.26,0.2,1.065,0.571,1.552,-0.254,2.067,1,1.714,1.256,0.703,1.705,0.704,1.628,0.558,1.258,1.337,2.246,0.452,2.713,1.601,1.403,2.191,1.873,1.355,2.376,0.795,3.591
"5","Somalia","May",0.717,-0.191,-1.167,0.07,-0.238,-0.089,-0.011,-1.151,-0.137,0.168,0.173,-0.185,1.071,-0.312,-0.146,0.183,0.349,0.295,0.18,1.042,-0.594,-0.043,0.516,-0.03,-0.242,0.204,0.408,1.206,-0.443,0.35,0.411,1.171,-0.054,0.71,1.119,0.512,0.491,1.063,0.609,0.579,1.772,0.875,1.317,1.586,1.264,1.089,1.8,1.737,2.515,1.836,1.682,1.944,1.544,2.08,2.016,0.942,1.835,0.324,3.828
"6","Somalia","June",0.806,-0.114,-0.465,0.015,-0.678,-0.018,-0.41,-1.178,-0.541,-0.418,-0.164,0.099,0.431,0.24,0.342,0.237,0.871,0.529,-0.403,0.916,-0.95,0.262,0.512,0.061,-0.463,-0.118,0.114,0.411,-0.014,0.223,-0.208,1.147,-0.085,0.616,0.53,0.1,0.855,1.26,0.152,0.635,0.485,0.254,1.243,-0.076,1.294,1.493,0.665,-0.129,1.63,1.626,1.797,1.373,0.857,1.452,1.224,1.032,1.992,0.553,2.66
"7","Somalia","July",0.963,-0.058,-0.088,-0.444,-0.383,0.585,-0.018,-0.699,-0.096,0.097,-0.225,0.401,0.524,0.431,0.106,0.472,0.755,-0.065,-0.151,0.884,-0.245,0.41,0.894,-0.161,0.422,-0.416,0.786,0.673,0.072,-0.361,-0.194,0.237,0.202,0.653,0.861,0.592,1.069,1.074,0.142,1.071,0.373,1.434,0.977,0.739,0.76,1.364,1.132,1.326,1.3,1.007,1.887,0.789,0.459,1.543,NA,1.299,2.039,1.326,2.542
"8","Somalia","August",0.568,0.298,0.371,-0.145,-0.314,0.189,-0.137,-0.725,-0.519,-0.126,-0.295,0.453,0.233,0.297,-0.116,0.039,0.32,0.373,0.068,0.958,0.253,0.419,0.634,-0.051,0.281,0.339,0.525,0.994,0.092,0.325,0.044,-0.238,0.014,0.524,0.692,0.623,1.436,0.845,0.181,0.81,0.584,1.243,0.865,0.913,1.327,0.702,1.37,0.875,2.193,1.078,1.567,1.482,1.119,1.782,2.638,1.277,2.146,1.765,2.619
"9","Somalia","September",0.437,0.292,-0.463,-0.245,0.3,0.419,-0.178,-0.248,-0.362,-0.157,-0.433,0.386,0.188,-0.188,0.08,0.004,0.425,0.48,-0.104,0.281,0,0.492,0.198,-0.243,0.095,0.182,1.118,0.337,0.348,0.601,-0.157,0.041,0.367,0.677,0.617,0.77,1.308,-0.176,0.521,0.452,0.757,1.188,0.551,0.503,0.884,0.707,1.254,2.22,1.477,0.55,2.096,1.576,1.721,1.025,2.405,1.007,2.236,1.839,2.103
"10","Somalia","October",0.381,-0.214,-0.026,-0.112,-0.674,-0.14,-0.326,0.594,0.259,-0.188,-0.38,0.048,0.296,0.244,-0.171,0.327,0.219,0.345,0.313,1.255,0.431,-0.905,0.516,-0.049,-0.019,0.073,1.329,0.673,0.459,0.019,0.712,0.226,0.853,0.587,0.691,0.826,-0.103,1.155,0.71,0.494,1.296,0.923,1.209,0.132,0.968,0.565,0.773,1.327,0.569,1.62,0.122,1.732,0.815,0.719,2.086,1.818,1.412,1.959,1.144
