"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","South Africa","January",-0.307,0.235,-0.228,0.299,0.07,1.284,-0.22,0.404,1.144,1.012,-0.274,-0.067,0.91,-0.173,-0.348,-0.71,0.366,-0.272,-0.356,-0.161,-0.17,-0.018,1.717,0.563,0.934,0.512,0.323,0.953,0.047,0.568,0.291,1.127,1.107,-0.274,1.009,0.498,0.05,0,0.973,-1.169,0.091,0.008,0.994,0.437,0.878,0.797,1.271,0.196,0.514,0.558,0.283,1.622,0.879,1.456,1.356,1.979,0.336,1.285,1.039
"2","South Africa","February",0.357,0.038,0.179,0.427,0.551,-1.211,-0.196,-0.573,1.325,0.498,-0.313,-0.693,0.132,-0.064,-0.32,-0.757,0.667,0.01,0.98,0.293,-0.18,0.7,0.442,1.268,0.453,-0.047,1.599,0.837,-0.971,-0.229,0.291,1.56,-0.098,-0.145,2.053,0.041,0.309,1.345,1.261,0.489,0.23,0.467,1.764,1.023,1.431,0.928,1.456,0.869,0.479,1.186,1.027,0.919,1.124,1.35,0.378,1.902,1.012,1.021,1.195
"3","South Africa","March",0.348,0.188,-0.735,1.426,0.229,0.351,-0.444,-0.499,0.24,0.785,0.747,-0.326,1.245,-0.475,-1.142,-0.608,-0.959,0.814,-0.029,0.634,-1.03,-0.043,0.841,0.959,-0.438,0.137,0.921,0.754,0.008,0.127,-0.021,0.914,0.806,0.327,0.53,-0.448,-0.315,0.996,2.125,0.597,0.961,1.154,0.768,0.07,0.268,-0.834,0.907,0.312,0.443,1.627,1.725,1.15,1.175,0.213,1.091,1.231,1.114,0.648,1.879
"4","South Africa","April",0.537,-0.093,-0.691,-0.206,-0.077,-0.198,-0.834,-1.14,-0.397,0.969,0.405,0.586,0.281,-0.118,-0.285,-0.022,1.072,-0.804,1.669,0.174,0.633,-1.042,2.148,0.263,0.395,1.096,1.662,-0.393,0.147,0.475,0.982,1.691,0.032,1.125,-0.089,0.204,-1.171,1.967,1.609,-0.159,0.56,1.679,2.166,1.049,0.231,0.413,1.551,0.037,1.459,1.128,0.299,0.076,0.07,0.507,1.227,2.117,1.554,1.674,1.429
"5","South Africa","May",-0.232,0.007,-0.402,0.685,0.139,0.186,0.299,-0.304,-0.128,0.697,-0.078,-0.264,-0.264,-0.259,-0.033,0.043,-0.746,0.018,0.803,0.361,0.591,0.447,0.447,0.125,0.423,1.581,2.42,0.889,0.866,0.293,1.216,0.782,0.648,0.664,0.733,1.017,-0.317,0.689,1.002,-0.536,0.935,0.553,1.032,2.081,1.147,-1.229,0.639,1.79,0.929,1.771,0.917,1.318,1.123,1.634,2.321,1.535,1.751,1.406,2.812
"6","South Africa","June",1.015,0.408,0.091,-1.178,-1.591,1.292,-0.318,-2.244,0.243,0.022,0.348,-0.134,1.135,0.366,0.727,-0.139,0.374,-0.538,0.341,0.089,-0.598,0.072,0.845,0.372,0.743,0.764,0.05,-0.429,-0.028,-0.119,-0.145,0.451,0.308,-0.47,0.042,0.715,0.009,0.952,1.395,1.323,1.311,-0.265,0.275,0.99,1.07,0.712,0.59,1.044,1.098,0.576,0.031,0.481,0.975,0.527,0.478,1.862,1.574,1.382,1.904
"7","South Africa","July",1.188,0.678,-0.813,-0.84,0.352,-0.026,-1.288,-0.051,0.637,-0.343,0.078,0.246,0.483,0.197,-0.133,-0.37,-0.207,0.992,-0.465,0.436,0.047,0.255,0.41,0.317,0.125,0.373,-0.06,0.155,-0.232,0.176,0.164,0.762,1.803,-0.934,-0.294,-1.425,0.387,0.964,1.66,0.218,-0.015,-0.425,0.455,-0.388,1.572,1.407,0.281,0.905,0.101,1.665,-0.531,0.319,1.093,0.207,0.895,0.544,1.486,1.207,1.911
"8","South Africa","August",-0.352,0.7,0.083,-0.58,1.274,0.509,0.072,-0.297,0.767,-0.303,-0.963,-0.414,-0.393,-0.952,-0.325,-0.811,-0.097,0.783,0.601,0.98,-1.312,0.459,-0.354,0.591,1.551,1.048,0.198,1.333,1.347,0.366,-0.255,-0.206,0.728,0.083,1.057,-1.041,1.444,0.862,0.768,1.437,0.542,0.979,-0.77,1.574,1.136,-0.163,0.658,1.499,1.015,1.537,0.493,0.373,0.069,1.112,2.43,1.887,0.502,0.467,2.038
"9","South Africa","September",0.896,0.665,2.219,-0.275,0.89,-0.412,0.368,-0.051,-0.616,0.118,-0.173,0.315,-0.78,-0.805,1.184,0.532,0.163,-0.697,-0.54,-0.637,-1.489,1.543,0.773,0.695,0.482,0.456,-0.512,-0.137,-0.24,0.489,0.329,1.425,1.649,1.068,1.355,-0.018,1.472,0.601,-0.374,-0.454,-0.399,0.786,0.113,-0.204,1.75,0.94,1.905,-0.652,0.804,1.896,0.971,-0.271,-0.132,1.701,1.58,1.031,2.006,0.461,1.86
"10","South Africa","October",-0.766,0.852,1.132,-0.37,-1.217,0.815,-0.028,-0.228,-0.335,0.338,-0.443,1.248,0.424,-0.012,-0.773,-0.627,0.573,-1.27,0.075,0.618,-1.483,0.477,0.403,0.294,1.657,0.21,0.252,-0.856,-0.747,0.341,0.439,0.492,1.274,-0.274,-0.036,0.5,1.049,0.466,0.819,0.895,1.328,0.962,1.098,0.938,1.168,1.469,0.235,1.235,1.159,0.963,0.761,0.388,0.504,0.973,3.188,1.2,-0.08,1.766,1.835
"11","South Africa","November",0.316,-0.216,0.705,-0.632,-0.415,0.614,0.665,-0.303,0.171,0.013,-0.775,0.98,-0.237,-0.171,-0.311,-1.6,0.657,0.68,0.357,-0.833,0.669,-0.415,0.131,0.09,1.487,-0.478,0.711,-0.135,-0.378,0.59,0.458,0.054,0.352,0.617,0.396,-0.92,-0.264,0.226,1.725,-0.404,0.251,-0.322,1.071,2.729,0.778,0.763,-0.375,0.978,0.132,0.782,-0.277,0.893,0.936,-0.194,0.571,1.525,0.066,0.831,1.9
"12","South Africa","December",-0.717,0.829,0.546,-0.322,-0.176,1.036,0.717,0.359,0.484,-0.509,-0.299,1.051,-0.718,-0.133,-1.191,-0.039,0.741,0.168,0.643,0.125,-0.127,0.393,0.591,-0.193,-0.455,0.967,0.647,-0.619,0.491,0.332,0.232,0.989,0.433,0.615,-0.999,0.088,0.849,0.167,0.953,0.41,0.008,0.776,0.595,1.534,-0.06,0.794,0.083,1.455,0.65,0.426,0.463,0.81,0.18,0.657,2.847,2.181,0.418,1.805,0.384
