"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","South-Eastern Asia","January",-0.099,-0.421,-1.121,0.676,-0.717,0.703,-0.167,-0.072,0.677,0.279,-0.523,-0.456,0.556,-0.575,0.326,-0.806,0.078,0.328,0.756,0.278,-0.13,-0.061,0.096,-0.262,0.311,-0.192,0.397,0.956,0.568,0.48,0.769,-0.101,-0.048,0.742,0.556,0.201,0.07,1.632,0.801,0.596,0.907,0.616,0.585,0.842,0.742,0.688,0.709,0.694,0.228,1.131,0.128,0.785,0.852,0.117,0.525,1.511,1.53,1.105,1.4
"2","South-Eastern Asia","February",0.231,-0.475,-0.602,0.148,0.107,0.558,-0.285,-0.595,0.259,0.315,-0.448,0.025,0.946,-0.499,0.142,-0.107,-0.675,0.193,0.697,0.134,0.322,0.119,0.497,0.142,0.753,0.045,0.337,0.837,-0.019,0.839,0.593,0.232,0.045,0.856,0.067,-0.199,-0.011,1.522,0.937,0.245,0.763,0.813,0.859,0.423,1.493,1.002,0.718,-0.221,1.052,1.508,0.538,0.724,1.293,0.585,0.526,0.955,0.973,0.65,1.598
"3","South-Eastern Asia","March",0.167,-0.351,-0.505,0.005,-0.445,0.316,-0.369,0.031,0.47,0.363,-0.255,-0.449,0.474,-0.479,0.238,-0.18,-0.202,0.393,0.537,0.528,0.38,0.134,0.596,-0.004,0.254,-0.28,0.498,0.664,-0.151,0.151,0.893,0.713,0.002,-0.198,0.369,0.601,0.397,1.409,0.741,0.174,0.395,0.596,0.404,0.837,0.554,0.748,0.676,0.077,0.558,1.159,-0.467,0.495,1.196,0.939,0.928,1.543,0.864,0.887,1.194
"4","South-Eastern Asia","April",0.055,-0.162,-0.253,0.1,-0.297,0.324,-0.385,-0.476,0.354,0.039,-0.176,-0.561,0.653,-0.441,0.232,-0.18,-0.127,0.125,0.442,0.494,0.128,-0.382,0.842,0.2,0.085,0.114,0.458,0.354,0.203,0.449,0.405,0.962,0.036,0.367,0.652,0.015,-0.18,1.238,0.363,0.008,0.82,0.582,0.705,0.7,0.621,0.32,0.4,0.21,0.466,1.134,-0.246,0.429,0.806,0.961,0.574,1.907,0.596,0.531,1.516
"5","South-Eastern Asia","May",-0.105,0.072,0.131,-0.236,-0.237,-0.081,-0.098,-0.183,0.523,0.085,-0.223,0.192,0.041,-0.289,-0.22,-0.305,0.042,0.136,0.437,0.434,0.013,0.123,0.579,-0.291,0.026,0.025,0.671,0.398,0.131,0.033,0.247,0.521,0.151,0.242,0.439,0.219,0.534,1.365,-0.378,0.059,0.191,0.353,0.619,0.314,0.799,0.007,0.179,-0.133,0.217,1.369,0.142,0.617,0.895,1.156,1.166,1.542,0.757,0.657,1.357
"6","South-Eastern Asia","June",-0.349,-0.019,0.015,-0.128,-0.274,-0.15,-0.007,-0.033,0.243,0.145,-0.331,0.053,0.396,-0.114,-0.205,-0.084,0.449,0.171,0.17,0.122,0.151,0.163,0.546,-0.055,0.074,0.395,0.832,0.285,0.078,0.285,0.407,0.591,0.747,0.163,0.758,0.48,0.763,1.175,0.312,-0.031,0.223,0.656,0.576,0.346,0.927,0.46,0.72,0.215,0.657,1.065,0.391,0.595,1.045,1.027,1.265,1.161,0.948,0.765,1.321
"7","South-Eastern Asia","July",-0.183,0.156,-0.167,-0.096,-0.271,-0.027,-0.031,0.26,0.012,-0.109,-0.27,0.186,0.277,-0.093,-0.102,0.031,0.26,0.046,0.289,0.411,0.247,0.139,0.564,-0.027,-0.182,0.2,0.627,0.435,0.349,0.044,0.544,0.088,0.579,0.292,0.301,0.548,0.35,1.021,0.437,0.422,0.655,0.825,0.542,0.198,0.792,0.601,0.437,0.179,0.562,0.872,0.622,0.412,0.539,0.856,1.04,1.11,0.734,0.826,1.017
"8","South-Eastern Asia","August",-0.232,-0.134,-0.154,-0.012,-0.221,0.066,-0.015,0.106,-0.027,-0.066,-0.292,0.037,0.092,0.102,0.127,-0.028,0.184,0.236,0.272,0.23,0.629,-0.027,0.401,0.296,0.209,0.362,0.509,0.393,0.254,0.503,0.381,0.636,0.363,0.232,0.359,0.421,0.653,0.81,0.3,0.455,0.683,0.472,0.7,0.608,0.772,0.453,0.465,0.37,0.917,0.691,0.507,0.667,0.671,0.53,0.994,1.447,1.058,0.871,1.047
"9","South-Eastern Asia","September",-0.244,-0.078,0.121,0.04,-0.153,0.014,-0.221,0.131,0.092,0.102,0.078,0.105,0,-0.017,-0.069,0.215,0.225,-0.141,0.207,0.186,0.347,0.002,0.313,-0.118,-0.037,0.119,0.495,0.399,0.349,0.147,0.378,0.365,0.248,0.359,0.315,0.421,0.193,0.779,0.349,0.405,0.69,0.402,0.526,0.39,0.694,0.351,0.398,0.522,0.948,0.776,0.522,0.581,0.625,0.592,1.178,1.183,1.228,0.923,0.849
"10","South-Eastern Asia","October",-0.063,0.091,-0.139,-0.011,0.027,0.038,-0.293,-0.077,0.154,-0.002,-0.393,0.406,0.098,0.098,-0.013,0.125,0.304,-0.045,-0.033,0.111,0.276,0.102,0.284,-0.159,0.087,0.001,0.825,0.162,0.216,0.179,0.114,-0.385,0.126,0.1,0.588,0.357,0.679,0.839,0.285,0.461,0.647,0.76,0.602,0.494,0.655,0.73,0.347,0.699,0.87,0.573,0.483,0.844,0.571,0.797,1.081,1.284,1.152,0.994,1.195
