"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","South Georgia and the South Sandwich Islands","January",-0.053,0.747,1.347,-0.653,0.147,1.547,-1.853,0.947,-0.153,-0.253,-0.053,-0.953,-0.653,1.147,0.147,-0.853,0.347,1.047,0.947,0.147,0.847,2.047,NA,NA,0.447,-0.053,0.047,-0.223,0.717,-0.443,1.567,1.417,-0.623,1.627,0.127,1.187,NA,NA,NA,2.687,NA,NA,0.997,NA,NA,2.187,0.677,1.557,2.287,-0.473,NA,1.037,-1.033,-1.053,-0.063,-0.263,-0.013,1.987,1.387
"2","South Georgia and the South Sandwich Islands","February",0.193,-0.207,1.493,NA,-1.007,-1.207,-0.607,0.193,1.093,-1.107,0.093,-0.707,-1.707,1.793,0.193,1.093,0.693,1.193,-0.007,0.293,1.793,0.993,NA,NA,1.593,-0.507,0.393,0.913,-0.437,1.423,0.743,0.383,0.453,1.313,1.213,0.663,NA,0.463,NA,2.063,NA,NA,NA,NA,NA,0.553,0.003,1.203,0.033,-1.167,1.533,-0.227,-0.607,-0.467,0.533,0.033,0.883,2.083,-0.267
"3","South Georgia and the South Sandwich Islands","March",-0.515,0.485,-0.115,NA,0.285,-0.415,-0.015,-0.615,-0.615,-2.115,-0.015,0.085,1.785,1.385,-0.415,0.185,-0.915,-0.615,1.585,-1.115,-1.715,NA,NA,NA,-0.815,0.385,0.285,1.625,NA,0.935,-0.815,-0.825,0.365,-0.925,0.165,1.325,NA,NA,NA,NA,NA,-1.735,0.115,NA,0.235,3.255,-0.755,1.195,0.125,-0.325,1.225,-0.875,-0.985,-0.325,0.425,0.975,-1.425,0.675,-0.125
"4","South Georgia and the South Sandwich Islands","April",-0.693,0.107,-0.693,NA,-1.493,0.707,0.307,-0.593,-0.093,-1.193,0.107,0.607,0.007,-0.493,1.607,-0.293,-0.593,-1.293,1.007,0.407,0.707,NA,NA,0.407,0.007,0.807,-0.593,NA,-1.193,-1.393,0.047,-0.813,1.827,-1.533,0.907,-1.283,1.167,NA,NA,0.867,0.207,0.287,0.277,NA,0.277,NA,NA,-0.883,-1.953,NA,0.447,-1.453,-0.773,-1.103,-1.353,-1.053,-1.353,1.297,-1.303
"5","South Georgia and the South Sandwich Islands","May",0.98,-0.32,-0.22,-3.22,0.28,0.28,0.38,-0.92,-0.62,0.58,-0.72,-0.02,0.28,-0.42,0.58,0.38,0.88,-1.92,-0.92,0.78,0.28,NA,NA,0.18,-1.12,-0.52,-0.66,-0.01,2.42,-1.66,0.58,-0.87,1.88,-1.38,-0.15,1.61,0.01,NA,NA,NA,0.53,-1.45,1.51,NA,1.05,3.65,-1.06,-0.61,-0.98,2.32,0.02,-0.08,0.37,-1.38,1.32,-1.13,1.42,-0.23,0.17
"6","South Georgia and the South Sandwich Islands","June",0.047,NA,NA,NA,0.747,-1.453,0.647,0.547,1.747,1.047,-0.053,-1.653,-0.753,-1.053,0.247,-1.753,0.547,0.447,-0.653,0.947,0.147,NA,NA,-1.153,-2.153,1.847,-1.183,0.687,2.277,1.657,-1.613,-0.993,0.077,-1.513,0.567,-0.843,0.377,NA,0.547,NA,-0.423,NA,-0.403,NA,-0.623,NA,0.157,-0.493,0.337,1.187,-0.313,-0.263,0.737,0.737,-0.713,0.637,-0.863,-1.413,-0.013
"7","South Georgia and the South Sandwich Islands","July",-0.978,0.822,-0.078,NA,1.122,-0.378,1.122,2.822,0.622,0.022,-1.078,0.422,-0.478,0.022,-0.978,0.222,-1.378,-0.878,1.522,-2.078,0.822,NA,NA,-1.478,1.322,0.322,-1.988,1.602,1.302,1.762,0.522,-0.418,0.612,-2.298,0.162,0.382,0.292,NA,0.962,NA,-1.978,-0.648,1.572,NA,0.082,-0.028,-2.018,0.332,0.412,0.512,-0.928,-0.838,-0.348,1.562,1.062,-1.338,2.212,-0.288,-2.088
"8","South Georgia and the South Sandwich Islands","August",-1.394,-0.294,-0.884,-0.994,-0.294,1.906,0.006,2.106,0.206,0.806,1.206,-1.894,1.606,-0.594,0.406,0.006,-0.994,2.806,0.806,-2.094,1.606,NA,NA,0.806,1.906,1.406,-1.204,-1.534,0.956,0.556,0.756,1.996,0.316,0.346,-0.514,0.356,1.356,NA,-0.104,NA,1.356,-0.274,1.186,NA,0.516,-2.184,2.266,0.366,-1.204,0.696,-1.504,1.076,0.246,-0.954,0.396,-1.854,2.246,1.246,-1.304
"9","South Georgia and the South Sandwich Islands","September",-1.904,1.196,-1.504,NA,0.696,-1.004,-0.204,-0.004,-0.404,0.296,1.196,-0.004,0.596,0.296,0.296,-0.604,0.496,3.196,1.096,-1.004,0.496,NA,NA,0.496,1.596,0.396,-2.534,-0.634,0.236,0.116,-1.204,0.716,-0.844,-0.054,-1.034,-0.594,-2.024,NA,-0.114,NA,0.476,-0.524,0.556,NA,NA,-1.754,0.706,0.906,0.436,0.626,-0.664,-0.494,-1.834,-0.864,-0.864,0.886,2.486,0.636,0.036
"10","South Georgia and the South Sandwich Islands","October",0.771,0.171,-2.829,2.471,0.471,-1.529,-1.029,0.671,-0.329,-0.029,-0.129,-1.229,0.171,-0.029,0.371,1.771,-0.329,1.371,-0.629,0.571,-1.529,NA,NA,-1.029,-0.229,0.071,-1.869,-1.509,1.161,0.741,-1.589,-0.389,0.611,-1.989,-0.689,0.921,NA,NA,1.071,NA,1.401,-0.379,NA,NA,-1.069,0.651,0.281,1.531,0.961,0.911,0.311,-0.909,0.081,1.111,-0.689,-0.539,1.311,-0.989,0.611
