"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Southern Africa","January",-0.372,0.245,-0.678,0.463,0.249,1.022,-0.366,0.402,1.248,1.154,-0.541,-0.533,1.35,-0.702,-0.301,-0.969,0.504,-0.45,-0.185,0.25,-0.11,0.502,1.44,0.81,0.728,0.569,0.933,0.704,-0.701,0.235,-0.012,1.082,0.888,-0.64,1.514,-0.09,-0.592,-0.026,0.757,-1.617,0.556,0.397,1.347,0.368,0.778,-0.356,1.05,-0.098,0.441,0.325,-0.624,0.974,0.923,0.873,1.297,1.77,-0.257,1.405,1.172
"2","Southern Africa","February",0.164,-0.001,0.169,0.972,0.867,-0.91,-0.553,-0.273,1.069,0.553,-0.516,-0.511,0.614,-0.505,-0.118,-1.019,0.192,-0.362,0.761,0.283,-0.119,1.054,1.162,1.492,0.301,-0.057,1.615,0.653,-1.294,-0.05,0.189,2.086,-0.271,-0.377,1.762,-0.029,-0.075,1.767,1.165,-0.21,0.132,0.59,1.581,0.677,1.107,0.175,1.634,0.348,0.164,1.275,0.185,0.073,1.443,0.649,1.309,2.042,0.194,0.59,1.554
"3","Southern Africa","March",0.076,0.279,-0.448,1.598,0.328,0.082,-0.599,-0.559,0.049,1.087,0.806,-0.545,1.365,-0.684,-0.987,-0.812,-0.919,0.413,0.144,0.272,-0.951,0.328,1.135,1.244,-0.009,0.118,1.404,0.62,-0.19,0.185,-0.001,1.269,0.588,0.847,0.586,0.062,-0.594,1.603,1.582,0.032,0.545,0.96,1.317,0.172,0.475,-1.082,1.52,-0.052,-0.133,1.612,0.556,0.909,1.481,0.001,1.498,1.062,0.175,0.366,2.496
"4","Southern Africa","April",0.57,-0.16,-0.581,0.166,-0.09,-0.451,-0.77,-0.831,0.02,0.949,0.612,0.234,0.19,-0.505,-0.432,-0.269,0.488,-0.874,1.463,0.016,0.292,-0.674,1.862,0.367,0.309,0.749,1.905,-0.08,-0.302,0.429,0.372,1.841,-0.051,1.006,0.484,0.402,-1.08,2.117,1.425,-0.352,0.528,1.504,1.806,0.39,0.456,0.038,1.504,-0.273,1.042,1.344,0.023,0.097,0.248,-0.072,0.977,1.948,0.659,1.045,1.808
"5","Southern Africa","May",-0.024,-0.124,-0.7,0.496,0.143,0.043,0.24,-0.266,-0.198,0.822,0.041,-0.401,0.184,-0.424,0.064,-0.314,-0.514,0.131,0.787,0.431,0.31,0.258,0.78,0.395,0.414,1.637,2.459,0.641,1.161,0.746,1.19,0.788,1.07,0.91,0.85,1.214,-0.209,1.097,1.505,-0.353,0.692,0.91,1.376,1.913,1.84,-0.997,0.705,1.822,1.231,2.194,0.708,1.325,1.094,1.661,2.254,1.208,1.366,1.654,2.912
"6","Southern Africa","June",0.6,0.25,-0.156,-1.372,-1.23,1.486,-0.244,-2.226,0.573,0.197,0.447,-0.284,1.049,0.226,0.62,-0.031,0.335,-0.476,0.43,-0.155,-0.604,0.153,0.995,0.297,0.67,0.774,-0.028,-0.056,-0.062,0.746,0.118,0.665,0.591,-0.714,0.358,1.02,0.595,1.398,1.627,1.28,0.942,0.04,0.609,1.143,1.94,0.24,0.677,1.275,1.281,0.619,0.276,0.294,1.73,0.979,0.832,1.947,1.718,1.629,1.833
"7","Southern Africa","July",1.302,0.448,-0.604,-1.198,0.242,0.177,-1.039,0.327,0.467,-0.081,0.094,0.122,0.405,-0.013,-0.006,-0.51,-0.04,0.687,-0.303,0.136,0.252,0.119,0.622,0.233,0.273,0.514,-0.046,0.274,-0.094,0.818,0.185,0.767,1.714,-1.086,0.435,-1.256,0.589,1.35,1.688,0.241,0.024,0.653,0.827,-0.102,1.237,1.246,0.359,1.106,-0.35,1.525,-0.586,0.115,1.281,0.479,1.128,0.629,1.709,1.455,1.87
"8","Southern Africa","August",-0.416,0.108,-0.178,-0.498,0.96,0.331,-0.038,0.196,0.629,-0.122,-0.866,-0.375,-0.386,-0.881,-0.395,-0.823,0.118,1.197,0.787,0.637,-0.943,0.425,-0.677,0.619,1.223,0.905,0.291,1.158,1.097,0.591,0.141,-0.383,0.758,0.008,1.273,-0.58,1.491,0.585,0.612,1.01,0.544,1.212,-0.252,1.777,1.435,-0.384,0.269,1.62,0.617,1.702,0.453,0.414,0.211,1.147,2.247,1.847,0.734,1.951,2.009
"9","Southern Africa","September",0.895,0.551,1.632,-0.459,0.49,-0.51,0.247,0.077,-0.787,0.26,0,-0.019,-0.32,-0.936,0.989,0.058,0.04,-0.377,0.031,-0.34,-1.228,0.966,0.876,0.836,0.279,0.254,-0.393,-0.214,-0.294,0.32,0.31,1.198,1.365,1.065,1.379,-0.001,1.079,0.926,-0.576,-0.199,-0.574,0.207,0.523,-0.046,1.382,0.83,1.736,0.024,1.004,1.983,1.314,-0.175,0.223,1.457,1.719,1.09,2.201,1.323,1.177
"10","Southern Africa","October",-0.482,0.699,0.847,-0.39,-1.451,0.757,-0.03,0.149,-0.551,0.318,-0.308,1.138,0.036,-0.135,-0.61,-0.822,0.611,-1.037,0.136,0.552,-1.259,-0.061,0.282,0.189,0.988,-0.399,0.238,-0.45,-0.879,0.503,0.13,0.447,1.367,-0.227,0.257,0.398,0.619,0.477,0.346,0.919,0.84,0.938,1.17,0.43,1.205,0.974,0.154,1.586,0.863,1.35,0.309,0.855,0.855,0.949,2.665,1.984,0.003,1.268,2.144
"11","Southern Africa","November",0.053,-0.259,0.278,-0.567,-0.223,0.772,0.288,-0.55,0.219,0.25,-0.767,1.038,-0.261,-0.58,-0.038,-0.818,1.047,0.453,0.06,-0.923,0.752,-0.157,0.185,0.056,0.889,-0.562,1.317,-0.146,-0.193,0.926,0.009,0.065,0.188,0.69,0.634,-0.963,0.053,0.265,1.469,-0.381,-0.019,-0.21,0.937,1.948,0.635,0.536,0.021,0.925,0.264,0.512,0.077,1.27,0.862,-0.736,1.042,1.639,0.286,0.729,2.376
"12","Southern Africa","December",-0.477,0.572,0.093,-0.412,0.175,0.713,0.32,0.318,0.092,-0.543,-0.212,1.583,-0.958,-0.4,-0.846,0.185,0.277,0.105,0.368,0.292,0.385,0.301,0.137,0.034,-0.558,1.042,0.332,-0.956,0.915,0.223,-0.506,0.91,0.363,1.035,-0.958,0.063,0.873,-0.14,-0.088,0.368,0.162,0.676,0.819,0.933,-0.224,0.521,-0.37,0.79,1.101,0.266,0.111,0.256,-0.049,0.303,2.605,1.698,0.491,1.581,0.543
