"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Southern Asia","January",0.537,-0.614,1.028,-2.586,0.619,1.909,-0.314,-0.176,-0.526,0.401,-0.366,-0.71,-0.942,-0.79,-0.602,0.604,-1.184,-0.017,0.822,0.147,0.822,0.631,-0.32,0.041,0.742,0.287,1.26,0.996,-0.988,0.944,0.152,-0.396,-0.202,1.174,0.386,0.021,0.315,0.264,0.529,0.942,0.113,0.872,0.777,1.261,0.263,0.182,0.581,-1.598,1.268,1.596,0.265,-0.017,0.71,0.49,0.956,1.878,1.084,1.226,1.383
"2","Southern Asia","February",-1.269,0.711,1.839,-0.111,-0.087,1.845,0.318,-1.425,-0.799,0.741,-0.039,-3.534,1.348,-1.749,-0.552,-0.688,0.58,-0.115,0.157,0.136,0.873,-1.228,-0.574,-1.742,0.703,-0.164,1.046,0.788,-1.453,0.017,-0.048,-0.821,0.665,-0.36,0.338,0.723,-0.321,0.125,1.954,-0.481,0.96,0.859,1.264,1.504,-0.134,3.098,0.989,-1.039,2.163,1.451,0.456,-0.714,1.112,-0.902,1.723,2.067,0.723,2.024,0.513
"3","Southern Asia","March",0.263,0.379,-0.171,1.192,-0.612,-0.017,-1.034,-0.209,1.676,-0.235,0.225,-0.635,0.111,0.771,-0.453,-1.12,2.093,-0.798,-0.844,-0.147,0.263,-1.435,-1.17,1.071,0.647,-0.821,0.263,0.35,-0.282,-0.821,0.004,-1.05,-0.977,1.081,-0.627,0.389,-0.384,-0.36,0.592,-0.237,0.944,1.34,0.141,2.329,0.966,0.977,-0.118,2.127,1.533,2.831,0.756,0.052,1.309,0.064,-0.031,1.906,0.867,2.683,0.047
"4","Southern Asia","April",-0.644,-0.144,-0.267,0.078,-1.541,-0.289,-1.186,-0.791,0.011,1.036,0.265,-0.433,1.204,0.434,0.248,-0.618,0.13,0.421,0.828,1.654,0.37,0.047,-1.326,0.584,0.521,0.154,0.163,0.808,-0.177,-0.119,0.037,-0.582,-0.033,-0.303,-0.223,-0.044,-1.105,0.968,1.273,2.098,0.971,0.844,0.946,0.945,0.27,0.541,1.362,0.822,0.141,2.215,0.423,0.741,0.353,0.795,0.661,1.445,1.626,1.093,0.869
"5","Southern Asia","May",0.423,-0.12,-0.989,-0.049,-0.217,0.085,-0.365,-0.819,-0.358,0.94,0.067,-0.463,0.494,-0.064,0.44,-0.197,-0.47,0.672,-0.76,0.951,0.119,-0.385,0.101,0.402,0.425,-0.1,-0.23,1.172,0.069,0.165,-0.071,-1.018,0.276,0.63,0.192,0.261,-0.492,1.035,0.439,1.359,1.399,1.055,0.209,0.479,-0.083,1.357,0.827,0.913,1.033,1.319,1.309,1.225,0.834,0.554,1.334,1.552,1.71,0.781,0.993
"6","Southern Asia","June",-0.284,-0.268,0.134,0.012,0.188,0.318,-0.31,-0.263,0.237,-0.149,-0.549,0.532,0.416,-0.144,-0.1,-0.518,0.221,-0.23,0.515,0.072,0.136,0.066,0.5,0.077,0.225,0.171,0.553,0.413,-0.206,0.263,-0.051,0.404,0.155,0.227,0.881,0.01,0.065,0.928,0.274,-0.098,0.114,0.677,0.767,0.2,1.083,0.56,0.605,0.32,0.548,1.056,0.803,0.987,0.487,1.56,0.851,1,0.988,1.105,1.543
"7","Southern Asia","July",0.107,0.245,0.475,-0.157,-0.02,0.312,0.137,-0.17,0.001,0.1,-0.24,0.113,0.122,-0.091,-0.169,0.01,0.059,-0.572,0.491,0.172,-0.033,0.29,0.567,-0.165,-0.098,-0.101,0.526,0.206,0.118,-0.03,0.557,0.089,0.082,-0.127,0.505,0.246,0.789,0.746,0.336,0.26,0.396,1.103,0.637,0.42,0.657,0.831,0.54,0.667,0.834,0.929,0.722,0.953,0.713,1.005,0.98,0.793,0.75,1.222,1.413
"8","Southern Asia","August",0.099,-0.228,0.14,0.189,-0.179,0.265,-0.077,0.004,-0.23,0.597,-0.178,-0.512,0.133,-0.059,0.002,-0.238,0.1,-0.274,-0.14,0.177,0.107,-0.03,0.546,0.245,-0.191,-0.267,0.813,0.141,-0.009,0.475,0.113,-0.372,0.283,0.349,0.656,-0.069,0.587,1.048,0.688,0.661,0.715,0.788,0.735,0.707,0.675,0.643,0.628,0.35,1.294,0.69,0.891,0.794,0.434,1.023,0.932,0.766,0.865,0.958,0.981
"9","Southern Asia","September",0.176,-0.726,0.166,-0.225,-0.182,-0.085,-0.02,0.301,-0.369,-0.041,-0.275,-0.107,-0.025,0.112,-0.234,0.022,-0.064,0.009,0.274,0.203,0.055,-0.09,0.429,-0.493,0.097,0.086,0.967,0.578,0.119,0.487,0.2,-0.549,0.252,-0.762,0.343,0.66,0.4,0.847,0.633,0.706,0.975,0.635,0.411,0.737,0.997,0.548,0.605,0.833,1.035,0.496,0.603,0.568,1.298,1.081,0.919,1.3,1.142,0.968,1.208
"10","Southern Asia","October",-0.75,-0.687,0.65,-0.92,0.705,-0.019,-0.354,-0.181,0.55,0.274,-0.445,0.129,0.054,-0.486,-0.132,0.471,0.182,0.33,0.952,0.417,-0.231,0.204,-0.442,-0.717,-0.564,0.542,-0.308,0.22,0.475,-0.184,-0.183,-0.314,-0.24,-0.316,0.344,-0.291,0.087,0.883,0.786,0.806,0.985,1.442,0.837,-0.14,0.642,1.757,-0.028,1.155,0.462,1.695,0.788,0.502,0.838,0.812,1.618,0.951,1.581,0.757,0.909
"11","Southern Asia","November",-0.761,-0.924,0.436,-0.569,0.861,-0.164,0.244,0.375,0.058,0.302,0.126,0.511,-0.328,0.029,-1.18,0.378,1.191,-0.201,0.93,0.911,-0.051,-0.586,0.246,0.109,0.361,0.369,0.74,0.499,0.695,1.05,0.086,0.562,0.293,1.049,0.657,-0.245,0.334,1.403,0.879,0.536,1.261,1.032,0.386,1.28,0.334,1.096,1.4,0.665,0.809,1.213,0.756,0.745,0.576,0.386,1.057,0.35,1.119,1.05,0.434
"12","Southern Asia","December",-0.504,-0.17,-0.276,-1.624,-0.129,-0.107,-0.046,0.28,1.051,-0.36,0.362,-0.639,-0.735,-1.122,-0.681,0.238,0.692,1.03,0.531,0.734,0.699,-0.665,-0.275,-0.77,0.531,-0.526,0.669,1.143,0.377,0.344,0.281,0.529,0.535,-0.267,0.047,0.474,0.095,1.608,0.741,0.783,1.688,0.551,0.506,0.565,0.861,-0.128,0.253,1.201,1.12,0.378,0.038,0.62,0.099,0.304,0.67,1.909,1.016,0.943,0.668
