"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Spain","January",-0.625,0.898,-0.42,-0.54,-0.66,2.153,-0.391,0.11,0.959,1.369,-0.669,-1.233,-0.484,1.187,1.063,-0.797,0.142,-0.456,1.07,-0.028,-0.35,1.947,0.046,0.259,-1.927,0.076,-0.519,1.799,-0.15,0.303,-0.283,-1.338,-0.076,0.368,1.059,2.29,0.819,1.645,0.409,-1.185,1.779,1.482,0.246,1.782,-0.671,-0.735,0.815,1.866,-0.183,0.204,0.732,0.593,1.173,1.938,0.218,2.663,-0.147,1.435,0.23
"2","Spain","February",2.521,-0.311,-1.875,0.774,-2.061,2.245,0.284,0.28,-1.527,0.036,0.117,-0.178,-0.97,-0.386,0.837,0.329,1.502,1.357,0.841,1.103,-0.811,0.912,-1.343,-0.707,1.854,-0.646,0.323,0.267,0.987,3.3,-0.972,0.048,-0.189,0.468,2.109,-0.536,2.686,2.448,-0.121,2.461,1.102,1.741,-0.322,0.597,-2.056,-0.638,2.171,2.271,0.346,0.279,1.045,-1.871,-0.293,0.792,-0.522,1.387,2.052,-1.055,1.649
"3","Spain","March",1.812,-0.437,0.316,-0.034,0.496,-0.306,1.447,-0.713,-0.17,-1.758,-2.65,-0.619,-1.102,-0.677,-1.446,-0.193,1.053,0.531,-0.484,0.167,2.163,0.335,1.317,-1.596,-0.834,-0.06,1.148,0.895,1.83,1.76,0.928,0.691,0.408,2.315,1.06,0.488,3.187,2.525,0.926,1.552,3.089,1.726,1.987,-0.028,0.765,1.639,0.605,0.971,1.415,0.261,0.646,1.346,0.736,1.145,1.196,0.02,1.989,0.192,1.705
"4","Spain","April",1.938,0.443,0.202,-0.001,0.461,1.006,-0.558,0.089,-0.163,-0.114,-0.098,-0.409,-0.436,-1.297,-0.488,-1.231,0.762,-0.834,-0.63,-0.215,-0.081,0.594,0.025,1.856,1.058,-2.284,1.773,0.734,-0.809,-0.403,-0.498,1.156,0.157,-0.06,1.396,1.381,2.731,0.098,1.586,0.026,1.334,1.136,1.355,0.169,1.531,2.264,1.375,1.745,0.287,2.079,3.554,-0.1,0.794,3.111,2.22,0.877,2.492,1.395,0.727
"5","Spain","May",1.755,0.214,-0.239,2.9,1.653,0.772,-1.012,-0.618,-0.514,-0.165,-1.62,-1.588,0.317,0.09,-1.613,0.23,-1.353,-1.373,-0.029,-1.107,-0.637,0.416,-1.138,-3.056,-1.288,1.371,0.116,0.128,1.487,1.537,-0.624,1.876,-0.213,0.848,2.066,0.232,1.174,0.268,2.003,1.709,0.94,-0.054,1.707,-0.337,2.175,2.5,1.112,0.372,1.993,0.277,2.561,2.3,-0.932,1.213,2.852,0.578,2.874,0.581,1.504
"6","Spain","June",0.82,0.316,-0.186,0.753,1.542,0.055,-0.736,0.461,-1.155,0.219,-1.449,-1.369,0.073,0.014,-0.432,1.774,-1.757,-1.649,0.776,-0.234,1.44,1.399,1.378,-0.449,0.766,0.569,0.764,-0.587,1.399,1.278,1.032,-1.847,0.883,1.433,1.125,1.854,0.212,1.504,1.531,2.082,2.461,1.672,3.84,3.074,3.487,2.314,0.948,1.286,2.624,0.943,1.786,2.704,0.224,1.618,2.652,2.08,4.076,1.344,1.439
"7","Spain","July",0.378,0.154,0.335,0.79,-0.748,-0.702,1.038,0.223,0.757,0.468,-0.018,-0.723,-0.472,0.119,0.83,0.377,-2.182,-0.317,0.353,-1.059,-0.389,0.645,0.558,0.825,1.168,0.713,0.305,0.126,2.212,1.684,1.15,0.74,0.216,2.113,1.627,0.732,-0.367,1.177,1.532,0.379,0.35,0.262,1.678,1.179,1.769,2.797,0.736,0.725,1.701,2.285,0.411,0.882,1.881,0.436,3.31,2.318,1.805,1.231,1.987
"8","Spain","August",0.54,1.367,-0.96,0.442,0.047,0.225,0.151,-0.38,0.083,-0.194,-0.423,-1.302,1.089,-0.095,0.548,0.167,-2.105,0.052,0.032,1.232,0.196,0.066,-0.428,-0.515,0.269,0.11,1.315,1.013,1.807,1.848,2.208,1.184,0.759,1.858,1.374,-0.081,0.918,1.731,1.484,0.987,1.65,-0.199,3.215,1.353,1.243,0.872,0.36,1.148,2.187,2.004,1.553,2.229,1.638,1.043,1.649,2.217,2.007,2.532,1.806
"9","Spain","September",1.167,1.412,-1.124,2.265,-2.09,1.248,-0.391,-0.31,-2.189,1.481,0.075,-2.462,0.061,-0.872,-1.167,-1.258,0.206,1.424,-0.123,1.603,0.516,0.268,1.796,-0.348,2.3,0.87,2.774,0.719,0.037,1.92,1.763,0.133,-1.403,-1.089,-1.197,-1.233,1.455,0.694,0.647,0.859,0.299,0.01,1.245,1.544,0.376,1.636,0.456,0.01,0.848,0.883,1.852,0.941,1.402,1.805,0.062,1.908,0.604,2.703,1.202
"10","Spain","October",-0.102,1.456,1.284,-0.737,0.474,-0.712,1.475,2.391,0.461,-0.666,1.828,-1.059,-0.662,-2.754,0.377,-1.423,0.515,-0.03,-0.441,0.016,0.826,-0.494,1.563,-0.195,1.799,1.135,-0.14,1.125,1.685,0.693,-1.396,-1.382,-1.83,0.775,2.531,0.241,2.458,-0.106,0.806,0.006,2.293,1.148,0.005,1.502,1.477,2.605,0.604,0.163,2.486,0.144,2.263,0.906,2.312,3.189,1.252,2.044,3.054,0.782,1.747
"11","Spain","November",-0.026,-1.866,1.342,0.015,-0.112,-2.024,0.445,0.858,-0.631,1.917,-1.777,0.801,0.496,0.108,-0.22,-1.44,0.086,0.156,-0.224,-0.311,2.113,0.302,2.722,1.027,-0.162,0.394,0.443,1.201,2.083,0.181,0.097,1.635,-0.49,2.256,2.443,0.85,1.639,0.603,-0.977,0.112,-0.754,1.537,1.315,-0.134,-0.175,2.928,0.041,-0.937,2.366,0.043,1.938,0.913,0.276,2.109,2.321,0.775,0.896,0.945,0.853
"12","Spain","December",1.475,-1.282,-0.823,-1.329,0.854,-0.075,-1.431,0.388,-1.194,-2.455,-0.073,-0.156,-0.977,0.296,-1.304,0.827,2.021,1.862,0.742,-1.13,1.939,-0.065,0.721,0.521,0.58,0.168,1.984,-0.243,3.21,-0.945,0.571,0.91,0.99,1.428,2.105,1.153,1.373,-0.327,0.426,2.02,-1.118,2.475,0.83,0.36,-0.367,0.305,0.315,-0.285,0.921,0.372,1.109,1.142,0.295,0.446,2.918,1.609,0.329,1.933,4.759
