"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Sri Lanka","January",0.314,-0.228,-0.305,0.235,-0.077,0.503,-0.138,-0.104,0.059,0.177,-0.207,-0.371,0.389,-0.988,-0.449,-0.821,-0.257,0.331,0.666,0.329,-0.002,0.142,0.607,0.411,0.697,0.058,0.971,1.175,0.585,0.26,0.625,0.387,0.17,0.555,0.938,0.554,0.437,1.677,0.398,0.544,0.713,1.169,0.724,1.685,1.149,0.271,0.654,0.673,0.518,0.829,0.235,0.874,0.803,0.852,0.829,1.423,0.641,0.656,1.03
"2","Sri Lanka","February",-0.36,0.128,-0.171,0.436,-0.204,0.65,-0.346,-0.199,0.166,0.252,-0.445,-0.674,1.159,-0.352,0.078,-0.601,0.161,0.673,0.818,0.415,0.132,0.048,1.17,0.053,0.741,0.274,0.218,1.278,-0.067,1.629,0.614,0.283,0.477,0.599,0.571,0.704,0.381,2.107,0.984,0.709,0.458,1.173,1.129,1.164,1.328,0.838,0.677,0.789,0.631,1.763,0.48,1.035,0.685,0.967,0.636,1.967,0.438,1.317,1.78
"3","Sri Lanka","March",0.077,-0.281,-0.299,0.191,-0.377,0.314,-0.106,0.11,0.701,0.303,-0.24,-0.374,0.794,-0.059,-0.276,-0.324,0.184,0.255,0.29,0.498,0.875,0.493,1.118,0.165,0.593,0.218,1.022,1.679,0.097,1.246,0.909,0.332,0.657,0.602,0.946,0.765,1.047,1.881,0.854,0.509,1.293,1.351,1.019,1.53,1.449,0.699,0.715,-0.009,0.869,1.842,0.712,1.016,1.101,1.235,0.951,1.988,0.846,1.083,1.524
"4","Sri Lanka","April",-0.101,-0.038,-0.285,0.386,-0.451,0.136,0.049,-0.371,0.614,0.044,-0.314,0.025,0.751,-0.195,-0.133,-0.184,0.248,0.299,0.636,0.377,0.583,0.705,1.409,0.182,0.896,0.539,0.98,0.606,0.692,1.237,0.893,1.002,0.626,0.438,0.645,0.66,0.604,1.99,0.233,0.976,0.41,0.69,0.936,1.256,0.612,0.714,0.418,0.149,0.685,1.39,0.227,0.481,1.43,1.069,0.551,2.01,1.525,0.983,1
"5","Sri Lanka","May",-0.373,-0.246,0.111,0.375,-0.498,0.252,0.074,-0.106,0.252,0.08,-0.091,-0.746,0.516,-0.338,-0.025,0.191,-0.328,0.026,0.33,0.906,0.341,0.165,1.099,0.693,0.659,0.575,0.581,1.159,0.689,0.435,1.243,0.421,0.486,0.734,0.213,1.268,0.686,1.461,-0.017,1.098,1.357,0.85,0.848,0.09,0.957,0.47,0.915,0.64,0.738,1.015,0.893,1.215,1.039,0.92,0.868,0.723,1.185,0.241,1.694
"6","Sri Lanka","June",-0.595,-0.177,-0.004,0.033,-0.072,-0.254,-0.131,-0.03,0.119,0.345,-0.441,0.389,0.239,-0.246,-0.382,0.266,0.259,0.117,0.666,0.649,-0.137,0.191,1.123,0.038,-0.722,0.84,1.226,0.351,-0.156,0.38,0.221,0.451,0.427,0.568,0.58,0.178,0.953,1.383,-0.004,0.479,0.62,0.972,1.24,0.559,1.005,0.833,0.811,0.651,0.413,1.004,1.149,1.144,0.367,1.68,1.082,0.937,1.228,0.71,1.883
"7","Sri Lanka","July",-0.443,0.027,-0.062,-0.284,0.095,0.314,-0.033,-0.348,0.261,0.023,-0.343,0.492,0.464,-0.063,-0.349,0.44,0.287,-0.16,0.361,0.676,0.594,0.013,0.9,-0.339,-0.17,0.657,0.799,0.669,-0.185,0.205,0.832,0.191,0.077,0.617,0.866,0.376,1.304,0.894,0.693,0.878,0.954,1.211,1.086,0.671,0.803,0.794,0.701,0.499,0.644,0.889,1.163,1.371,0.666,1.609,1.586,1.209,1.844,1.037,1.625
"8","Sri Lanka","August",-0.128,-0.037,0.409,-0.298,-0.204,0.495,0.003,-0.011,-0.159,0.047,-0.411,0.131,-0.221,-0.113,0.031,0.049,-0.023,-0.124,0.395,0.309,0.106,0.494,0.88,0.187,-0.094,-0.131,0.573,0.613,0.519,0.506,0.836,0.488,0.41,0.474,0.605,0.544,1.224,0.648,0.712,0.18,0.939,0.971,0.946,1.142,1.247,0.614,0.562,0.616,0.88,0.849,1.035,0.919,0.794,0.828,1.477,0.83,1.22,0.813,0.94
"9","Sri Lanka","September",-0.375,-0.106,0.255,-0.082,0.064,-0.03,-0.106,-0.054,0.404,-0.023,-0.346,0.239,0.049,-0.56,-0.311,0.21,0.446,-0.043,-0.309,0.353,-0.26,0.578,0.141,-0.197,0.147,0.051,1.019,0.31,0.269,0.737,1.007,0.313,0.526,0.479,0.798,0.193,0.544,0.739,0.942,0.389,1.05,1.556,1.297,0.275,0.901,0.704,0.601,0.86,0.748,0.778,1.021,1.268,0.538,0.888,1.078,1.329,0.789,0.751,0.738
"10","Sri Lanka","October",-0.076,-0.168,-0.301,-0.12,-0.026,-0.318,-0.451,0.246,0.007,-0.026,-0.259,0.041,0.227,0.013,0.042,0.217,-0.077,0.19,0.302,0.327,0.358,0.373,0.64,-0.036,0.069,0.308,0.813,1.014,0.585,0.64,0.134,0.198,0.225,-0.184,0.746,0.565,0.514,0.993,0.178,0.689,1.098,0.714,1.012,0.461,0.832,0.626,0.36,0.711,0.977,0.969,1.228,0.538,1.111,0.884,1.044,1.59,1.22,0.33,0.333
