"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Sudan (former)","January",1.372,-1.487,0.916,-0.593,-0.265,0.562,-0.386,-0.356,-0.635,0.052,-0.327,0.501,0.604,-0.862,-0.527,-0.004,-0.532,-0.13,0.642,0.396,0.257,1.369,-2.909,-0.909,2.69,0.214,0.21,0.323,-2.769,0.228,0.1,-0.985,0.148,1.033,0.711,0.755,0.558,-0.122,0.812,0.513,-1.004,-0.854,1.118,1.108,-0.152,2.414,-1.265,0.83,1.839,2.518,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Sudan (former)","February",-1.433,-0.161,0.552,-0.853,-0.032,-1.108,-0.526,-1.603,0.323,0.676,-0.522,-0.721,2.135,0.27,1.346,-0.324,0.22,0.882,1.129,0.623,-0.258,-1.252,-0.187,1.003,-1.491,1.089,1.571,0.528,-2.595,-1.253,0.304,-3.221,-0.876,-0.528,-0.282,0.985,-1.916,-0.052,3.043,0.221,-0.366,1.557,1.209,0.069,3.584,2.215,0.257,-0.206,1.973,2.689,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Sudan (former)","March",-0.551,0.601,-0.443,0.178,0.033,-0.496,-1.227,-0.861,1.058,-0.552,0.622,0.188,0.711,-0.809,0.317,0.649,-0.394,-0.196,0.228,0.703,-0.031,0.211,-0.703,1.448,0.843,0.802,0.512,0.911,-0.892,-1.472,-0.297,0.372,0.461,-0.807,0.52,0.177,0.205,-0.221,-0.571,-0.794,0.726,0.96,0.543,0.945,1.514,0.821,0.498,1.601,0.5,1.278,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Sudan (former)","April",-0.081,-0.303,-0.476,0.033,-0.653,-0.419,-0.137,-1.305,0.487,0.31,-0.555,0.31,0.875,0.349,0.315,-0.166,-0.212,0.736,1.102,1.111,0.199,0.341,0.227,0.722,-0.504,-0.152,0.434,0.942,0.252,1.031,0.301,1.155,0.617,0.782,0.364,0.5,0.744,1.635,0.308,1.262,1.47,1.844,1.282,1.254,2.375,0.921,1.176,0.823,1.539,2.856,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Sudan (former)","May",0.63,-0.214,-0.377,-0.254,-0.115,-0.088,-0.035,-0.46,0.052,0.242,0.014,0.266,0.109,-0.577,0.174,-0.094,0.055,0.573,-0.153,0.58,0.275,0.059,1.139,0.45,-0.231,0.116,0.152,0.538,-0.235,1.132,-0.295,0.749,0.111,0.484,0.568,0.249,-0.198,0.985,0.115,0.529,1.06,1.536,1.15,1.566,0.711,0.309,1.569,0.664,0.989,1.352,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Sudan (former)","June",0.2,0.031,0.282,-0.211,0.159,-0.167,-0.225,-0.618,0.697,0.403,-0.099,-0.036,0.562,-0.282,-0.393,-0.085,-0.151,0.275,-0.077,0.374,0.418,0.403,0.836,0.151,0.029,-0.019,0.437,0.403,-0.152,0.999,0.395,0.473,-0.068,0.181,1.092,0.15,0.175,1.221,0.327,0.815,-0.027,0.823,0.319,0.668,0.919,0.872,0.362,0.77,1.845,1.386,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Sudan (former)","July",-0.657,0.248,0.047,-0.721,0.507,0.54,-0.249,-0.328,0.44,0.305,-0.19,0.662,0.596,-0.684,-0.167,-0.068,0.212,-0.321,0.519,0.255,-0.091,0.768,1.161,0.372,-0.224,0.085,1.555,0.094,0.63,0.781,0.189,0.541,0.231,-0.072,0.844,0.701,0.987,1.219,0.09,0.916,0.324,1.833,0.379,1.258,0.799,1.197,0.372,0.826,1.54,0.822,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Sudan (former)","August",-0.652,-0.117,0.23,-0.706,0.123,0.445,-0.493,0.342,0.436,-0.05,-0.024,0.75,0.286,0.051,-0.634,0.113,0.171,0.129,0.772,0.488,0.725,0.359,0.804,0.986,0.579,0.989,1.144,0.073,0.897,1.037,0.405,0.464,1.137,0.222,1.12,0.775,1.154,0.575,0.138,0.497,0.707,1.028,0.732,1.075,1.393,0.968,0.525,0.877,1.952,0.999,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Sudan (former)","September",-0.535,-0.24,0.578,-0.61,0.19,0.322,-0.472,0.338,0.534,-0.215,-0.443,0.798,0.242,-0.502,-0.642,0.225,0.56,0.201,0.755,0.824,0.136,0.816,0.438,0.508,0.242,0.341,1.402,0.256,0.822,0.703,1.106,0.446,1.222,0.082,0.593,0.963,1.84,0.428,0.248,0.791,0.614,1.371,0.854,0.972,0.931,0.611,0.468,1.008,2.005,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Sudan (former)","October",-0.621,0.055,0.463,-1.004,-0.502,0.095,-0.67,0.28,0.553,0.025,-0.424,0.773,0.445,0.1,-0.243,0.562,-0.655,0.163,0.774,1.03,0.703,0.05,0.055,1.163,0.715,0.53,0.559,0.23,0.451,0.95,0.31,0.636,0.754,0.729,0.78,0.749,0.522,0.511,-0.232,-0.289,0.356,1.109,1.439,1.622,0.94,0.938,1.007,0.559,1.426,1.269,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Sudan (former)","November",-1.041,0.816,-0.198,-0.562,-0.416,0.423,-1.668,0.51,0.561,-0.104,-0.109,-0.38,-0.814,0.19,0.314,0.194,-0.423,-1.369,1.234,0.593,-0.427,-1.219,0.445,-0.103,0.613,0.473,1.083,0.078,0.591,1.935,0.601,0.019,0.794,-0.13,0.162,0.056,0.58,1.072,0.499,0.434,0.597,0.912,1.117,1.428,0.809,-0.294,0.805,1.197,1.15,2.236,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Sudan (former)","December",-1.555,0.49,-0.104,-1.118,-0.254,0.155,0.01,0.266,1.438,-0.981,-1.599,0.174,0.375,-0.919,-0.597,1.655,-0.061,0.514,-0.737,0.676,1.575,-0.044,0.786,0.579,0.649,-1.001,0.723,1.097,-0.168,2.963,-1.98,0.529,1.641,-0.736,0.92,0.712,0.525,1.262,0.79,0.08,1.193,0.624,1.107,0.769,2.683,-1.036,1.197,2.015,1.256,1.228,NA,NA,NA,NA,NA,NA,NA,NA,NA
