"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Suriname","January",0.095,-0.336,-0.427,-0.244,-0.388,0.421,-0.164,-0.27,0.129,0.447,-0.529,-0.665,0.68,-0.53,-0.008,-0.598,0.189,0.178,0.519,0.494,0.097,0.507,0.705,-0.294,-0.186,0.14,0.207,0.7,-0.33,-0.07,0.201,0.29,0.085,0.355,0.757,0.704,0.398,1.099,0.299,0.477,-0.138,0.886,1.076,1.368,1.63,0.294,1.577,0.995,1.516,1.393,1.195,0.376,1.955,1.416,0.916,1.472,0.961,1.063,1.217
"2","Suriname","February",-0.125,-0.328,-0.513,0.333,-0.628,0.115,-0.219,-0.096,0.602,0.582,-0.669,-0.543,0.737,-0.234,-0.262,-0.358,-0.2,0.85,0.112,0.728,0.023,0.167,0.617,0.006,0.006,0.047,0.576,0.589,-0.333,0.418,0.782,0.674,0.742,0.291,0.974,0.596,0.073,2.574,0.64,0.151,0.682,1.14,0.836,1.168,1.746,1.204,1.451,0.719,1.076,1.675,0.873,0.178,1.828,1.387,1.117,1.689,1.038,0.766,1.209
"3","Suriname","March",0.157,-0.001,-0.323,0.266,-0.121,-0.01,-0.452,-0.392,0.695,0.414,-0.431,-0.244,1.107,-0.302,-0.019,-0.715,-0.01,0.367,0.259,0.291,0.744,0.136,0.754,0.356,0.327,0.074,0.905,0.618,-0.038,0.478,0.386,0.791,0.437,0.362,0.993,0.66,0.413,1.595,0.459,0.38,0.827,1.134,1.234,0.838,1.315,1.365,0.95,0.36,1.021,1.827,0.789,0.815,1.967,1.434,0.947,1.874,1.207,1.08,1.637
"4","Suriname","April",0.145,-0.075,-0.176,0.676,0.049,0.272,-0.163,-0.024,0.43,-0.062,-0.67,-0.422,0.441,-0.104,-0.2,-0.495,0.684,0.464,0.108,-0.035,0.503,0.08,0.184,-0.146,0.021,0.688,0.749,1.37,0.231,0.404,0.845,0.852,0.805,-0.073,1.152,0.94,0.768,1.745,0.23,0.351,0.779,1.126,1.535,1.28,1.232,1.158,0.989,1.115,1.123,1.987,1.353,1.017,1.749,1.469,1.01,1.87,1.423,0.848,1.554
"5","Suriname","May",0.113,-0.034,-0.31,0.161,-0.141,0.006,-0.545,-0.218,0.554,0.345,-0.535,-0.182,0.043,-0.023,-0.116,-0.348,0.188,0.313,0.474,0.474,0.352,0.167,0.547,0.059,0.136,0.046,0.693,0.851,0.268,0.334,0.514,0.877,0.701,0.225,1.075,0.482,0.611,1.441,0.239,0.984,0.472,0.43,0.463,1.294,0.989,1.23,0.759,0.882,1.555,1.549,1.962,1.072,0.636,1.416,1.052,1.908,1.273,1.056,1.63
"6","Suriname","June",-0.733,-0.21,-0.093,-0.217,-0.025,0.584,-0.41,-0.472,0.729,0.281,-0.621,0.184,0.302,-0.43,-0.226,-0.191,0.146,0.358,0.235,0.634,0.261,0.21,1.223,0.22,-0.144,-0.066,0.742,0.642,0.275,0.42,0.519,1.939,0.677,0.76,0.98,0.237,0.635,1.476,0.271,0.596,0.869,0.529,1.308,0.792,1.592,0.818,0.931,0.976,1.415,1.443,1.046,1.572,0.765,1.529,1.084,1.549,1.667,1.322,1.923
"7","Suriname","July",-0.098,0.174,0.038,0.055,0.031,0.098,-0.27,-0.253,0.596,0.261,-0.185,0.241,0.25,-0.56,-1.13,-0.12,0.22,0.207,0.221,0.446,-0.068,0.205,-0.006,-0.021,0.215,0.021,0.676,-0.02,0.588,0.443,0.133,0.416,0.794,0.976,0.937,0.251,0.758,1.61,0.321,0.689,1.14,1.28,0.959,1.132,0.811,0.999,1.061,0.955,1.797,1.937,0.84,0.807,1.548,1.471,1.14,1.918,1.655,1.492,1.543
"8","Suriname","August",0.201,0.073,0.333,-0.293,-0.108,-0.091,-0.39,0.109,0.373,-0.037,-0.375,0.128,0.02,-0.105,-0.407,0.063,0.114,-0.607,0.406,0.408,0.147,-0.113,0.19,-0.496,-0.518,0.057,0.863,0.287,0.846,0.267,-0.21,0.327,0.214,0.822,2.022,0.153,0.483,1.609,0.493,0.918,0.762,0.674,1.269,0.314,1.112,1.021,0.989,1.548,1.596,1.223,1.611,1.637,1.495,1.238,1.535,1.874,2.042,1.337,1.491
"9","Suriname","September",0.214,-0.116,0.254,-0.254,0.003,-0.196,-0.213,-0.218,0.469,-0.325,0.007,0.287,-0.895,-0.414,-0.663,0.533,-0.033,-0.023,0.398,0.497,0.022,0.159,0.101,-0.807,-0.182,0.396,0.876,0.237,0.757,0.485,0.101,0.143,0.223,0.193,1.252,0.478,0.924,0.708,0.6,1.016,0.097,1.054,1.427,1.618,1.145,1.311,0.897,1.667,1.661,1.423,0.932,0.886,0.501,1.43,1.835,1.712,1.665,1.479,1.98
"10","Suriname","October",-0.141,0.036,0.319,-0.705,0.478,-0.06,-0.37,-0.199,0.46,0.009,-0.732,0.914,-0.807,-0.607,-0.377,0.832,0.126,-0.156,0.249,0.165,-0.158,0.145,0.044,-0.779,-0.328,0.218,0.971,0.333,-0.272,0.594,0.119,0.803,-0.095,1.152,0.528,0.469,1.796,1.333,0.128,0.343,0.962,1.099,1.245,0.998,1.298,1.211,0.521,1.706,1.734,1.412,0.163,2.014,0.094,1.568,1.64,1.738,1.315,1.625,1.334
"11","Suriname","November",-0.554,-0.417,0.068,-0.322,0.593,-0.324,-0.2,-0.716,1.194,-0.666,-0.59,0.322,-0.395,-0.174,-0.078,0.678,0.823,0.295,0.131,0.052,0.52,0.345,0.468,-0.523,0.112,-0.191,1.101,0.025,0.074,0.382,0.569,0.754,0.225,0.329,0.557,0.128,1.344,0.629,1.439,0.757,0.547,1.028,1.262,1.38,1.553,0.68,1.056,2.008,1.352,1.343,0.47,2.321,1.122,1.505,2.041,2.054,1.272,1.421,1.855
"12","Suriname","December",-0.697,-0.042,-0.291,-0.786,0.171,0.109,-0.042,-0.322,1.473,-0.115,0.15,0.349,-0.714,-0.511,0.055,0.343,-0.118,-0.464,0.181,0.36,0.38,0.854,-0.321,0.17,-0.265,0.018,0.939,-0.182,0.044,0.634,0.087,0.585,1.069,0.788,0.912,0.716,0.873,1.462,1.483,0.087,0.796,0.319,0.988,2.35,1.017,0.789,1.503,1.493,1.278,1.375,0.763,1.192,1.352,1.329,1.488,1.254,1.166,0.56,1.724
