"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Svalbard and Jan Mayen Islands","January",0.836,-0.604,-5.552,-2.02,-0.215,-6.485,-6.531,-2.887,-1.044,-0.288,-7.135,9.475,6.304,6.912,1.052,0.226,3.756,-4.467,-4.479,-0.684,-6.591,-4.077,3.769,6.05,3.094,-0.184,3.91,-2.409,-2.58,7.955,3.564,2.804,-1.436,-1.167,-0.935,5.028,-2.52,-3.777,4.275,5.757,6.092,2.209,-3.288,-1.898,7.149,11.331,5.259,7.34,2.338,7.19,0.06,10.826,6.551,9.676,7.473,10.478,4.062,9.228,4.827
"2","Svalbard and Jan Mayen Islands","February",-2.118,-0.797,-8.483,-1.145,-0.009,-4.005,-1.06,-1.893,-0.903,-3.919,3.642,3.269,-1.659,3.74,3.044,3.179,-1.173,-4.794,-4.909,1.021,2.22,-0.506,-1.35,5.997,5.448,-4.884,-2.124,1.522,-3.875,5.256,5.001,-1.472,-0.956,-0.042,0.754,-1.02,-0.381,-4.049,2.268,3.937,5.515,1.585,2.889,-2.432,7.276,4.607,5.213,5.602,3.614,4.201,2.693,8.625,3.958,11.759,0.659,8.435,7.267,9.223,3.841
"3","Svalbard and Jan Mayen Islands","March",1.394,-4.876,-3.056,3.962,-4.728,-5.154,1.626,-5.294,-6.176,2.999,-1.021,4.612,0.952,6.63,-0.51,7.689,-6.495,-1.424,-0.494,1.149,-4.322,5.411,4.799,0.316,3.609,1.539,1.679,-3.117,0.049,0.206,6.11,2.972,-1.013,4.213,0.504,7.27,2.702,1.955,6.598,0.687,-0.814,-1.409,-2.187,7.022,-0.609,1.054,7.209,-0.124,3.337,-0.162,2.098,9.007,0.459,5.478,7.59,7.399,2.835,2.252,2.433
"4","Svalbard and Jan Mayen Islands","April",-0.819,-1.598,-1.972,-0.193,2.832,0.948,1.482,-2.568,-5.622,-2.21,-1.098,-1.244,3.186,-0.153,1.287,2.08,-4.076,1.241,-4.382,2.24,-0.764,1.07,-0.019,3.409,-1.17,-2.731,2.843,-5.519,4.109,3.512,-0.378,4.483,-1.584,4.967,3.967,1.52,-1.729,-0.529,1.08,-0.764,-0.432,4.944,1.862,7.461,2.433,10.049,1.671,1,-3.543,3.368,5.618,1.644,1.497,1.142,5.394,4.674,2.811,2.721,7.215
"5","Svalbard and Jan Mayen Islands","May",0.241,-2.947,0.535,-0.221,-1.538,-2.932,-0.064,-1.673,0.001,1.118,1.241,0.714,0.262,0.068,-0.582,1.388,-0.407,1.025,-3.377,0.677,-0.752,-0.677,0.555,1.288,0.511,1.159,0.686,1.257,2.259,-0.095,0.392,1.486,0.381,0.218,1.243,-1.109,0.551,-1.284,1.771,-0.112,0.885,0.231,1.065,2.029,1.967,4.015,2.065,1.545,2.553,3.542,1.988,1.585,2.356,1.143,1.47,4.851,-0.377,5.283,1.578
"6","Svalbard and Jan Mayen Islands","June",0.831,-0.99,-0.335,-1.174,-0.409,-0.536,-0.186,-1.061,-1.384,0.072,0.834,1.517,0.563,0.632,-0.51,0.878,-0.691,-0.216,-1.903,0.936,-1.503,-0.994,-0.767,0.406,0.704,1.068,-0.146,0.694,0.362,0.67,0.356,0.775,0.465,0.813,0.74,0.018,0.301,0.172,1.095,-0.346,1.059,1.643,0.658,0.583,1.564,2.063,2.086,0.828,0.508,0.906,1.834,1.402,1.86,0.929,1.742,2.313,1.538,1.564,1.904
"7","Svalbard and Jan Mayen Islands","July",0.472,-1.346,-1.125,-0.784,-0.826,0.603,-0.44,-1.181,0.145,-0.212,0.084,0.508,0.488,0.497,-0.11,0.458,-0.234,-0.101,1.044,-0.134,-0.461,-0.911,0.199,0.557,1.175,0.585,-0.69,0.291,-0.254,0.823,-0.402,0.179,1.292,-0.235,0.084,-0.536,-0.306,1.37,0.657,0.129,0.487,1.156,0.809,1.836,0.872,1.158,1.166,0.296,1.069,0.707,0.815,0.511,1.222,1.009,1.353,2.314,0.791,1.285,1.785
"8","Svalbard and Jan Mayen Islands","August",0.828,-1.198,0.094,-0.005,-0.766,-0.219,-0.728,-1.183,-0.367,0.086,-0.432,0.802,-0.324,0.673,-0.091,0.15,-0.184,0.446,0.216,-0.133,0.656,-0.902,-0.489,0.607,-0.133,0.527,-0.399,0.742,0.014,0.522,1.411,-0.19,1.139,-0.959,0.489,0.203,0.168,1.735,0.253,-0.011,1.222,2.024,1.378,0.916,1.438,1.355,0.732,0.002,0.915,-0.078,1.454,0.684,1.951,0.81,1.815,0.864,0.918,1.673,0.827
"9","Svalbard and Jan Mayen Islands","September",0.406,-1.09,-0.274,-0.11,-0.591,-2.197,0.104,-2.214,1.161,-0.201,-0.186,1.993,0.093,0.438,0.411,-0.834,-0.271,-1.499,1.032,0.641,1.078,-3.306,0.78,1.427,0.504,-1.811,-1.358,-1.566,0.541,4.475,0.047,2.312,-0.385,0.062,1.426,0.505,0.058,0.152,2.595,1.542,2.581,-0.4,0.124,0.81,-0.717,0.639,0.779,2.566,1.217,1.401,3.522,2.25,3.252,0.947,1.965,3.402,4.571,1.066,2.122
"10","Svalbard and Jan Mayen Islands","October",3.459,-0.096,1.689,0.497,-0.906,-5.199,-2.238,-8.407,2.352,0.83,-2.31,1.504,-2.412,2.027,-2.133,1.204,0.607,-0.432,1.089,-2.067,1.45,-0.262,-0.986,2.968,-1.487,1.13,-1.777,-4.648,-0.902,2.325,-0.687,-3.362,-3.403,-3.566,-1.17,1.052,-0.106,1.109,-0.955,5.836,0.077,1.71,0.712,1.041,-0.84,-1,2.073,-0.856,1.054,1.927,2.123,2.064,-0.115,2.604,2.889,7.349,5.09,3.171,0.513
"11","Svalbard and Jan Mayen Islands","November",2.625,2.691,-4.76,-0.891,1.514,-2.435,0.647,-7.321,-0.883,-2.55,-7.671,4.981,-4.716,2.587,-1.229,0.853,2.63,-1.674,2.537,-5.273,1.989,0.513,-5.011,4.62,-0.088,0.109,-1.028,-6.925,0.022,-2.853,-2.415,2.018,5.989,-4.271,-4.862,3.743,0.752,3.518,5.026,5.046,-1.929,2.698,2.109,-2.395,4.441,3.705,3.38,0.343,6.03,-2.155,2.648,2.322,0.398,1.879,4.984,7.738,5.024,5.08,1.967
"12","Svalbard and Jan Mayen Islands","December",-3.521,-3.698,-3.975,3.723,-0.671,5.771,-3.337,-8.161,1.997,-1.66,0.506,3.622,-4.896,4.316,-6.169,3.281,2.469,0.23,0.209,-5.784,-3.225,-0.925,-4.89,9.303,-0.795,0.806,-5.612,-8.963,-3.219,2.8,-0.514,-0.332,0.677,3.425,-2.45,-3.34,1.721,0.144,2.016,1.899,3.019,3.992,-6.118,4.391,7.651,4.972,3.54,3.782,6.415,0.421,4.979,3.871,3.214,2.354,5.141,5.632,6.705,5.826,1.375
