"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Sweden","January",0.715,1.404,-2.872,4.063,1.308,-4.793,-3.117,-3.446,-0.035,-2.849,2.39,-0.778,5.6,4.585,4.323,-2.205,0.109,1.13,-4.275,-2.069,0.311,-3.377,4.214,-0.792,-5.253,-3.37,-7.028,3.836,6.841,2.878,3.548,5.395,3.907,0.113,2.29,1.599,2.459,3.683,0.679,3.759,4.027,2.329,-1.149,0.218,5.205,2.295,3.081,5.526,2.732,-2.847,1.231,2.332,0.82,0.842,3.333,-1.466,3.847,2.23,0.959
"2","Sweden","February",4.618,2.074,-3.176,0.089,1.398,-6.886,3.059,-0.702,-3.502,-5.847,2.199,2.013,2.897,4.82,4.545,2.581,-1.53,-2.605,-2.046,-2.474,0.71,1.968,0.805,3.388,-6.987,-2.561,-0.208,2.402,6.386,8.521,-0.303,5.345,4.264,-3.013,4.81,-1.893,3.384,3.622,1.521,4.127,-0.363,5.161,2.507,2.769,2.49,1.459,0.027,6.152,-0.029,-2.584,-1.293,0.702,2.571,7.274,5.674,4.19,3.854,-0.389,4.705
"3","Sweden","March",3.599,-4.888,-2.684,-0.264,-0.706,-1.543,3.832,1.334,-2.717,-0.079,-2.588,1.479,3.729,2.042,2.48,-1.733,1.517,-0.121,0.552,-2.201,-2.461,2.731,1.136,-1.233,0.163,2.285,-3.077,-0.715,4.267,4.362,2.55,3.826,2.109,0.739,2.72,0.397,2.546,0.487,1.711,1.822,-1.792,2.215,3.769,2.359,-0.758,-3.196,4.978,1.265,1.617,0.049,1.631,4.944,-2.555,4.952,4.509,3.78,2.948,-2.002,2.337
"4","Sweden","April",0.301,0.945,0.349,1.101,0.876,-2.599,0.297,1.501,0.117,-1.867,-0.664,0.312,-0.208,1.747,-0.13,-0.057,-1.813,-0.825,-0.323,1.47,0.251,0.935,1.464,1.798,-1.724,-1.173,0.718,-0.931,1.815,2.374,1.431,-0.771,1.427,2.467,0.137,1.059,-0.905,-0.187,2.617,2.167,0.719,3.061,0.941,2.773,2.28,1.259,2.982,2.094,3.013,1.724,4.377,0.463,0.398,2.855,2.617,1.926,0.467,2.075,3.263
"5","Sweden","May",0.263,-1.062,2.611,1.23,-1.84,-0.156,-0.161,-1.63,-0.784,0.214,0.666,0.049,0.361,-0.033,1.077,1.226,-0.414,0.295,0.336,0.009,1.706,0.049,1.362,2.655,-0.08,1.889,-0.665,1.617,1.573,1.477,-0.837,2.708,2.609,-0.381,-0.582,-1.301,-0.853,0.579,-0.429,2.216,0.685,2.822,1.308,1.445,0.116,1.446,1.214,1.234,2.095,1.15,1.401,1.136,3.453,1.365,0.146,2.737,0.522,5.068,0.696
"6","Sweden","June",1.282,-1.952,-0.148,-0.976,-0.279,1.848,-0.906,1.068,1.141,2.174,-0.699,1.099,0.877,0.192,-1.431,-0.586,-0.498,0.366,1.291,1.776,-1.592,-2.112,-0.637,-0.183,-0.302,1.748,-1.741,1.823,0.42,0.365,-1.99,1.96,-2.189,-1.279,0.694,-0.565,0.978,-0.851,1.033,-0.71,0.015,2.122,0.532,-0.889,-0.146,1.118,1.22,0.439,-0.477,-0.665,1.927,-1.31,1.424,-0.304,-1.297,0.965,0.04,0.86,1.787
"7","Sweden","July",0.063,-1.862,-0.459,-1.057,-1.947,0.386,-0.152,-0.912,0.593,-0.201,-0.072,2.411,2.7,-0.682,0.338,0.059,-1.018,-0.548,-0.634,0.752,0.17,0.871,0.846,-0.42,0.083,0.118,-0.777,1.857,0.271,0.053,1.429,-0.29,-0.258,2.69,-0.251,-0.9,2.343,-0.006,1.091,0.065,1.484,1.912,3.215,0.103,2.11,2.328,0.459,1.203,0.885,2.395,2.054,0.333,1.012,4.019,-0.223,1.382,-0.056,4.609,0.935
"8","Sweden","August",-0.634,-1.815,0.777,-0.783,-1.267,-0.826,0.669,0.005,2.273,0.303,0.024,0.071,-0.49,-0.112,1.363,0.425,-0.673,-0.744,-0.141,0.14,-0.663,0.715,0.09,0.333,0.184,-1.875,-2.245,-0.079,-0.031,0.965,1.518,-0.569,-1.277,1.068,0.884,2.418,3.388,-0.895,-0.545,-0.039,0.756,3.916,1.222,1.706,0.758,2.961,1.199,-0.236,1.436,0.781,1.058,0.439,1.222,1.331,1.621,0.177,0.229,1.738,1.701
"9","Sweden","September",1.142,-0.767,1.377,-0.625,1.503,-1.251,1.515,0.152,0.104,-0.476,-0.555,-0.813,-1.533,1.415,1.398,-2.184,-1.209,-1.225,-0.249,0.992,0.401,0.197,0.89,-0.867,-0.882,-2.542,-0.705,1.37,1.021,-0.582,-0.254,0.663,-2.245,-0.111,0.335,-0.816,1.483,1.129,3.071,0.338,1.183,0.981,1.048,1.421,1.505,3.178,-0.133,-0.072,1.859,0.527,2.272,0.336,1.589,1.664,2.092,3.105,1.334,1.836,0.738
"10","Sweden","October",4.043,1.361,0.891,1.089,1.047,-0.753,0.91,-2.513,1.143,-0.002,0.035,0.117,-2.701,-1.029,0.799,-1.259,0.681,-0.112,-1.517,-1.607,-0.174,0.375,0.376,1.466,1.666,0.858,2.457,-0.546,0.367,0.962,0.376,-4.394,-1.604,-0.673,2.114,1.553,-1.377,0.074,1.008,3.41,2.161,-2.822,-1.53,0.451,1.938,1.297,1.321,1.077,-1.69,0.123,1.762,-0.377,1.317,1.681,1.257,0.46,1.135,1.014,-0.584
"11","Sweden","November",2.264,0.2,-0.054,0.627,-3.543,0.853,3.203,-2.359,-1.863,-1.592,-2.081,0.509,-2.536,0.487,1.705,0.177,1.048,1.688,0.293,-3.307,-0.756,2.099,-1.239,0.935,-2.277,3.045,0.631,-2.012,1.504,-0.472,1.691,-0.659,-0.553,0.694,-1.732,-0.335,-0.028,-2.261,3.652,4.463,1.07,-2.206,1.771,-0.275,3.222,2.65,0.475,0.938,3.333,-3.038,4.556,2.667,1.887,2.369,3.226,0.184,0.976,3.039,0.177
"12","Sweden","December",-1.967,-2.251,0.007,0.696,-4.333,0.788,-3.68,0.991,-2.972,1.657,3.011,5.071,-2.182,2.455,2.249,-1.754,1.801,-6.373,-0.316,-0.67,-6.079,1.624,-0.05,3.022,-4.327,-1.779,0.096,-0.44,-0.565,3.153,3.292,3.532,0.051,3.767,-3.104,-1.546,1.425,0.995,-0.902,2.938,-0.646,-2.59,2.342,3.205,1.095,6.4,3.918,2.445,-0.987,-5.651,4.152,-2.822,4.397,1.976,4.712,3.793,2.038,2.095,4.173
