"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Switzerland","January",0.105,1.696,-4.858,-1.578,0.925,-1.737,0.21,-0.797,0.781,0.488,-0.657,0.371,0.217,3.371,3.602,1.286,0.915,0.626,-2.305,-0.889,-1.385,0.995,3.098,0.788,-4.636,0.479,-2.975,3.649,2.051,1.574,1.272,0.604,3.239,2.624,0.215,1.567,0.292,2.27,2.438,0.36,1.963,1.039,0.374,0.825,0.67,-1,4.395,3.477,-0.925,-1.374,1.418,2.274,1.316,3.587,2.305,2.763,-1.639,4.626,0.331
"2","Switzerland","February",3.559,-0.834,-4.821,1.046,-3.497,4.278,1.212,0.849,-2.411,-0.705,-0.174,2.194,-1.001,2.055,1.269,0.962,2.682,-0.949,0.73,2.152,-1.698,0.001,-2.312,-1.515,-0.91,-5.015,0.091,0.616,2.455,4.836,-2.048,1.232,-0.407,0.861,3.522,-1.427,3.082,3.316,-1.233,2.646,2.126,3.811,-2.174,1.085,-2.259,-0.725,3.754,2.835,-0.348,-0.223,1.895,-3.673,-1.997,2.973,-0.122,2.761,3.291,-1.86,3.291
"3","Switzerland","March",2.164,-3.145,-0.996,-1.177,-0.632,-0.748,1.447,0.397,-0.363,-2.597,-3.528,1.936,-0.924,1.916,-0.725,-0.865,2.751,0.76,0.749,0.21,2.699,-0.467,1.013,-1.78,-1.127,-0.439,-2.905,-0.856,3.437,2.91,3.035,1.302,-0.007,4.277,-0.763,-1.093,3.16,1.116,1.516,1.555,2.794,2.623,2.685,0.081,0.63,-0.977,1.626,0.346,0.335,0.229,2.169,3.717,-0.951,3.089,1.869,0.505,4.036,-0.167,2.686
"4","Switzerland","April",3.171,0.112,1.101,1.271,-1.014,1.841,-0.838,1.542,-0.359,-1.87,2.214,-0.249,-2.478,0.136,-0.099,-0.005,-1.144,-0.922,-1.476,-1.856,1.559,-0.573,0.705,-0.686,0.376,-1.24,1.382,1.226,-0.356,-0.563,-0.61,0.464,1.954,-0.52,1.074,1.332,-0.193,0.537,0.985,1.882,-0.517,0.976,1.094,1.244,1.298,1.208,5.202,0.256,3.197,1.798,4.229,0.961,1.523,3.002,1.935,1.349,1.078,4.606,1.517
"5","Switzerland","May",-1.002,-1.585,-0.463,1.609,-0.656,0.697,0.061,-0.614,1.272,-1.164,1.48,-0.72,1.084,-0.708,0.069,1.121,-0.582,-1.212,-0.004,-1.475,-0.128,0.587,-1.25,-2.409,0.19,2.388,-2.091,1.665,1.748,2.322,-2.427,2.345,2.166,1.166,0.566,0.387,1.327,1.936,2.748,2.793,2.987,0.793,2.671,-0.29,1.685,1.279,2.369,2.547,3.234,-0.256,2.879,1.957,-0.846,0.469,1.752,0.417,2.213,3.018,-1.113
"6","Switzerland","June",0.72,-0.705,-0.081,1.543,0.452,1.168,-0.8,-0.144,-1.581,1.396,-1.219,-0.929,0.829,-1.14,-1.075,2.232,-0.33,-0.888,0.98,-1.29,0.272,1.35,1.025,-0.667,-1.093,0.548,-0.951,-0.144,-0.32,-0.024,-0.534,0.146,1.265,1.249,-0.831,1.581,0.436,1.665,0.146,2.363,-0.014,3.224,6.171,1.123,2.703,2.25,1.987,1.91,1.141,1.478,1.484,2.293,0.728,2.227,2.669,1.421,4.089,2.784,4.132
"7","Switzerland","July",-1.153,-0.745,0.897,1.567,-1.176,-1.58,1.835,-0.405,0.87,-0.331,1.326,-0.236,-0.292,-0.408,0.439,1.484,-0.378,-0.998,-0.274,-1.998,-1.036,1.861,4.103,0.218,1.641,0.137,0.905,0.701,1.063,0.803,2.23,1.416,-0.385,3.582,3.152,-0.33,-0.376,1.187,1.489,-1.053,1.227,0.662,2.584,0.773,1.256,4.655,0.69,0.931,1.545,2.983,-0.69,1.142,3.038,0.563,4.512,2.123,2.276,3.282,3.203
"8","Switzerland","August",0.046,1.721,-0.802,-0.063,-0.908,-1.188,0.392,-1.29,-0.419,0.461,1.786,-0.515,1.942,1.496,0.93,-1.039,-0.966,-0.968,-0.878,1.134,0.672,0.21,1.26,0.097,0.554,0.55,0.576,1.294,1.026,1.888,2.67,3.7,1.251,2.636,0.885,0.177,2.507,1.823,1.386,2.109,2.611,0.864,5.548,1.856,-0.264,-1.282,0.493,1.305,3.167,0.58,2.562,3.043,1.903,-0.095,3.213,2.235,2.994,3.702,2.83
"9","Switzerland","September",3.376,-0.082,0.247,0.515,-1.814,1.094,-0.333,-0.818,0.655,0.974,-0.839,-3.057,1.046,-0.406,1.795,-1.537,-1.272,-0.345,0.04,1.075,0.431,2.102,0.711,-1.312,1.772,0.083,2.912,0.061,0.189,-0.523,2.262,0.432,-0.849,-0.042,-1.851,-2.731,1.657,-0.261,2.437,1.126,-2.253,-0.811,0.576,1.139,1.444,2.978,-0.888,-1.014,1.735,-0.636,2.669,0.661,0.937,1.366,-0.4,2.992,-0.858,2.693,1.461
"10","Switzerland","October",1.202,0.49,-0.032,-1.557,0.186,2.509,2.473,1.844,1.462,-0.267,0.838,-1.322,-0.961,-4.732,-0.955,1.051,1.659,-0.128,1.148,-0.745,-0.228,0.057,0.651,0.816,1.043,1.656,1.436,1.942,1.244,2.057,-0.65,-1.524,-0.706,0.339,3.445,0.261,0.308,0.329,0.85,1.253,4.035,0.77,-1.951,2.353,2.203,3.466,0.391,1.014,0.444,-0.168,0.949,1.138,2.448,3.198,0.191,-0.088,2.247,2.422,2.804
