"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Syrian Arab Republic","January",-0.007,1.11,3.019,-4.019,-0.077,2.44,-0.395,-1.676,0.153,1.389,1.979,-2.802,-1.779,-1.502,-0.357,-0.028,-1.75,1.001,1.244,-1.291,0.586,0.758,-2.704,1.472,1.691,1.038,1.214,0.044,-1.919,-1.337,0.207,-2.773,-0.951,2.581,1.51,0.731,0.964,-0.082,2.069,-0.392,1.48,-0.79,1.945,0.808,0.826,0.157,-0.715,-2.662,0.581,3.211,1.452,0.22,0.981,2.495,0.901,-0.098,-0.15,2.447,0.942
"2","Syrian Arab Republic","February",-0.94,-0.118,1.716,-0.713,0.096,2.196,-3.206,-1.225,0.236,1.662,-0.466,-3.241,1.597,-0.984,-1.247,-2.291,2.963,1.741,2.356,-0.663,0.421,-2.131,-1.987,0.87,-2.441,1.367,2.158,-0.147,-1.122,-0.663,-0.584,-4.083,-2.22,0.564,1.32,1.103,-2.225,-0.408,1.555,-0.765,0.997,1.869,-1.005,-0.246,-0.337,1.044,0.856,-0.792,1.477,2.25,0.931,-0.97,2.608,2.095,1.31,3.593,-0.355,3.367,1.08
"3","Syrian Arab Republic","March",-1.547,2.174,-1.322,1.135,1.056,0.431,-2.038,-0.759,1.48,1.632,0.683,-0.43,-0.036,0.789,0.231,-1.219,0.257,1.075,1.351,-0.484,1.076,-1.616,-0.92,0.681,-1.62,1.081,-2.991,-1.114,1.388,0.531,1.306,-2.348,-0.927,1.447,0.889,-0.304,-2.471,-0.485,0.738,-0.824,3.816,1.758,-1.608,2.053,1.164,1.479,0.619,3.991,0.033,2.963,1.057,-1.752,1.866,2.867,1.69,2.477,1.528,4.47,0.227
"4","Syrian Arab Republic","April",0.506,-0.755,0.009,-1.164,-1.329,1.035,-1.311,1.683,-1.627,2.293,-1.749,1.119,-0.453,-1.007,1.895,-0.684,-0.086,0.106,0.972,-0.463,-0.641,1.309,-0.645,-0.796,0.73,1.993,-0.876,-0.559,4.383,-0.048,1.727,0.03,-0.005,2.8,-0.051,-0.947,-1.671,1.521,0.956,1.88,1.732,-0.263,0.219,0.273,1.289,1.216,-1.313,3.361,0.297,1.894,0.23,2.439,1.616,2.646,0.287,3.69,1.231,3.159,-0.705
"5","Syrian Arab Republic","May",0.83,0.983,-2.331,-1.285,-0.47,-0.19,-1.155,1.065,0.821,0.1,1.224,-1.458,0.56,0.05,-0.403,-0.807,0.492,1.394,0.648,0.218,-1.95,-0.407,0.093,0.279,1.655,-1.729,0.262,0.666,1.738,0.353,-0.477,-0.726,-1.663,1.694,1.583,2.378,1.763,0.896,2.445,0.826,-0.131,0.04,2.601,-0.02,0.426,1.656,2.65,0.351,0.698,2.091,0.072,1.292,2.453,1.561,1.87,1.516,1.481,2.529,2.718
"6","Syrian Arab Republic","June",0.337,1.062,0.068,0.052,1.091,0.567,-1.699,-0.437,1.01,0.121,-0.401,-0.87,-1.066,0.453,-0.229,-0.392,-0.086,-0.335,0.423,0.697,0.253,-0.37,-0.478,-0.025,0.382,-0.399,-0.32,-0.16,-0.065,0.36,0.918,-0.78,0.083,0.717,1.246,0.69,0.796,1.497,0.921,1.522,1.561,1.023,0.934,0.758,0.112,2.321,1.611,1.853,1.569,1.629,0.724,2.726,1.503,0.97,-1.233,2.538,1.673,1.636,2.964
"7","Syrian Arab Republic","July",0.382,0.539,0.179,-0.136,0.132,0.307,-0.598,0.604,-1.142,-0.306,-0.53,-1.219,-0.13,-0.07,0.194,-1.459,0.308,1.307,-0.369,1.233,0.847,-1.345,-0.49,-0.093,-0.694,0.639,0.966,1.21,0.838,0.732,-0.327,-1.239,0.429,-0.094,-0.243,1.951,0.399,1.791,1.088,3.35,1.587,1.369,1.026,1.265,1.31,0.419,1.972,1.306,0.934,1.762,1.852,2.162,1.008,1.122,1.649,1.866,3.21,1.546,1.136
"8","Syrian Arab Republic","August",0.673,1.382,1.198,-0.954,0.816,0.748,-0.512,-1.626,-0.151,-0.331,-0.642,-0.764,0.162,-0.979,-0.682,-1.34,0.769,-1.24,-0.015,-0.158,0.34,-0.836,-1.186,-1.962,1.824,0.833,0.307,0.427,0.054,-0.24,-0.043,0.384,0.748,0.193,0.469,0.874,-1.219,2.654,1.306,0.975,1.329,0.245,1.612,0.095,0.949,1.73,1.419,2.108,0.497,3.337,1.107,1.633,1.228,1.817,0.001,2.651,2.051,1.495,1.95
"9","Syrian Arab Republic","September",-1.976,0.865,0.76,-0.753,0.475,-0.207,-0.833,-0.868,0.55,-0.204,0.9,0.328,0.556,-0.886,0.227,-1.031,0.46,-0.479,1.472,-0.964,0.974,0.419,-0.144,0.033,0.242,2.156,0.742,0.361,-0.168,0.016,0.156,-0.342,0.555,2.399,0.373,0.039,-0.799,1.197,0.409,0.345,0.981,0.814,0.238,0.832,0.154,0.817,1.519,1.146,-0.445,2.702,1.254,1.492,0.413,0.565,3.62,0.904,2.863,2.463,1.718
"10","Syrian Arab Republic","October",-0.221,0.749,0.902,-0.089,-2.791,0.372,-0.522,-0.051,-0.101,-1.388,-1.313,1.25,1.187,2.171,-0.862,0.187,-2.198,1.16,0.304,0.023,1.395,-0.685,-1.369,-0.254,-1.793,0.269,-1.747,-0.867,-0.818,0.866,0.85,1.192,1.783,2.463,-0.215,-0.838,0.436,1.312,1.204,-0.787,0.696,1.973,1.535,1.878,-0.46,0.46,1.996,0.602,2.275,2.25,-0.292,1.804,-0.818,0.521,2.29,2.067,0.769,2.028,2.798
