"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Tajikistan","January",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.014,-1.611,0.274,0.309,-1.124,3.006,1.41,2.444,2.239,-0.276,1.608,3.794,2.864,0.894,-1.995,1.024,-5.384,1.993,4.518,1.532,-1.304,0.252,2.147,1.853,2.746,0.994,2.43,2.303
"2","Tajikistan","February",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.267,1.531,-1.259,-0.628,0.294,0.423,0.157,5.11,-1.029,1.512,1.993,2.362,3.214,-0.771,4.206,3.445,-2.636,2.803,0.846,1.152,-3.254,2.296,-2.617,3.321,2.535,0.165,3.798,1.566
"3","Tajikistan","March",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.473,-1.917,1.06,-0.844,-0.577,1.029,-0.501,-0.151,-0.118,2.428,2.668,-0.596,2.172,3.142,1.775,1.211,5.608,2.512,2.7,1.058,-1.949,3.168,0.924,0.424,4.651,0.191,4.739,1.973
"4","Tajikistan","April",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.287,0.186,-2.469,-0.422,-1.609,1.761,1.486,-1.855,2.253,2.564,-0.121,-1.098,0.653,-0.191,0.88,3.023,1.818,-1.185,1.753,2.346,2.379,0.425,0.617,0.956,1.678,-0.045,1.523,2.021
"5","Tajikistan","May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.152,-1.207,0.804,0.531,-1.059,-0.095,-0.44,0.519,3.138,3.876,-0.47,-1.25,1.408,-0.694,3.114,1.522,3.111,-0.01,0.234,2.66,0.298,0.88,1.941,1.154,2.372,3.58,1.33,1.512
"6","Tajikistan","June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.765,0.042,1.084,0.173,0.308,0.885,-0.402,-0.273,0.582,2.404,0.308,-0.16,0.932,1.29,0.896,1.577,3.124,-1.169,-0.283,1.624,0.296,1.383,0.815,1.346,1.928,1.517,0.914,-0.498
"7","Tajikistan","July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.215,-0.312,1.751,0.869,-0.147,2.057,0.605,-0.919,0.77,0.233,-0.604,1.077,-0.556,0.674,0.246,0.205,1.096,-0.29,-0.326,0.579,0.306,0.778,0.455,2.034,0.95,1.597,2.067,2.462
"8","Tajikistan","August",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.941,-1.179,1.654,1.305,-0.017,0.843,0.675,1.427,1.252,0.287,1.336,0.714,0.349,-0.605,1.339,0.512,1.572,0.555,0.925,1.91,1.561,1.34,0.08,0.324,0.47,0.304,0.931,1.078
"9","Tajikistan","September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.679,1.167,-1.969,-0.202,1.311,1.095,1.579,1.108,1.072,-0.11,0.505,0.967,1.119,1.943,0.299,1.314,0.729,0.624,-0.139,1.295,0.796,2.162,1.583,0.797,2.543,0.904,1.465,1.345
"10","Tajikistan","October",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.315,-1.283,-0.356,-0.383,-0.477,2.605,0.746,1.803,-0.397,0.409,2.716,1.635,-0.45,0.507,3.17,-1.355,0.708,0.433,2.07,1.028,0.843,1.382,0.568,1.655,-0.141,1.289,-0.537,1.426
"11","Tajikistan","November",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.208,0.276,3.487,2.416,-1.214,0.086,2.776,0.047,-0.271,2.551,2.601,0.784,2.964,0.717,1.711,2.784,0.48,0.568,1.539,-0.401,0.619,0.731,-0.358,1.132,-0.137,2.989,0.914,-0.189
"12","Tajikistan","December",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.877,0.435,-0.297,-1.425,1.534,0.733,3.408,1.216,0.55,0.759,-1.969,-0.698,0.627,0.832,-2.04,-0.758,1.215,0.437,1.068,-2.382,-0.52,-0.335,-0.275,0.596,2.337,1.156,1.575,2.041
