"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Thailand","January",-0.479,-0.821,-2.417,1.167,-1.155,1.386,-0.393,-0.075,1.67,0.642,-1.038,-0.98,0.521,-0.903,0.609,-1.797,0.444,1.072,1.753,0.479,-0.191,-0.265,-0.264,-0.29,0.885,-0.578,0.82,1.315,1.496,1.569,1.904,-0.24,0.257,1.4,1.167,0.667,0.177,2.411,1.348,1.368,2.102,0.81,0.595,1.238,1.011,1.089,0.846,1.06,-0.593,2.065,0.214,1.553,1.47,-0.606,0.28,1.698,1.903,1.715,2.136
"2","Thailand","February",0.543,-1.25,-1.027,0.083,0.449,1.067,-0.556,-0.832,0.508,0.187,-0.71,0.229,1.255,-0.956,0.253,-0.303,-1.028,0.224,1.265,0.5,0.721,0.573,0.924,0.917,1.242,0.334,0.497,1.477,0.269,1.149,0.759,0.03,-0.352,1.952,0.159,-0.617,0.214,2.055,1.016,0.033,1.076,1.103,1.011,-0.023,2.155,1.288,0.846,-0.498,1.622,2.08,0.815,1.367,2.044,0.514,0.629,0.104,0.741,0.387,2.31
"3","Thailand","March",0.114,-0.377,-0.764,-0.132,-0.554,0.584,-0.424,0.064,0.745,0.631,-0.584,-0.954,0.625,-0.829,0.381,-0.426,-0.592,0.77,1.291,1.077,0.656,0.814,0.705,0.222,0.363,-0.333,0.505,1.179,-0.259,0.141,1.47,0.867,0.212,-0.251,1.035,0.69,0.223,1.866,1.003,0.116,-0.148,0.563,-0.13,0.936,0.354,0.858,1.095,0.138,0.362,1.104,-1.735,0.655,1.155,1.129,1.168,1.624,0.967,0.448,1.62
"4","Thailand","April",-0.062,0.019,-0.212,0.163,-0.27,0.476,-0.401,-1.006,0.481,-0.345,-0.193,-1.061,1.076,-0.885,0.579,-0.135,-0.287,0.241,0.61,1.026,-0.009,-0.682,1.733,0.506,0.171,0.177,0.567,0.273,0.73,0.699,0.86,1.729,0.048,0.533,1.177,-0.319,-0.838,1.476,-0.593,-0.679,1.386,0.542,0.713,0.822,0.694,0.043,0.308,-0.003,0.038,1.674,-0.799,0.329,0.922,0.692,0.5,2.781,0.378,-0.239,2.094
"5","Thailand","May",-0.479,0.209,0.916,-0.685,-0.202,-0.451,-0.195,-0.501,0.66,0.12,-0.364,0.973,0.08,-0.663,-0.386,-0.887,-0.021,0.022,0.427,0.896,-0.11,0.445,1.095,-0.009,-0.24,-0.499,0.862,-0.097,0.089,-0.135,0.777,1.4,0.36,0.112,0.44,-0.077,0.765,1.54,-1.063,-0.528,-0.407,-0.127,0.672,-0.034,1.026,-0.51,-0.398,-0.687,-0.225,1.933,-0.127,0.262,1.046,1.212,1.627,2.007,0.449,0.21,1.54
"6","Thailand","June",-0.595,-0.09,-0.053,-0.037,-0.592,-0.005,0.302,-0.18,0.23,-0.036,-0.512,0.119,0.407,-0.14,-0.382,0.044,1.221,0.301,0.206,-0.01,-0.099,0.151,0.676,-0.101,-0.224,0.375,0.679,0.107,-0.066,0.454,0.3,0.588,0.838,-0.186,0.883,0.358,1.093,1.325,0.016,-0.102,0.124,0.618,0.446,0.08,0.725,0.613,0.914,0.185,0.443,1.509,0.314,0.602,0.573,1.007,1.639,0.814,0.796,0.561,1.539
"7","Thailand","July",-0.302,-0.041,-0.435,0.054,-0.013,0.09,0.204,0.301,-0.146,-0.116,-0.465,0.277,0.227,0.099,-0.103,-0.006,0.45,-0.159,0.698,0.413,0.005,0.12,0.895,0.017,-0.201,0.114,0.964,0.387,0.434,0.203,0.411,0.225,0.894,0.117,0.167,0.36,0.267,1.015,0.554,0.177,0.528,0.783,0.425,0.258,0.784,0.357,0.545,0.27,0.323,0.954,0.375,0.343,0.277,0.734,1.093,0.603,0.221,0.454,1.347
"8","Thailand","August",-0.236,-0.081,-0.016,-0.051,0.021,-0.092,0.027,0.205,0.009,-0.183,-0.388,0.076,0.118,0.041,0.004,-0.31,0.456,0.156,0.382,0.35,0.429,-0.113,0.454,0.349,0.209,0.518,0.66,0.432,0.373,0.841,0.127,0.305,0.237,-0.106,0.33,0.372,0.408,0.892,0.326,0.533,0.607,0.301,0.728,0.579,0.62,0.402,0.601,0.499,0.98,0.403,0.309,0.671,0.546,0.565,1.127,1.073,1.045,0.458,0.766
"9","Thailand","September",-0.39,-0.165,0.152,-0.053,-0.17,-0.179,-0.167,0.192,0.067,0.095,0.174,0.319,0.081,0.113,-0.028,0.106,0.025,-0.105,0.419,0.122,0.584,-0.081,0.428,0.06,0.071,0.237,0.544,0.58,0.353,0.473,0.531,0.481,0.189,0.315,0.358,0.178,0.206,0.606,0.273,0.088,0.653,0.188,0.444,0.229,0.559,0.443,0.562,0.372,0.783,0.803,0.353,0.568,0.391,0.744,1.108,0.814,1.257,0.97,0.816
"10","Thailand","October",-0.227,-0.069,-0.101,0.162,0.171,0.353,-0.58,-0.046,0.422,-0.103,-0.775,0.726,-0.025,0.18,0.057,0.412,0.587,-0.021,-0.152,0.359,0.442,0.406,0.266,-0.287,0.02,0.312,0.965,-0.041,0.163,0.37,0.123,-0.777,0.054,-0.291,0.533,0.343,0.85,0.799,0.178,0.616,0.73,0.682,0.713,0.377,0.76,0.778,0.111,0.962,1.003,0.358,0.372,1.106,0.309,0.811,1.057,1.357,1.089,1.374,1.62
"11","Thailand","November",0.378,0.192,0.875,-1.033,0.532,0.538,0.313,1.025,-0.561,-0.047,-1.575,1.052,-0.656,0.009,-0.384,-0.604,-0.291,0.176,-0.292,0.597,0.425,1.275,-0.776,0.393,0.759,0.261,1.547,-0.904,0.409,0.632,0.036,-0.855,0.677,0.493,0.248,0.867,1.272,0.776,0.565,0.064,-0.665,0.999,1.248,1.275,1.169,1.722,-0.371,0.181,0.792,0.674,1.177,2.445,1.452,1.787,2.613,1.825,1.455,2.014,1.683
"12","Thailand","December",0.542,-0.862,-0.039,-0.9,1.249,1.423,-0.635,1.496,-0.701,0.911,-0.014,0.951,-1.414,0.728,-2.007,0.266,0.7,0.393,0.166,0.832,-1.032,-1.007,-0.634,0.409,-0.049,0.473,-1.333,-0.377,-0.213,0.525,0.571,0.33,-0.066,1.383,-0.212,-0.131,2.115,1.066,-1.52,1.486,0.962,2.281,0.232,0.227,0.455,0.908,1.657,-0.14,1.42,1.221,0.421,2.608,-0.93,1.198,2.527,1.659,0.878,2.722,1.247
