"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Timor-Leste","January",-0.314,0.039,-0.352,0.288,-0.282,0.243,0.02,0.179,0.364,0.673,0.086,0.368,0.709,-0.412,-0.512,NA,0.315,0.761,0.431,-0.036,0.374,0.549,1.841,NA,NA,0.209,NA,NA,NA,-1.012,NA,NA,NA,NA,NA,0.089,0.199,0.929,-0.051,NA,NA,NA,NA,0.889,1.039,0.904,0.979,1.204,0.729,0.604,0.304,NA,0.504,1.178,1.004,NA,1.299,0.799,1.599
"2","Timor-Leste","February",-0.232,-0.272,-0.6,0.5,0.066,-0.24,0.019,-0.056,0.155,0.707,0.198,0.614,0.673,-0.279,-0.279,NA,-0.245,0.416,0.507,0.204,-0.31,-0.417,0.333,-0.077,NA,-0.397,0.405,-2.295,NA,3.005,NA,NA,0.133,NA,NA,-0.117,-0.577,1.133,-0.147,-0.127,NA,NA,NA,0.403,1.553,1.123,0.228,-0.195,0.503,0.405,0.805,NA,-1.095,0.553,0.905,2.753,1.603,-1.347,2.203
"3","Timor-Leste","March",-0.102,-0.079,-0.226,-0.126,-0.173,0.1,-0.232,0.139,0.767,0.459,0.598,0.451,0.718,-0.523,-0.523,NA,-0.475,0.596,-0.105,0.139,0.034,NA,0.766,-0.006,0.777,0.526,1.276,NA,NA,-1.323,NA,NA,0.296,NA,NA,0.496,0.256,0.776,0.086,NA,NA,NA,-0.034,NA,0.766,-0.104,0.616,-0.08,0.559,1.12,0.313,NA,0.62,0.864,0.22,2.366,0.186,1.016,1.716
"4","Timor-Leste","April",0.303,-0.118,-0.431,-0.314,-1.472,-0.02,-0.337,-0.004,0.509,0.497,0.136,0.143,1.028,-0.472,-0.372,NA,0.625,0.596,0.391,0.545,0.744,NA,0.601,0.491,NA,0.402,1.732,NA,NA,-0.972,0.288,NA,NA,NA,-0.228,0.092,1.272,0.662,0.062,NA,NA,NA,0.462,1.762,0.808,-0.208,0.629,0.088,0.988,0.934,-1.112,NA,0.688,0.83,0.662,2.402,0.502,0.652,1.552
"5","Timor-Leste","May",-0.418,-0.189,-0.785,-0.001,-0.894,-0.036,-0.191,0.361,0.042,0.411,-0.221,-0.169,0.613,-0.694,-0.594,NA,0.948,1.264,0.51,0.506,NA,NA,0.14,-0.724,1.311,1.291,1.591,NA,1.498,-0.894,NA,NA,1.321,NA,0.36,0.261,0.331,1.761,-0.279,NA,NA,NA,0.621,0.971,1.421,0.131,0.798,0.398,0.993,0.998,-0.602,NA,1.117,1.24,-0.079,1.971,1.371,1.871,1.671
"6","Timor-Leste","June",-0.828,0.289,-0.822,-0.778,-0.276,-0.023,-0.911,0.677,0.11,0.584,-0.143,0.072,1.179,-0.626,-0.476,NA,-0.335,1.325,0.324,0.507,0.546,-0.098,NA,0.478,NA,NA,1.831,1.421,NA,-1.876,NA,NA,NA,NA,0.931,1.411,1.051,2.071,0.941,-0.553,0.547,NA,0.601,0.451,1.848,-0.019,0.547,-0.253,0.211,0.547,-1.953,NA,1.087,0.347,1.581,2.681,1.251,1.831,1.231
"7","Timor-Leste","July",-1.01,0.088,-1.424,-0.204,-0.424,-0.505,-0.155,0.349,0.459,-0.086,-0.062,-0.352,0.969,-0.374,NA,NA,1.126,1.422,-0.031,0.241,2.826,-0.468,0.202,0.562,0.597,1.037,1.133,2.237,0.455,-1.374,NA,NA,NA,NA,0.547,0.758,NA,2.057,0.577,0.997,0.737,0.857,1.217,0.687,1.527,0.755,0.448,-1.045,0.355,1.455,0.355,NA,0.576,0.455,1.297,2.147,1.737,1.647,1.147
"8","Timor-Leste","August",-1.121,-0.348,-0.766,0.257,-1.004,0.338,-0.344,0.321,0.743,-0.153,0.53,-0.123,1.546,0.136,NA,NA,NA,0.288,-0.014,0.864,NA,-0.087,0.209,0.328,0.768,NA,NA,1.778,NA,-1.204,NA,NA,NA,NA,0.908,1.168,-0.172,1.528,0.598,-0.109,NA,0.458,0.508,-0.152,1.182,0.028,-0.146,-0.509,0.791,0.891,-0.236,NA,0.418,0.091,0.468,1.058,1.718,1.118,0.618
"9","Timor-Leste","September",-0.684,-0.556,-0.878,1.063,-1.232,-0.419,-0.564,-0.086,0.024,0.517,0.917,-0.595,1.568,0.218,NA,NA,1.868,1.913,0.484,0.488,1.175,-0.764,0.478,0.957,0.358,0.068,NA,1.918,NA,-1.132,NA,NA,NA,NA,0.498,0.155,-0.242,1.338,-0.212,NA,0.267,-0.192,0.618,0.408,0.667,-0.082,-0.233,-0.033,1.167,2.228,-0.333,NA,0.648,-0.872,0.398,0.848,1.248,0.798,-0.052
"10","Timor-Leste","October",-0.654,-0.099,-0.83,0.49,-1.052,-0.228,-0.206,-0.074,-0.446,0.687,1.233,-0.658,0.908,0.008,NA,NA,-0.445,1.551,0.591,0.592,1.039,-0.919,0.348,-0.245,0.525,0.275,0.735,NA,NA,-1.442,NA,NA,NA,NA,0.905,1.505,0.405,NA,NA,NA,NA,NA,0.625,0.165,1.781,0.251,0.904,1.981,0.765,0.781,0.781,NA,1.105,0.381,-0.035,1.615,1.465,0.715,-0.035
"11","Timor-Leste","November",-0.02,0.245,-0.825,-0.56,-0.25,-0.272,-0.062,-0.234,0.155,0.402,-0.038,0.158,0,-0.6,NA,1.945,1.424,0.36,0.931,0.924,NA,-0.481,0.014,NA,0.312,0.892,NA,NA,NA,-1.2,NA,NA,NA,NA,0.212,0.182,0.262,-0.438,NA,NA,NA,NA,0.422,0.782,1.38,0.88,0.98,1.28,1.38,0.492,1.272,NA,0.806,1.18,1.632,1.532,0.982,1.182,1.282
"12","Timor-Leste","December",0.31,-0.022,0.04,-0.612,0.7,-0.037,0.14,0.401,0.563,0.116,-0.13,1.155,-0.56,-0.65,NA,-0.117,0.283,0.669,0.52,0,-0.194,0.73,0.383,NA,NA,NA,0.63,NA,NA,-0.9,NA,NA,NA,0.48,-0.65,-1.06,0.43,0.04,-0.31,NA,NA,0.98,-0.33,1,0.09,1.29,0.9,0.294,0.875,0.24,0.175,NA,0.947,0.975,1.47,1.22,0.67,1.72,2.47
