"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Togo","January",0.189,-0.215,0.28,0.162,0.139,0.051,-0.722,-0.804,-0.079,0.508,-0.742,0.037,0.646,-0.927,-1.136,-0.214,0.455,0.488,1.006,1.272,-0.465,0.12,-1.123,0.653,1.024,0.242,1.45,0.768,-1.027,0.723,0.804,-0.208,-0.531,0.103,0.197,1.389,1.08,0.528,0.998,1.58,0.702,-0.06,1.162,1.089,0.271,0.614,0.054,-0.684,0.518,1.748,0.359,0.683,1.279,1.614,0.148,1.137,1.553,0.476,1.714
"2","Togo","February",-0.963,-0.122,0.307,-0.02,-0.345,-0.494,0.194,-0.042,0.989,0.364,-0.379,0.171,1.235,-0.341,-0.176,-0.293,0.143,0.975,0.321,0.814,0.611,-0.028,0.93,0.69,0.28,0.895,1.23,1.064,-0.453,0.236,1.118,0.635,0.583,0.697,0.244,1.274,-0.012,1.76,0.269,-0.666,0.323,0.58,1.646,0.469,1.85,1.418,1.422,0.739,1.466,1.842,0.917,0.496,1.343,0.711,1.37,1.559,1.277,1.598,1.499
"3","Togo","March",0.263,0.161,-0.589,0.47,-0.116,0.251,-0.414,-0.26,0.639,0.243,-0.062,-0.134,0.388,0.265,0.143,-0.437,0.609,-0.158,0.531,0.692,0.207,0.143,1.483,0.608,0.872,0.17,0.525,0.893,-0.407,1.192,0.287,1.311,0.022,1.046,0.528,1.005,0.054,1.716,0.792,0.848,1.379,1.244,1.601,1.01,1.487,1.062,1.763,1.145,1.221,1.844,1.252,0.918,1.129,0.988,1.022,1.533,1.614,1.015,1.547
"4","Togo","April",-0.178,0.037,-0.193,-0.106,-0.351,0.046,-0.416,-0.951,0.261,0.791,-0.066,-0.602,0.684,0.223,-0.074,-0.138,1.23,-0.937,0.837,1.08,0.956,0.292,1.597,0.207,0.302,0.793,1.741,0.533,0.625,0.659,-0.358,0.352,1.117,0.338,0.911,0.516,0.092,2.224,0.607,0.856,0.943,0.525,0.693,0.616,1.56,1.794,0.924,1.01,0.359,1.722,1.176,0.605,0.317,1.045,1.622,1.491,1.421,1.241,1.843
"5","Togo","May",0.618,-0.142,-0.056,-0.283,-0.156,0.129,-0.006,-0.053,0.591,0.037,-0.04,0.021,0.489,0.114,-0.061,-0.221,0.838,-0.383,0.055,-0.118,-0.099,0.003,1.203,0.273,0.473,0.935,1.698,1.146,0.657,0.592,-0.466,0.002,0.535,0.571,0.948,0.843,-0.058,1.44,1.135,0.973,1.108,1.069,1.262,0.486,0.918,0.267,0.837,0.825,0.877,1.525,1.274,0.341,0.323,1.245,1.705,1.344,1.113,1.056,1.02
"6","Togo","June",-0.144,-0.762,0.29,-0.231,-0.317,-0.099,-0.361,-0.322,0.598,0.73,-0.119,0.032,0.444,0.561,0.218,-0.522,0.462,0.075,-0.1,0.584,0.705,0.188,0.416,0.625,0.571,0.695,0.957,0.446,0.497,0.754,0.671,-0.032,0.538,0.521,0.797,0.773,0.231,0.816,1.295,0.704,0.777,0.872,0.599,0.604,0.912,1.219,1.019,0.802,0.919,1.392,1.308,0.658,0.88,1.466,1.575,1.059,1.226,1.101,1.214
"7","Togo","July",-0.393,0.095,0.475,-0.448,0.124,0.841,-0.094,0.243,0.115,0.144,-0.271,0.583,0.82,-0.117,-0.221,-0.219,0.286,-0.374,0.149,0.356,-0.098,0.111,0.52,0.722,-0.283,-0.241,1.296,0.361,0.311,0.031,0.309,-0.146,0.21,0.328,0.601,0.641,0.638,1.029,0.559,0.478,0.803,0.986,1.07,0.831,0.776,1.476,1.125,0.918,0.836,1.043,1.15,0.677,0.827,1.383,1.452,1.33,1.164,1.38,1.557
"8","Togo","August",-0.467,-0.244,0.544,-0.703,0.153,0.36,-0.283,0.632,0.201,-0.047,-0.492,0.349,0.453,0.031,-0.258,-0.232,0.069,0.25,0.707,0.123,0.135,-0.035,0.502,0.967,0.393,0.275,0.924,0.092,0.092,0.751,0.16,-0.07,0.815,0.542,0.679,0.17,0.754,0.362,0.404,0.367,0.321,0.818,0.828,1.023,0.622,1.025,0.726,0.941,1.183,1.2,0.874,0.552,0.331,0.534,1.141,1.298,0.808,1.282,1.562
"9","Togo","September",-0.364,-0.167,0.779,-0.494,-0.006,0.011,-0.212,-0.073,0.041,-0.166,-0.281,0.569,0.101,-0.272,-0.635,0.465,0.052,0.047,0.508,0.283,0.346,0.532,0.606,0.29,-0.221,-0.055,0.608,0.172,-0.002,0.256,0.474,-0.232,0.456,0.801,0.823,-0.211,1.349,0.595,-0.011,0.596,0.291,0.912,0.982,1.094,1.221,0.837,0.975,0.662,1.128,0.747,1.146,0.797,1.006,0.7,1.206,1.325,1.055,1.291,1.25
"10","Togo","October",0.331,-0.06,0.095,-0.26,0.271,-0.032,-0.001,0.164,-0.189,0.368,-0.011,0.347,0.528,-0.339,-0.071,-1.01,0.31,-0.013,0.521,0.106,0.617,-0.333,1.076,0.335,0.463,0.115,0.484,0.611,0.165,0.793,-0.639,0.123,0.459,0.037,0.472,0.008,1.094,0.736,0.292,0.518,1.01,0.386,1.114,0.834,0.676,1.181,0.974,1.17,0.956,0.756,0.688,1.017,0.691,0.786,1.361,1.631,1.5,1.425,0.566
