"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Tokelau","January",-0.015,0.275,-0.009,-0.208,-0.666,0.134,0.493,0.203,0.025,-0.047,-0.421,-0.148,0.871,-0.546,-0.007,-0.774,0.805,0.421,-0.422,0.62,0.954,-0.398,-0.003,0.186,-0.214,0.459,0.663,0.342,-0.307,0.593,1.093,NA,NA,NA,NA,NA,1.933,NA,0.523,1.523,1.523,1.233,1.473,1.013,3.143,NA,2.503,0.383,0.903,3.003,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Tokelau","February",0.133,-0.087,0.32,-0.234,-0.223,0.377,-0.545,-0.595,-0.17,-0.495,0.082,0.464,0.064,0.155,0.405,-0.681,1.079,-0.01,0.151,0.367,-0.272,0.216,0.091,0.507,0.078,-0.11,0.815,0.147,-0.404,1.095,0.745,NA,NA,NA,NA,NA,2.115,NA,0.555,1.145,2.535,1.765,0.915,1.985,2.115,1.245,3.315,1.875,0.875,1.915,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Tokelau","March",-0.892,0.042,0.45,0.141,-0.163,0.337,-0.451,0.509,0.585,-0.591,-0.578,0.048,0.895,-0.591,0.009,0.136,-0.518,-0.392,0.303,0.157,-0.621,0.591,-0.206,-0.572,0.236,0.192,0.919,0.292,-0.556,-0.211,1.299,NA,NA,NA,NA,NA,NA,NA,0.539,1.659,-0.011,1.249,0.659,0.909,0.949,1.779,2.929,1.179,0.689,-0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Tokelau","April",0.199,0.471,0.27,0.179,-0.385,-0.185,-0.47,-1.02,0.351,-0.07,-0.068,-0.249,0.014,-0.32,-0.32,-0.299,0.241,-0.081,0.248,0.333,-0.065,0.787,0.167,0.32,0.138,-0.188,0.79,-0.127,-0.254,0.337,0.92,NA,NA,NA,NA,NA,NA,-0.48,NA,NA,-0.52,0.43,0.31,-0.9,-0.76,0.88,1.99,0.34,-0.43,-0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Tokelau","May",0.067,0.148,0.12,-0.581,0.043,0.143,-0.368,-0.528,-0.073,-0.368,-0.145,0.319,0.11,-0.118,-0.518,-0.121,-0.139,0.114,0.461,-0.137,0.263,0.392,0.543,0.537,0.461,-0.148,0.492,0.159,-0.023,0.722,1.072,NA,NA,NA,NA,NA,NA,NA,NA,-1.668,NA,-0.938,-0.748,NA,-1.688,-0.398,2.002,NA,NA,-1.458,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Tokelau","June",-0.012,-0.212,-0.258,-0.66,0.472,0.272,-0.055,-0.755,0.43,-0.205,-0.051,0.649,-0.151,0.195,0.045,0.263,-1.018,-0.364,0.545,0.057,0.492,0.055,0.327,0.262,0.499,0.744,0.605,0.347,0.143,0.751,1.335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.905,2.535,-0.895,NA,-1.215,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Tokelau","July",-0.217,0.119,-0.237,-0.552,0.395,0.695,-0.05,-0.45,0.053,-0.81,-0.056,0.289,0.034,0.25,-0.31,0.022,-0.042,0.085,0.258,0.545,0.115,0.7,0.167,-0.188,-0.033,0.548,0.312,-0.199,0.74,0.719,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89,2.18,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Tokelau","August",0.287,0.422,0.476,-0.397,0.154,-0.292,-0.142,-0.202,-0.653,-0.392,-0.17,0.357,0.096,0.208,-0.142,0.007,-0.656,0.034,0.643,0.474,0.174,0.611,-0.01,-0.029,0.453,-0.047,-0.389,0.215,0.598,0.715,1.248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.098,NA,1.668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Tokelau","September",-0.214,0.203,0.585,-0.162,-0.213,-0.772,-0.472,0.378,-0.172,-0.372,-0.553,0.492,0.227,0.128,0.028,0.273,0.033,0.169,1.024,0.274,0.404,0.042,-0.002,-0.103,0.342,0.588,-0.038,0.077,0.818,0.805,0.768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.628,NA,2.248,NA,-0.602,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Tokelau","October",-0.2,-0.125,0.249,-0.658,0.442,-0.299,-0.249,0.251,0.111,-0.272,-0.117,0.392,-0.099,-0.609,-0.099,0.719,0.498,0.036,0.389,0.262,0.662,0.521,0.344,0.453,0.544,0.961,0.398,-0.321,0.391,0.942,1.191,NA,NA,NA,-1.899,NA,NA,-2.129,NA,NA,-2.199,-2.299,NA,0.401,-1.429,2.861,-1.379,NA,NA,1.291,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Tokelau","November",-0.343,-0.223,-0.158,-0.359,-0.259,-0.161,-0.511,-0.061,0.395,-0.511,-0.052,0.285,0.012,0.379,-0.187,0.908,0.336,0.389,1.009,0.261,0.31,0.409,0.118,-0.064,0.165,0.849,0.583,-0.184,0.244,0.321,0.979,NA,NA,NA,NA,NA,2.709,-0.041,-1.221,-1.071,-0.331,-2.221,-1.791,2.859,NA,2.569,-0.831,-0.911,NA,3.509,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Tokelau","December",0.031,-0.244,-0.085,-0.829,0.171,-0.559,-0.059,0.691,0.028,-0.659,-0.21,0.565,-0.164,-0.059,0.064,-0.222,-0.084,0.142,0.752,0.891,0.189,0.875,0.024,0.315,0.043,0.151,0.961,0.049,-0.313,0.814,1.481,NA,NA,NA,NA,NA,NA,1.061,-0.249,-0.619,0.991,0.001,NA,2.761,NA,3.551,-0.079,0.451,2.931,-0.149,NA,NA,NA,NA,NA,NA,NA,NA,NA
