"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Tonga","January",0.389,-0.487,-0.089,0.424,-0.006,0.041,-0.327,-0.148,-0.327,0.381,-0.224,-0.206,0.808,0.415,-0.026,-0.173,0.472,0.44,0.431,0.142,1.183,0.489,0.044,0.357,0.051,0.098,0.63,0.79,0.445,0.771,0.258,0.017,0.163,0.205,0.267,0.436,0.826,0.559,0.31,0.485,1.215,1.603,1.228,0.912,1.727,0.25,1.551,-0.014,0.112,0.718,0.001,0.266,1.031,1.321,1.783,2.105,1.541,1.003,1.727
"2","Tonga","February",0.937,0.013,-0.467,-0.088,-0.389,-0.684,-0.032,0.625,0.646,0.429,-0.692,-0.053,0.492,-0.673,-0.408,-0.168,0.574,0.778,0.708,0.861,0.06,0.402,0.465,0.819,0.71,0.328,0.852,1.391,-0.243,-0.002,0.643,0.365,0.328,0.984,0.651,0.575,1.065,0.824,0.151,0.742,0.957,1.55,0.871,0.949,1.732,0.302,0.467,0.605,0.775,1.218,-0.39,0.279,1.116,0.724,1.214,2.124,0.729,1.245,1.348
"3","Tonga","March",-0.25,0.08,-0.288,-0.139,-0.322,0.258,0.22,0.212,0.36,0.349,0.135,0.231,0.354,-0.171,-0.401,-0.423,0.469,-0.051,0.586,0.931,0.627,0.78,0.638,0.204,0.412,0.659,-0.16,1.398,0.718,0.402,0.882,0.734,0.385,1.054,0.411,0.227,0.047,1.192,0.49,0.264,0.544,0.826,1.288,1.152,1.127,1.414,0.333,0.587,0.917,0.524,0.869,0.841,0.722,1.273,1.546,1.739,1.446,0.997,1.72
"4","Tonga","April",0.582,-0.151,-0.017,0.063,-0.407,0.188,-0.05,-0.836,0.023,0.254,0.254,0.413,0.491,-0.752,-0.333,-0.39,0.121,-0.155,-0.349,0.62,-0.148,0.368,0.105,0.707,0.439,-0.13,-0.167,0.574,0.352,-0.291,0.744,-0.59,-0.014,0.357,0.348,0.913,0.953,1.053,0.626,0.401,1.196,0.843,0.823,1.504,1.19,0.724,1.148,0.742,0.748,1.599,1.296,1.113,1.431,0.938,0.785,1.191,1.495,1.183,2.333
"5","Tonga","May",0.495,0.033,-0.409,0.255,0.002,-0.34,-0.609,-0.322,-0.567,0.72,-0.462,0.224,0.323,-0.306,0.152,-0.139,-0.183,-0.026,0.469,-0.661,0.545,0.487,0.135,0.98,-0.072,-0.501,-0.501,1.751,0.849,0.882,0.054,-0.097,0.197,0.171,0.221,0.391,0.621,0.419,0.576,0.863,1.485,1.561,1.361,1.581,1.355,1.101,0.888,0.199,1.329,2.16,1.774,1.062,1.675,0.994,0.939,1.747,1.578,1.551,1.715
"6","Tonga","June",0.759,-0.549,0.349,0.458,-0.615,-0.391,-1.108,1.073,-0.106,0.762,0.483,-0.258,0.336,0.033,-0.094,-0.601,-0.18,0.149,0.519,-0.721,0.313,0.323,0.21,0.694,-0.775,-0.084,-1.082,0.562,0.638,0.55,-0.09,0.888,-0.182,-0.92,0.569,0.919,-0.471,0.24,0.319,0.99,0.606,0.999,0.149,1.129,0.197,1.111,1.524,0.837,0.53,1.434,1.596,1.152,1.526,0.789,0.765,1.368,1.327,1.555,1.977
"7","Tonga","July",0.71,-0.429,0.81,-0.092,-0.282,-0.155,-0.673,0.864,-1.201,0.724,0.068,-0.45,0.183,0.173,0.365,-0.49,0.111,0.198,-0.331,-0.119,-0.188,0.114,0.093,0.366,0.306,-0.797,-1.111,0.669,0.321,0.098,0.79,0.566,-0.739,-0.05,0.686,1.016,0.466,0.121,0.958,0.622,0.882,0.859,1.075,0.666,0.552,0.688,1.675,0.304,1.055,1.476,1.746,0.954,0.747,0.376,0.994,1.085,1.395,1.343,2.08
"8","Tonga","August",0.349,-0.046,-0.461,0.874,-0.875,-0.817,0.451,-0.237,-0.668,0.046,0.651,-0.001,0.384,-0.203,0.01,-0.228,0.071,0.326,-0.327,-0.193,0.504,-0.581,-0.244,0.32,0.744,-0.746,-0.431,0.807,0.066,1.142,0.785,0.037,-0.311,0.254,0.801,0.861,0.341,0.251,1.04,1.147,1.14,0.798,0.062,1.391,0.258,1.096,1.647,1.01,0.386,1.443,0.921,1.399,1.475,0.654,0.717,1.465,1.441,1.253,2.496
"9","Tonga","September",1.102,-0.45,-0.962,0.391,-1.243,-0.817,0.67,-0.638,-0.025,0.19,0.291,-0.121,0.182,0.2,0.426,-0.612,-0.634,-0.145,0.593,0.74,-0.804,-0.707,0.116,0.075,-0.176,-0.543,-0.904,0.698,0.931,0.391,-0.513,0.638,-1.141,-0.986,0.926,0.626,0.616,0.527,0.381,1.339,0.696,0.996,1.055,0.528,0.994,1.052,1.51,0.656,0.441,1.393,1.119,1.16,0.764,1.365,1.119,1.124,1.381,1.646,1.996
"10","Tonga","October",-0.984,0.427,-1.247,0.376,-1.326,-0.816,-0.307,-0.214,-0.361,0.499,0.381,-0.348,0.205,0.279,0.584,0.424,-0.256,0.362,0.556,0.84,-0.371,-0.246,-0.13,-0.795,0.334,0.06,-0.176,0.715,1.017,0.311,0.178,0.447,-1.003,-0.027,0.683,0.213,0.913,0.267,0.726,0.985,0.783,0.953,0.539,0.895,1.032,0.383,1.189,1.092,0.75,1.157,1.205,1.357,0.837,1.388,0.683,1.791,1.3,1.433,2.166
