"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Trinidad and Tobago","January",0.907,0.201,-0.805,-0.497,-0.42,0.557,0.034,-0.271,0.024,0.52,-0.082,-0.251,0.505,-0.55,-0.416,-0.001,-0.11,0.323,0.084,0.648,0.335,0.512,0.608,-0.265,NA,-0.167,0.433,0.615,-0.121,0.588,0.548,0.276,0.206,0.689,0.531,0.746,0.565,NA,0.214,NA,0.734,1.258,1.025,1.053,1.673,1.168,1.106,0.902,0.903,1.288,1.353,1.262,0.965,1.43,0.725,0.45,NA,1.141,1.136
"2","Trinidad and Tobago","February",0.472,-0.233,-0.315,0.047,-0.776,-0.099,-0.022,-0.427,0.368,0.263,-0.132,-0.501,0.33,-0.4,-0.566,0.52,0.409,0.784,0.872,0.457,1.217,0.196,0.512,-0.038,NA,-0.236,0.591,0.621,-0.105,-0.09,0.712,0.015,0.367,0.689,0.64,1.015,0.304,1.753,-0.147,NA,0.362,0.647,1.163,0.733,2.017,0.652,0.754,0.423,0.261,1.566,0.982,1.034,0.879,1.574,1.569,0.774,NA,0.185,0.79
"3","Trinidad and Tobago","March",0.284,0.079,-0.752,0.314,-0.409,0.168,-1.755,-0.46,1.035,0.431,-0.102,-0.353,0.56,-0.809,-0.136,0.091,0.356,0.788,0.534,0.098,0.778,NA,1.059,-0.047,-0.33,-0.389,0.77,0.384,-0.394,0.146,0.382,0.449,0.658,0.717,0.817,0.716,NA,1.654,0.404,NA,0.513,-0.162,0.964,0.875,1.834,0.749,0.955,-0.03,0.092,2.397,0.628,0.668,1.526,0.641,0.136,1.172,NA,0.752,1.097
"4","Trinidad and Tobago","April",0.476,0.82,-1.111,-0.185,-0.608,0.269,-0.654,-0.459,1.336,0.032,-0.326,-0.795,0.276,-0.672,-0.962,-0.107,-0.503,0.835,0.479,0.783,0.213,0.014,1.05,0.246,-0.348,0.352,1.335,0.939,-0.461,0.246,-0.03,0.976,1.022,0.141,0.552,0.562,-0.469,1.28,0.489,0.324,0.439,0.394,1.327,0.854,2.065,0.56,1.241,0.458,0.588,2.211,0.793,0.344,1.297,0.142,1.037,NA,NA,NA,1.278
"5","Trinidad and Tobago","May",0.408,0.852,-1.209,-0.104,-0.127,0.049,-0.174,-0.878,1.317,0.412,-0.454,-0.462,0.287,-0.422,-0.591,-0.283,0.034,0.194,0.772,0.744,-0.533,0.205,-0.06,-0.32,-0.249,0.311,0.881,0.99,-0.809,-0.043,0.317,0.629,0.592,0.609,0.763,-0.297,0.502,0.831,0.68,NA,0.5,0.835,1.073,0.155,1.175,0.96,1,0.734,0.489,1.156,1.066,0.053,0.327,1.372,0.618,NA,NA,0.433,1.429
"6","Trinidad and Tobago","June",0.421,0.415,-0.996,-0.217,-0.24,-0.063,0.014,-0.091,0.404,0.199,0.096,0.069,0.479,0.074,0.205,-0.622,0.067,-0.269,0.066,-0.495,0.057,NA,0.187,0.351,0.053,NA,0.528,0.673,0.317,0.02,0.726,-0.018,0.883,0.224,0.794,-0.077,-0.197,0.492,0.761,0.206,0.891,NA,0.689,0.807,1.163,1.118,0.741,1.195,0.42,1.49,1.378,0.55,0.564,1.91,1.405,NA,1.575,1.371,1.466
"7","Trinidad and Tobago","July",0.085,0.529,-0.708,-0.193,0.184,-0.039,-0.362,0.033,0.329,-0.176,0.004,0.075,0.606,-0.233,-0.29,-0.46,0.158,-0.084,0.309,NA,0.401,0.187,0.502,-0.393,-0.477,NA,0.403,0.626,0.301,0.2,0.452,0.512,0.461,0.377,0.967,0.186,0.436,1.065,0.244,0.539,0.974,0.499,1.137,0.372,1.177,1.382,1.145,0.788,0.813,1.344,1.399,1.081,1.339,1.734,1.529,NA,0.95,0.705,1.54
"8","Trinidad and Tobago","August",0.496,-0.57,-0.046,0.263,0.14,0.117,-0.006,-0.411,-0.016,-0.12,-0.57,0.201,-0.305,-0.204,-0.243,-0.016,0.08,-0.004,0.627,NA,0.167,-0.007,0.398,-0.136,-0.304,NA,0.721,0.354,0.567,0.071,0.052,0.401,0.274,0.285,1.023,0.403,0.522,1.871,0.81,1.025,0.97,0.555,0.927,0.436,1.273,1.058,0.796,1.334,1.189,1.445,1.507,0.851,1.012,1.49,2.085,NA,2.356,1.301,1.596
"9","Trinidad and Tobago","September",0.013,0.407,-0.48,0.084,-0.039,-0.162,-0.085,-0.39,0.405,-0.499,-0.304,0.391,-0.114,-0.219,-0.023,NA,0.337,0.192,0.088,NA,0.138,0.633,0.499,-0.256,-0.371,NA,0.09,0.015,0.18,0.765,NA,0.206,0.311,0.096,NA,NA,NA,NA,NA,NA,NA,NA,1.513,1.259,1.684,1.009,1.094,NA,NA,1.4,1.505,1.53,1.126,1.461,2.106,NA,2.277,0.822,2.017
"10","Trinidad and Tobago","October",0.098,0.448,-0.72,-0.518,0.259,0.036,-0.087,0.008,0.003,0.498,-0.857,0.556,-0.374,-0.294,-0.551,0.457,0.157,0.115,0.184,NA,0.995,-0.009,-0.019,-0.194,-0.842,-0.091,0.62,0.156,-0.122,0.173,0.109,0.495,0.09,0.166,0.823,0.362,1.081,0.98,NA,0.584,0.709,0.476,1.456,0.999,1.312,1.067,0.949,1.364,1.098,1.819,0.896,1.361,0.343,1.659,2.104,NA,1.524,1.12,1.515
"11","Trinidad and Tobago","November",0.143,0.258,0.115,-0.208,0.168,0.045,-0.278,-0.283,0.413,-0.392,-0.604,0.048,-0.242,-0.029,-0.353,0.473,0.562,0.461,0.674,0.11,0.665,NA,0.138,-0.062,-0.339,-0.314,0.507,0.346,-0.185,0.422,0.413,0.536,0.274,0.469,0.849,0.298,0.297,0.827,0.976,0.501,1.396,0.501,1.399,0.672,1.361,1.146,1.028,1.13,1.385,1.331,1.143,1.591,0.593,0.118,0.513,NA,1.684,1.729,1.874
"12","Trinidad and Tobago","December",0.55,-0.083,0.373,-1.15,0.427,0.204,-0.401,0.095,0.79,0.285,-0.463,0.086,-0.562,-0.249,-0.435,-0.445,0.075,0.316,0.703,0.527,1.365,0.298,0.28,NA,-0.098,-0.001,1.151,-0.003,0.276,0.63,0.316,0.316,0.762,0.482,1.081,0.64,1.179,0.888,0.253,0.608,1.293,NA,1.089,1.157,1.188,1.033,0.744,0.497,1.562,1.515,1.358,1.33,0.68,1.895,1.591,NA,0.541,0.906,1.856
