"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Tunisia","January",-0.776,1.068,0.593,-0.335,-0.433,1.875,-0.963,-0.864,0.178,1.698,-0.17,-0.285,-0.434,0.629,0.057,-0.84,1.466,-0.731,2.517,-0.074,-1.718,1.265,-1.027,0.091,-0.96,0.091,-0.343,1.678,-0.272,0.898,-0.409,-0.93,-0.501,1.314,-0.291,2.464,2.055,0.677,0.901,-1.241,1.625,-0.147,1.394,0.925,-0.999,-0.987,2.285,1.053,1.221,2.175,1.595,0.435,1.31,1.946,0.277,2.211,-1.194,2.284,-0.35
"2","Tunisia","February",0.024,-1.621,-0.701,0.513,-2.145,2.891,0.198,0.734,0.193,0.348,-0.996,0.728,-1.797,-0.232,-0.932,-0.664,2.708,2.173,1.702,0.423,-0.886,0.09,-0.566,-0.979,2.399,0.738,0.362,0.393,0.008,2.259,-0.478,-0.337,-0.983,0.778,2.154,-0.577,1.396,1.04,-1.231,0.306,0.576,1.27,-1.082,1.644,-1.484,-0.191,2.246,0.562,-0.195,3.169,-0.297,-2.449,-0.238,2.261,-1.074,2.478,2.112,0.056,-0.476
"3","Tunisia","March",-0.59,0.405,-0.889,1.372,-0.201,-1.189,-0.015,-0.35,1.11,-0.361,-1.467,0.724,-1.788,0.268,-0.537,-1.962,1.779,0.035,1.192,0.043,2.232,-0.432,-0.195,-0.425,-0.747,-0.035,-1.091,0.448,1.201,0.644,1.949,-0.088,-0.806,1.28,0.242,0.715,-0.38,0.044,1.13,1.506,4.784,2.344,-0.275,1.24,1.374,1.877,0.281,1.426,0.618,2.714,0.443,0.271,3.023,0.261,0.315,1.353,1.68,2.906,0.546
"4","Tunisia","April",2.047,0.616,0.006,-0.418,-1.044,0.769,0.258,1.045,-0.181,-0.029,1.46,-0.976,-0.794,-0.451,-0.348,-0.825,0.67,0.354,-1.055,-1.238,1.725,-0.093,1.466,0.244,1.172,0.625,0.746,1.55,1.235,0.636,-1.256,-0.143,1.018,-0.288,-0.53,0.57,-0.22,2.407,1.746,2.835,1.012,1.817,1.643,1.341,1.31,3.326,1.052,2.575,0.355,2.288,2.206,2.333,2.821,2.352,1.573,3.611,1.335,2.833,1.695
"5","Tunisia","May",1.809,0.278,-1.834,0.268,-0.311,-0.691,0.853,0.976,1.291,-1.238,0.323,-1.582,1.369,1.265,-0.044,-0.619,0.497,-0.017,-0.64,-0.897,1.041,-0.208,0.847,0.718,0.425,1.281,-0.64,3.157,0.168,0.49,-2.001,-0.395,1.526,3.22,1.514,0.947,1.956,0.849,3.88,2.909,2.001,1.699,2.029,-0.275,2.489,3.151,1.876,2.652,1.251,1.227,0.635,1.416,1.694,1.559,2.994,2.411,2.807,1.124,0.248
"6","Tunisia","June",-0.296,-1.152,-0.637,0.516,-0.485,0.841,-1.595,-0.928,-0.958,0.223,0.564,0.436,0.607,0.811,-0.709,-1.108,-0.651,-0.232,0.605,0.025,0.777,2.178,-0.091,-0.574,1.293,-0.217,0.936,0.966,-0.148,1.783,-0.445,-0.28,1.562,1.266,0.942,-0.667,3.583,1.977,3.408,0.707,1.593,1.754,2.438,0.63,1.3,1.828,2.702,0.81,1.776,1.514,0.353,3.296,-0.073,1.317,1.019,1.968,2.495,1.291,3.67
"7","Tunisia","July",0.336,0.386,0.819,-0.441,2.09,0.205,-0.729,0.358,-1.656,-0.674,-0.082,-0.142,1.734,-1.326,0.017,-0.077,0.741,-0.706,0.213,-0.953,-0.498,2.69,1.313,-0.073,1.253,0.158,1.787,2.018,0.461,0.331,0.648,-1.108,0.792,1.245,1.273,0.416,1.874,1.545,1.54,1.604,2.642,1.923,3.953,0.859,2.615,1.876,0.828,2.735,2.625,1.924,2.177,3.163,1.444,1.556,1.849,1.396,2.455,3.985,3.155
"8","Tunisia","August",-0.875,-0.741,0.402,-0.009,-0.462,0.615,0.638,0.015,-0.756,0.808,1.134,-1.197,-0.463,-0.923,-0.357,-0.299,0.16,-0.428,0.533,0.144,-0.496,1.254,1.308,0.245,-0.061,1.424,1.9,1.138,1.562,-0.619,0.499,0.684,1.17,2.614,1.642,2.192,1.124,1.34,4.074,1.271,1.261,1.45,2.664,2.156,1.354,1.783,1.952,1.534,2.273,1.644,1.143,2.622,0.734,2.187,2.138,0.517,2.575,0.385,2.76
"9","Tunisia","September",-0.258,0.327,0.113,-1.067,-0.776,-0.316,-0.183,-0.019,-0.462,0.061,-0.369,-0.003,0.951,0.091,1.311,-0.699,-1.171,-1.041,-1.036,0.242,0.716,1.044,0.103,0.123,-0.628,0.634,2.022,-0.302,1.661,3.25,1.378,0.767,1.204,2.125,0.539,0.341,0.229,2.199,2.793,1.203,1.798,1.133,1.41,0.226,1.018,0.419,1.584,1.981,0.591,0.668,2.336,2.014,1.745,3.354,1.863,1.028,1.054,2.26,2.154
"10","Tunisia","October",0.204,0.894,-1.195,-0.075,1.57,1.332,1.293,-0.318,-0.529,-0.895,-1.031,-0.901,1.167,-1.3,-0.16,0.49,0.521,-1.891,1.507,-0.226,2.074,1.552,0.454,-0.334,0.434,1.748,3.315,2.899,0.561,4.632,2.093,2.998,2.845,1.623,0.628,-0.387,1.86,0.758,4.094,1.006,4.558,1.818,4.324,4.076,2.777,3.029,1.972,2.362,0.979,1.598,0.694,3.891,4.881,3.302,2.93,4.341,0.519,1.491,2.427
