"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Turkey","January",0.102,0.96,2.313,-4.267,0.321,3.17,-0.621,-1.613,-0.387,2.495,2.807,-4.138,-1.736,-3.16,-0.985,-1.201,-1.348,0.674,1.916,-1.236,1.665,1.338,-1.907,2.659,2.429,1.847,1.386,0.357,-2.823,-2.373,-0.103,-2.845,-1.792,2.78,1.547,0.503,1.865,0.342,2.415,-1.852,2.37,-1.958,3.229,0.526,1.503,-0.969,0.333,-2.832,0.994,2.982,1.366,-0.496,1.462,2.917,0.952,0.114,-1.316,2.668,1.391
"2","Turkey","February",-0.806,-0.062,2.524,-1.384,-1.528,3.65,-3.857,-0.765,-0.279,2.397,-0.155,-3.494,1.913,-0.691,-1.614,-4.027,3.415,2.602,2.624,-0.777,0.903,-1.931,-1.053,1.485,-2.557,1.256,1.841,-0.021,-1.298,-0.558,-1.613,-4.384,-2.399,0.054,1.992,1.159,-1.329,-0.259,1.487,-1.394,1.767,2.501,-1.757,0.19,-0.084,0.003,0.36,-2.037,1.907,3.414,0.403,-2.72,2.655,2.771,1.508,4.446,0.07,4.063,1.922
"3","Turkey","March",-1.14,2.456,-1.664,0.561,0.703,1.118,-1.633,-0.68,0.642,2.052,1.121,-0.488,-0.906,1.281,0.975,-1.404,0.208,1.414,2.147,-0.515,1.865,-1.142,-0.068,0.945,-1.74,0.686,-3.871,-0.684,2.363,0.993,1.043,-1.997,-0.636,0.9,1.138,-1.024,-1.92,-0.892,1.113,-1.294,4.792,2.362,-2.339,1.65,0.638,1.664,1.056,3.93,0.276,2.652,0.582,-1.784,2.133,2.714,1.348,2.549,2.068,4.58,1.241
"4","Turkey","April",1.235,-0.273,-0.519,-0.804,-1.183,1.306,-1.046,1.795,-2.1,2.421,-0.849,1.944,-0.557,-1.611,2.027,-0.408,0.204,-0.411,0.382,-0.798,-0.57,0.474,0.718,-1.155,1.176,2,-1.592,-0.085,4.266,0.069,0.552,-0.313,-0.412,2.663,-0.537,-1.508,-2.371,1.968,1.07,2.119,1.444,-0.474,-0.814,0.193,1,1.48,-1.529,2.751,-0.189,0.911,-0.646,2.294,1.679,2.029,-0.707,3.267,0.47,3.322,-0.222
"5","Turkey","May",0.849,0.916,-1.222,-1.227,-0.574,-0.503,-0.205,1.949,0.917,-0.351,0.749,-0.56,0.378,0.081,-0.24,-0.625,0.19,0.352,0.516,-0.271,-2.119,-0.279,0.491,0.106,1.701,-1.928,-0.067,0.122,0.663,-0.491,-1.046,-1.198,-0.975,0.958,1.021,2.021,1.396,0.476,1.399,0.378,-0.211,0.271,2.175,-0.165,0.662,0.935,2.896,-0.002,0.349,1.494,-0.449,1.129,2.483,0.939,1.056,0.624,0.568,2.523,2.169
"6","Turkey","June",0.412,0.447,-0.326,0.294,0.623,-0.004,-1.481,-0.723,1.01,0.151,-0.36,-0.09,-0.999,0.643,0.413,-0.857,-0.036,-0.517,0.258,0.416,0.449,-0.32,-0.882,-0.132,0.332,-0.117,0.154,-0.095,0.184,-0.005,0.475,-0.374,-0.179,0.418,1.46,0.292,0.646,1.463,1.201,0.875,1.459,1.206,1.368,0.715,0.082,2.244,2.283,1.748,1.665,1.762,0.538,2.578,1.461,0.86,-2.148,2.128,1.5,1.937,3.111
"7","Turkey","July",-0.078,0.783,0.047,-0.379,-0.162,0.668,-0.969,-0.001,-1.623,0.447,-0.141,0.153,-0.105,-0.431,0.633,-1.366,-0.113,0.409,-0.848,1.328,0.221,-1.724,-0.361,-0.434,-1.323,0.71,0.644,0.744,0.686,0.917,0.47,-1.367,-0.157,0.56,-0.188,1.415,0.188,1.553,1.393,2.598,2.29,1.776,1.033,0.556,1.676,0.553,2.107,1.52,0.999,2.2,1.785,2.314,0.815,1.69,1.54,1.695,2.291,2.095,0.735
"8","Turkey","August",0.358,1.22,0.49,-1.23,-0.187,1.102,-0.15,-1.525,0.16,-0.464,-0.428,-0.141,-0.418,-1.024,-0.282,-1.461,0.347,-1.318,0.597,-0.066,-0.209,-0.945,-1.393,-2.348,1.112,1.516,-0.658,0.19,0.909,-0.477,0.551,0.401,0.398,0.611,0.491,0.773,-0.711,2.123,1.488,0.796,1.99,0.422,1.651,0.657,1.769,3.066,2.157,2.519,-0.012,3.545,0.912,1.555,1.199,2.496,-4.068,2.658,2.345,2.081,1.792
"9","Turkey","September",-1.96,0.694,0.702,-0.678,0.53,-0.206,-0.445,-0.129,0.488,-0.351,0.909,0.502,0.748,-0.939,0.279,-1.104,0.154,-0.385,1.158,-0.95,0.905,0.836,-0.147,1.161,0.061,1.74,0.592,0.077,0.235,-0.07,0.105,-0.763,0.405,3.073,0.667,-0.225,-1.51,0.882,0.763,0.843,1.793,0.948,0.158,0.907,0.705,0.702,1.679,1.209,-0.294,2.836,1.423,2.146,0.356,1.179,3.751,0.75,3.242,2.385,1.502
"10","Turkey","October",-0.202,0.794,0.772,0.559,-2.787,2.024,0.126,-0.148,-0.519,-1.446,-1.703,0.555,0.943,3.007,-0.585,0.307,-2.533,0.778,0.116,0.509,2.084,-0.168,-1.118,0.565,-2.006,-0.281,-1.252,-0.705,-0.865,0.484,0.905,1.575,1.362,2.398,-0.948,-0.812,0.176,1.61,1.171,-0.208,0.712,1.24,1.578,1.804,-0.835,0.976,1.713,0.632,2.461,0.461,-0.964,2.552,-0.993,0.732,1.638,1.26,0.304,2.104,3.136
"11","Turkey","November",0.657,3.256,0.785,-0.133,-0.299,3.421,-1.061,0.88,0.047,1.043,-0.136,-1.077,-3.117,-0.052,-1.034,0.989,1.302,-2.498,1.064,0.876,-1.836,-2.065,0.176,-0.188,1.72,-2.751,-0.936,-3.647,-0.641,1.672,-0.076,-1.473,-2.707,-1.376,-2.593,0.852,0.271,2.004,-0.122,1.152,-0.933,1.211,-0.036,-0.225,-0.968,-1.434,-0.471,1.234,0.208,3.289,-3.738,2.026,1.785,-0.055,1.546,-0.145,0.365,1.171,2.499
"12","Turkey","December",1.337,1.911,0.167,0.556,1.369,1.354,0.625,0.817,1.857,-1.304,-1.876,-1.886,-0.997,-1.038,-2.662,0.515,-1.743,0.989,0.33,1.431,3.234,0.054,1.231,-1.94,0.262,-1.178,-0.086,0.277,-1.004,1.387,-2.272,-2.74,1.381,-2.345,-0.158,3.234,0.745,1.355,2.143,0.624,-0.075,-2.75,0.206,-0.949,1.371,-1.012,-0.623,-0.289,2.837,3.487,0.004,1.11,-2.671,3.191,-0.486,-2.75,2.666,1.143,2.229
