"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Turkmenistan","January",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.822,1.528,2.4,3.135,-0.864,3.069,0.273,2.38,1.888,-0.108,4.005,2.515,4.604,1.935,-3.774,3.889,-9.154,1.701,3.544,1.554,-0.237,4.156,2.134,2.287,5.365,2.45,2.403,5.233
"2","Turkmenistan","February",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.787,-0.017,-2.295,2.092,-0.72,0.445,-0.256,6.032,1.952,2.639,3.501,1.568,5.339,-1.827,3.974,2.377,-1.783,3.947,-0.732,-1.107,-3.956,3.548,-3.459,2.74,3.733,-0.155,2.323,2.871
"3","Turkmenistan","March",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.168,0.15,0.985,0.823,-1.595,0.564,-0.064,0.392,0.832,3.458,3.767,-0.687,3.024,3.335,3.16,0.214,7.226,3.91,2.588,0.688,-0.26,3.338,1.657,0.109,4.451,1.57,5.394,3.249
"4","Turkmenistan","April",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.389,0.652,-0.369,2.502,-1.355,1.687,2.298,-0.265,4.921,3.119,-0.418,-1.526,-1.091,1.594,1.848,1.26,3.187,-2.447,1.349,1.84,4.54,0.411,0.203,1.244,1.337,0.553,0.285,0.206
"5","Turkmenistan","May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.88,-0.751,0.71,0.834,0.902,0.492,-0.149,-0.562,1.457,3.042,-1.121,-1.518,1.139,1.108,1.593,1.328,2.314,0.996,1.217,2.248,2.294,1.291,3.602,2.034,2.577,2.773,1.358,2.418
"6","Turkmenistan","June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.075,0.601,0.079,1.033,0.553,2.025,2.341,0.806,0.221,1.43,0.373,-1.436,1.182,1.461,2.416,1.5,1.6,0.609,2.914,1.976,2.064,1.737,2.647,3.268,2.158,1.554,1.304,2.137
"7","Turkmenistan","July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.143,0.178,-0.349,1.296,1.292,1.356,1.236,-0.212,0.864,0.122,0.742,0.402,-0.505,1.765,0.316,0.388,1.41,0.961,1.5,1.842,1.517,1.326,0.619,1.937,1.258,1.849,3.855,2.581
"8","Turkmenistan","August",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.518,-0.314,1.565,1.649,0.467,1.028,2.027,2.96,2.206,0.894,1.487,1.41,0.869,0.358,2.245,1.392,1.787,0.46,1.719,2.009,2.259,0.367,2.38,0.967,1.737,1.341,0.987,0.623
"9","Turkmenistan","September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.69,0.396,-1.781,0.68,1.817,0.109,1.061,0.547,1.477,0.158,2.034,0.641,0.893,2.809,0.268,1.287,0.97,0.667,0.589,1.173,0.45,2.855,1.904,0.935,2.403,2.145,1.141,0.525
"10","Turkmenistan","October",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.519,-1.448,0.502,-0.352,0.749,4.234,0.368,2.209,-0.714,-0.214,3.843,3.052,0.038,1.964,4.131,-0.276,1.095,1.116,3.6,1.229,2.425,0.753,-0.788,0.946,-1.071,1.9,0.429,2.385
