"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Turks and Caicos Islands","January",1.079,1.083,-0.154,1.629,-0.791,0.501,-0.077,-0.38,-0.282,0.608,-0.124,0.456,0.709,0.14,0.604,-0.447,-0.239,0.97,0.833,0.214,0.843,0.747,1.032,0.874,0.169,0.623,0.659,0.943,0.671,1.111,NA,1.2,NA,1,1.3,1.6,1.044,2.37,1.542,0.535,0.33,1.676,1.92,0.948,0.167,0.74,1.72,0.335,1.091,1.583,1.634,0.64,1.805,1.6,1.48,1.91,1.15,NA,1.45
"2","Turks and Caicos Islands","February",0.749,-0.991,1.295,0.02,0.378,-0.134,-0.303,-0.293,-0.039,0.054,0.241,0.559,-0.546,-0.296,0.822,-0.07,1.187,0.01,-0.411,-0.149,0.64,0.429,0.633,0.441,0.276,-0.038,0.828,0.334,-0.075,0.405,NA,NA,NA,1.294,NA,1.174,1.336,1.524,-0.415,0.614,0.389,1.284,2.045,1.841,0.133,1.315,2.094,0.736,0.703,2.392,1.495,1.222,1.43,1.594,1.464,1.844,2.194,NA,1.094
"3","Turks and Caicos Islands","March",0.755,-0.217,0.846,1.202,0.06,-0.203,-1.173,-0.445,0.721,0.075,-0.578,-0.785,0.126,-0.064,0.25,-0.196,0.589,1.146,-1.331,0.013,0.614,0.216,1.355,0.414,-0.418,0.422,0.767,0.01,-0.324,-0.009,NA,NA,0.357,NA,NA,0.917,1.097,2.207,0.675,0.126,1.061,1.26,1.854,1.317,1.756,1.23,0.917,0.162,0.001,2.241,1.2,0.171,1.459,1.307,1.917,1.627,1.377,NA,1.917
"4","Turks and Caicos Islands","April",0.708,-0.092,0.35,0.666,-0.43,0.057,-0.913,-1.073,0.793,0.61,-0.806,0.157,0.291,1.119,0.555,-0.884,0.022,0.984,-0.41,0.425,-0.09,0.494,0.664,1.086,0.124,-0.02,1.238,0.865,0.405,0.56,NA,NA,NA,NA,NA,0.705,1.308,1.445,1.27,1.245,0.12,0.216,1.604,0.291,2.335,1.775,1.675,0.46,0.261,2.415,1.419,0.656,1.441,0.925,1.435,0.445,0.275,NA,1.225
"5","Turks and Caicos Islands","May",-0.126,-1.142,-1.128,0.412,-1.071,-0.28,0.172,0.25,0.506,-0.102,0.614,-0.316,0.764,0.117,0.261,0.425,-0.68,1.101,-0.296,-0.049,0.392,-0.385,0.666,0.583,0.688,-0.096,0.479,1.218,0.153,0.921,NA,-0.023,NA,NA,NA,0.787,1.539,1.4,1.222,0.933,NA,0.62,1.524,0.013,1.123,1.575,1.471,1.087,-0.187,1.367,0.932,0.648,0.872,NA,1.667,0.727,0.827,NA,0.787
"6","Turks and Caicos Islands","June",0.322,-1.059,-0.309,0.615,-0.092,0.299,0.038,-0.082,0.631,-0.129,0.19,0.01,-0.143,-0.188,0.483,-0.573,0.041,0.785,0.305,0.388,0.095,0.423,0.82,0.123,0.565,0.104,0.138,1.513,0.267,1.003,0.212,0.912,0.712,NA,NA,0.652,2.062,2.135,0.819,1.081,1.269,0.849,0.724,0.942,0.941,1.451,1.716,0.828,0.657,1.262,0.76,1.618,0.914,NA,1.042,1.212,1.262,1.412,3.112
"7","Turks and Caicos Islands","July",0.382,0.036,-0.081,-0.432,-0.057,0.232,0.06,-0.281,0.347,0.24,-0.048,-0.213,0.486,0.181,0.099,-0.768,-0.186,0.333,0.456,0.714,0.521,0.316,0.667,0.325,0.518,0.775,0.931,0.653,0.54,0.516,NA,NA,NA,0.877,NA,0.927,1.448,1.007,1.138,1.458,0.752,0.937,0.597,0.814,0.927,0.747,1.316,1.433,1.666,0.827,-0.047,1.005,0.534,1.087,1.847,NA,1.897,0.747,NA
"8","Turks and Caicos Islands","August",0.459,-0.56,-0.17,0.09,0.273,0.503,-0.066,-0.285,-0.005,-0.164,-0.26,-0.457,0.228,-0.343,0.056,-1.076,-0.136,0.317,0.129,0.458,0.137,0.352,0.386,-0.295,0.472,0.456,0.902,-0.011,0.461,1.136,-0.406,NA,0.094,NA,1.394,0.932,1.314,1.407,1.189,1.008,0.864,1.014,0.387,1.076,0.834,0.574,0.699,0.444,0.544,1.192,0.086,0.267,1.084,0.464,NA,1.244,1.134,NA,1.694
"9","Turks and Caicos Islands","September",-0.182,-0.365,0.642,-0.217,0.283,0.355,0.056,-0.071,0.107,-0.516,-0.43,0.019,-0.126,-0.29,0.119,-0.236,-0.135,0.148,-0.454,0.292,0.587,0.341,0.385,-0.146,0.073,0.205,0.779,-0.163,0.269,0.788,0.708,NA,0.108,1.208,1.708,1.049,1.888,0.498,1.108,0.684,1.393,0.811,0.785,0.418,1.608,1.123,1.269,0.672,1.416,1.465,0.593,1.126,1.379,0.338,2.178,1.218,NA,0.048,1.748
"10","Turks and Caicos Islands","October",-0.714,-0.013,-0.076,0.037,0.176,-0.448,0.406,0.384,0.312,-0.357,-0.061,-0.846,-0.183,-0.133,0.063,-0.555,0.122,0.273,0.239,1.073,0.441,0.505,0.479,-0.582,-0.446,0.503,0.65,0.087,0.539,0.185,NA,0.687,NA,NA,0.587,0.653,0.647,1.107,1.009,1.153,0.766,1.075,1.227,0.747,0.697,1.435,0.252,1.216,1.224,1.126,0.5,1.453,0.965,1.297,0.887,1.707,NA,2.037,NA
