"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Tuvalu","January",0.148,0.372,-0.09,0.357,-0.49,-0.116,0.159,0.234,0.432,0.156,-0.533,-0.636,0.281,-0.608,-1.124,-0.742,-0.156,0.037,-0.316,0.277,0.456,-0.046,-0.671,0.219,-0.453,0.372,-0.022,0.168,-0.495,-0.091,0.641,-0.445,0.288,-0.088,0.112,0.677,0.467,NA,0.117,0.012,1.187,0.797,0.492,0.512,0.851,0.717,0.812,0.019,0.417,0.947,-0.023,0.017,0.337,0.457,0.627,1.577,1.107,1.227,1.287
"2","Tuvalu","February",0.029,0.328,-0.235,0.14,-0.261,0.113,-0.172,-0.109,-0.02,0.549,-0.588,-0.153,0.183,-0.811,-0.124,-0.7,-0.123,-0.488,-0.033,0.026,-0.343,-0.415,-0.065,0.237,0.284,0.308,-0.089,0.128,-0.328,-0.203,0.467,0.138,-0.085,0.754,0.598,0.404,0.218,0.168,0.058,0.545,NA,1.008,0.664,0.445,0.237,0.068,0.699,0.062,0.545,0.148,0.218,0.788,0.488,0.328,0.698,1.118,1.218,0.398,0.468
"3","Tuvalu","March",-0.636,0.238,0.151,0.564,-0.362,0.038,-0.355,0.001,0.264,-0.035,-0.508,-0.296,0.195,-0.022,0.042,-0.751,-0.456,-0.324,0.093,-0.448,0.019,-0.31,-0.328,0.061,-0.536,0.453,-0.168,0.487,-0.4,-0.215,0.427,-0.384,-0.226,1.004,0.684,0.078,-0.486,0.434,0.014,-0.096,0.824,0.447,0.807,0.404,1.004,0.165,0.894,0.175,0.674,0.604,0.634,0.504,0.294,0.524,0.874,1.034,1.024,1.194,1.384
"4","Tuvalu","April",-0.041,0.172,-0.217,0.283,-0.317,0.134,-0.641,-0.266,0.014,0.165,0.081,-0.415,0.331,-0.412,-0.069,-0.257,-0.187,-0.336,-0.007,0.326,-0.319,0.133,-0.211,0.148,0.213,0.018,0.173,-0.143,-0.27,-0.07,0.312,0.111,-0.282,0.763,0.433,0.188,0.648,0.585,0.425,0.284,1.045,1.185,0.573,0.184,0.735,0.817,0.619,0.156,0.125,1.154,1.375,0.485,1.065,1.185,0.655,0.985,0.375,1.175,1.155
"5","Tuvalu","May",-0.16,0.301,0.124,-0.075,-0.073,0.164,-0.348,-0.46,0.044,0.249,NA,-0.084,0.149,-0.619,-0.101,-0.227,-0.481,-0.103,0.145,0.198,0.034,0.247,-0.169,-0.221,-0.266,0.054,-0.294,0.074,-0.234,0.318,0.572,-0.029,0.013,0.563,0.128,0.378,0.388,0.558,0.408,0.698,0.768,0.988,0.753,1.198,0.818,0.918,0.665,0.486,0.598,1.454,1.398,0.488,1.008,0.648,1.058,0.818,1.078,1.008,0.678
"6","Tuvalu","June",0.112,0.062,-0.276,-0.138,-0.066,-0.101,-0.188,-0.464,0.377,0.157,-0.143,0.251,-0.175,-0.262,-0.293,-0.06,-0.533,-0.127,0.311,0.314,-0.062,0.349,-0.054,-0.238,0.26,0.475,-0.334,-0.024,-0.039,0.143,0.666,0.174,0.425,0.575,0.843,0.669,0.185,0.483,0.359,0.523,0.465,0.565,0.175,0.783,1.293,0.346,0.85,0.371,1.303,1.193,1.363,1.003,1.303,1.223,1.103,NA,1.393,1.213,1.443
"7","Tuvalu","July",0.075,0.337,0.049,-0.228,0.149,0.199,0.05,-0.276,0.251,0.268,-0.577,0.014,-0.067,-0.317,-0.182,0.115,-0.374,0.242,0.152,0.261,-0.404,0.119,-0.258,-0.035,0.179,0.115,-0.496,-0.257,-0.082,0.278,0.714,0.211,-0.104,0.696,0.593,0.683,0.796,-0.074,0.89,0.953,0.796,1.133,0.755,0.696,0.584,1.253,1.063,1.353,1.473,1.623,1.393,0.863,1.153,0.803,0.743,0.423,1.573,1.213,1.673
"8","Tuvalu","August",0.236,-0.068,-0.001,-0.026,-0.359,-0.175,-0.218,-0.089,0.186,0.025,-0.107,0.088,0.337,-0.215,-0.525,-0.177,0.066,-0.331,0.364,-0.014,0.043,-0.191,-0.352,0.026,0.647,0.178,-0.197,-0.02,-0.033,0.077,0.415,0.556,0.212,0.577,0.95,0.721,0.643,0.058,0.902,0.86,0.743,0.743,0.531,1.45,1.143,0.458,0.6,-0.042,0.626,1.51,0.86,0.88,1.12,0.54,1.03,1.03,1.16,0.87,1.32
"9","Tuvalu","September",-0.212,0.25,0.149,-0.2,-0.295,0.151,-0.475,-0.408,0.292,-0.202,-0.646,-0.086,0.317,-0.125,-0.352,0.104,-0.023,-0.204,0.272,0.129,0.007,-0.44,0.098,-0.22,0.424,0.903,-0.311,0.061,-0.426,0.365,0.511,0.527,0.089,0.538,0.51,0.34,NA,0.2,0.233,0.604,1.04,0.94,0.204,0.53,0.891,1.31,0.78,NA,1,0.29,0.98,1.05,0.57,0.8,1.1,1.23,1.28,1.06,0.94
"10","Tuvalu","October",0.001,-0.324,0.388,-0.387,-0.09,-0.012,-0.086,-0.234,0.417,-0.739,-0.431,-0.438,-0.02,-0.588,-0.489,0.384,0.203,0.093,0.033,0.521,0.179,-0.505,0.099,-0.155,0.3,0.587,0.127,-0.518,0.084,0.547,0.335,0.391,0.098,0.584,0.089,0.457,0.474,-0.33,0.977,0.877,0.67,0.777,0.27,1.217,0.722,0.964,0.6,0.185,0.284,0.597,1.007,0.987,0.757,0.797,1.007,1.327,0.967,1.477,1.337
