"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Uganda","January",0.49,-0.859,-0.866,-0.001,-0.367,0.318,0.242,-0.183,-0.528,-0.408,-0.116,0.189,0.3,-0.158,0.276,0.271,0.192,-0.007,0.209,1.015,1.347,0.276,-0.541,-0.652,1.356,0.13,0.354,0.434,-0.448,-0.066,-0.398,0.354,-0.956,0.291,0.756,0.476,-0.1,-0.283,0.191,-0.829,-0.604,0.481,1.084,0.574,1.298,2.016,0.172,1.065,1.345,1.647,1.45,0.309,1.449,1.056,0.624,1.203,1.255,0.792,1.407
"2","Uganda","February",-0.387,0.018,-1.002,-0.172,-0.276,-0.356,0.216,-0.48,-0.434,0.457,0.099,-0.708,0.91,0.362,0.712,-0.234,0.215,0.279,-0.361,1.536,0.702,0.267,1.103,0.297,-0.59,0.507,0.766,0.969,-1.195,-0.15,0.461,0.147,-1.094,0.357,-0.088,0.826,0.837,0.854,0.875,0.028,1.064,1.276,1.894,0.65,3.066,2.037,0.805,0.285,1.145,1.168,1.548,1.041,1.376,0.673,1.636,1.396,1.431,1.619,1.277
"3","Uganda","March",0.327,-0.37,-0.762,0.134,-0.301,-0.565,0.404,-1.037,-0.119,-0.388,0.562,0.02,1.016,-0.031,0.224,0.091,0.384,-0.221,0.014,0.527,-0.005,1.084,1.78,1.054,0.266,-0.301,0.864,0.998,-0.384,-0.462,0.559,1.291,-0.323,-0.078,0.485,-0.488,1.573,0.913,-1.265,0.813,-0.46,0.136,1.018,1.35,1.906,0.428,0.59,0.3,1.551,0.679,1.245,1.361,1.257,1.176,1.671,2.178,1.517,-0.042,1.241
"4","Uganda","April",0.137,-0.069,-0.378,-0.217,-0.439,-0.257,0.279,-0.446,0.819,0.077,-0.364,0.463,0.574,-0.259,0.125,-0.388,-0.292,0.31,0.445,0.897,0.396,0.565,1.032,0.475,-0.821,-0.035,0.796,0.345,-0.127,0.196,0.074,0.433,0.38,0.272,0.835,0.709,-0.451,0.996,0.273,1.106,0.474,0.901,0.997,0.116,2.162,0.405,0.434,0.412,0.774,1.962,1.421,0.763,0.468,1.172,0.073,1.83,2.217,-0.741,2.343
"5","Uganda","May",0.362,-0.288,-0.019,0.109,-0.152,0.461,-0.089,-0.372,0.308,0.02,-0.398,0.285,0.245,-0.39,0.238,-0.225,-0.005,0.396,0.324,0.28,0.433,0.381,1.43,0.872,-0.072,0.536,0.372,0.561,-0.191,0.759,0.213,0.375,0.048,0.337,0.588,0.656,0.053,0.62,0.16,1.128,0.514,0.762,0.671,0.607,0.946,0.411,1.624,1.035,1.281,1.618,1.164,0.569,1.062,1.683,1.222,0.786,1.481,0.652,1.963
"6","Uganda","June",0.137,-0.009,0.012,-0.192,-0.003,0.109,-0.24,-0.276,0.479,0.202,-0.351,0.089,0.32,0.08,-0.266,-0.296,0.123,0.322,0.105,0.622,0.583,0.47,1.27,0.531,0.039,-0.196,0.26,0.553,-0.252,0.527,0.539,0.534,0.427,0.442,0.969,0.146,0.474,0.576,0.613,1.093,0.126,0.719,0.541,0.509,1.137,0.906,0.224,0.65,1.506,1.532,1.062,1.631,1.206,2.082,0.93,1.103,1.956,1.005,1.475
"7","Uganda","July",-0.143,0.039,0.152,-0.497,0.343,0.465,-0.261,-0.116,0.287,0.074,-0.245,0.766,0.24,-0.464,-0.369,-0.071,0.367,0.214,0.416,0.452,0.135,0.552,1.117,0.021,-0.068,0.352,1.172,0.288,0.51,0.677,0.028,0.101,0.171,0.167,0.632,0.192,1.196,0.74,-0.012,0.868,0.173,1.283,0.405,0.642,0.917,1.507,0.09,0.217,1.248,0.601,0.932,1.567,0.978,1.668,1.675,1.383,1.584,1.565,1.722
"8","Uganda","August",-0.097,-0.307,0.125,-0.603,0.22,0.263,-0.297,0.021,0.294,-0.043,-0.3,0.364,0.222,0.071,-0.453,-0.14,0.048,0.321,1.12,0.262,0.543,0.191,0.54,0.389,0.266,0.775,0.532,0.455,0.6,0.638,0.085,0.3,0.668,0.09,0.675,0.467,0.586,0.333,0.254,0.546,0.402,0.879,0.706,1.092,1.002,0.766,0.177,0.755,1.661,1.558,-0.064,1.075,1.188,0.818,1.686,1.141,2.031,1.216,1.944
"9","Uganda","September",-0.17,-0.218,0.334,-0.466,0.251,-0.073,-0.391,0.122,0.395,-0.177,-0.43,0.426,0.219,-0.302,-0.345,0.236,0.571,0.063,0.832,0.871,0.59,0.868,0.334,0.263,0.227,0.625,1.292,0.173,0.631,0.334,0.395,0.191,1.259,0.625,0.302,0.547,1.741,-0.133,0.262,0.903,0.314,0.711,0.829,0.693,1.103,0.922,0.289,0.811,1.403,1.271,0.059,1.422,1.15,0.621,1.677,1.066,2.638,1.763,1.476
"10","Uganda","October",-0.756,-0.347,0.512,-0.74,-0.068,-0.226,-0.388,0.076,0.237,0.025,-0.262,0.164,0.258,-0.061,-0.529,0.626,0.418,0.252,0.89,1.146,0.668,-0.198,-0.18,0.774,0.756,0.7,0.808,0.128,0.344,0.412,-0.682,-0.361,0.89,0.314,0.303,0.211,1.092,0.175,-0.351,0.199,0.59,0.38,0.864,1.298,0.752,0.966,0.429,0.597,0.791,1.025,0.408,0.943,0.8,0.398,1.382,0.731,1.282,0.976,0.501
