"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Ukraine","January",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.693,3.114,5.738,1.849,-2.831,-0.729,3.4,3.828,0.633,4.839,1.967,1.537,2.093,4.994,-3.06,7.307,1.353,1.553,-1.984,1.496,1.459,2.325,1.552,4.05,0.397,0.069,3.22,1.732
"2","Ukraine","February",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.539,1.369,-0.801,6.081,-1.961,2.16,3.573,3.097,3.91,2.319,7.072,-2.889,2.278,-0.368,-2.001,1.677,3.998,3.495,1.545,-1.652,-5.516,4.143,3.363,3.363,6.846,1.917,1.034,4.692
"3","Ukraine","March",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.252,0.324,1.473,3.212,-2.978,1.163,0.946,3.431,2,3.441,4.894,-0.701,3.767,-1.311,0.257,4.802,4.859,2.166,1.393,0.706,1.18,-0.18,5.76,3.966,4.328,5.68,-1.031,4.518
"4","Ukraine","April",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.743,-0.695,2.32,0.535,-0.005,-2.526,2.242,2.439,4.237,2.055,0.527,-1.433,0.651,1.035,0.587,-0.141,2.109,0.779,1.203,0.427,3.504,1.943,1.483,0.31,3.441,0.481,4.167,1.429
"5","Ukraine","May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.237,1.06,-0.571,-0.133,3.289,1.023,0.213,-1.947,0.18,-0.653,1.385,3.895,-1.102,1.653,-0.502,2.941,-0.47,-0.003,2.018,1.139,3.501,3.89,2.222,0.948,0.719,0.013,3.395,1.882
"6","Ukraine","June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.021,-1.399,-1.575,1.782,0.251,0.318,1.719,3.009,-0.395,-1.32,0.509,-0.189,-1.115,-0.836,0.34,2.042,0.379,1.77,2.486,1.547,2.29,2.387,-0.177,1.299,1.79,1.085,1.935,4.269
"7","Ukraine","July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.275,-1.506,1.06,0.917,0.329,-0.367,0.789,2.997,0.2,3.933,3.719,0.633,-0.033,0.591,0.255,2.263,0.911,1.957,3.547,2.209,3.571,0.711,1.923,1.467,2.005,0.741,1.916,0.34
"8","Ukraine","August",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98,-0.754,0.557,0.197,0.139,-0.392,-0.019,0.413,1.287,1.951,1.032,0.803,0.708,1.23,1.666,3.213,2.254,-0.033,4.506,0.791,2.001,1.502,2.154,2.496,2.423,3.206,2.981,1.712
"9","Ukraine","September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.755,-1.796,4.183,0.201,-2.443,-2.321,0.44,1.186,-1.024,0.551,0.787,0.007,0.289,2.121,1.29,0.969,-0.425,2.047,0.881,1.649,2.207,-1.355,1.244,4.159,1.357,2.462,2.796,1.61
"10","Ukraine","October",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.739,0.415,0.819,0.559,0.39,-1.31,0.59,0.662,1.205,1.306,-0.209,-0.216,1.154,0.803,1.694,1.626,2.398,1.588,-1.861,-0.359,2.935,0.714,-0.428,-0.781,-1.197,0.869,2.96,2.864
"11","Ukraine","November",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.033,-7.389,-1.179,-2.418,3.825,0.717,-4.121,-2.369,2.478,0.022,1.619,1.431,0.911,0.337,1.253,-1.593,1.527,2.481,5.659,-1.331,2.325,3.65,-0.328,2.514,-0.638,1.078,-1.112,2.943
"12","Ukraine","December",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.596,1.782,-1.463,-3.033,-1.804,-0.979,-2.864,2.279,3.008,-4.89,-6.143,1.46,2.079,1.609,3.497,0.62,1.354,0.08,-0.005,3.77,-1.906,1.273,0.618,3.599,-0.627,4.659,0.422,4.436
