"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","United Arab Emirates","January",0.63,0.438,1.064,-3.207,-0.525,1.991,0.64,-1,1.287,0.512,0.176,-0.616,-1.851,-0.153,-0.322,-0.304,-1.81,0.307,0.272,-0.383,1.039,-0.642,-1.617,-0.907,0.755,-0.956,-0.576,-0.973,-2.344,-0.995,0.543,-2.057,-1.045,0.534,0.124,-0.257,-0.818,-0.838,0.965,0.824,-1.095,0.572,-0.208,1.68,-0.703,-0.119,-1.513,-1.553,-1.444,0.564,0.86,-0.087,0.624,-0.489,0.385,0.42,1.37,0.013,1.771
"2","United Arab Emirates","February",0.165,1.619,2.553,-0.782,1.052,0.478,-0.395,-2.004,-0.652,1.394,-0.261,-2.597,1.304,-1.055,-0.826,-1.199,-0.284,-0.464,0.815,0.464,0.031,-1.824,-1.831,-0.549,-0.812,-0.803,0.287,-0.306,-1.886,-0.221,-0.264,-2.111,-0.336,-1.027,-0.005,0.219,-0.455,0.145,2.126,-0.51,-0.647,0.005,1.747,0.755,-0.212,1.534,0.264,-1.589,1.733,1.823,0.393,-0.253,0.72,-0.627,2.033,0.429,-0.837,1.407,0.077
"3","United Arab Emirates","March",-0.367,1.47,-0.282,0.679,-0.297,-0.475,-0.406,-0.593,3.081,0.032,-0.672,-1.658,0.681,0.635,-1.27,-2.685,2.613,-0.921,-0.76,0.431,0.112,-1.923,-3.431,0.42,-0.355,-1.094,-0.212,-0.412,-1.174,-1.076,-1.09,-3.449,-0.69,-0.4,-1.936,-0.39,-2.103,0.171,-0.676,-1.045,0.125,0.962,0.797,1.451,0.503,-0.166,-0.126,0.704,1.035,1.475,-0.426,-0.273,-0.162,0.149,0.54,0.818,0.742,1.605,-1.244
"4","United Arab Emirates","April",-1.983,0.425,0.517,0.133,-1.691,-1.392,-0.993,-0.741,0.233,0.851,0.019,-0.921,1.337,0.147,-0.22,-1.086,0.253,1.079,0.671,1.966,1.173,-0.675,-2.042,1.465,-0.58,0.299,-0.443,0.115,-1.473,0.539,0.572,-1.947,-0.999,0.042,-0.967,-0.146,-2.11,0.805,1.364,2.295,0.368,0.645,0.889,0.713,0.841,0.532,2.202,0.9,0.142,1.696,1.282,0.662,0.703,2.043,1.603,-0.155,2.582,1.943,0.573
"5","United Arab Emirates","May",-0.182,-0.121,-2.252,0.659,0.949,0.813,-0.51,-0.775,0.044,0.342,1.038,-0.964,1.435,-1.716,0.77,0.129,1.12,0.301,0.518,0.709,0.429,1.322,2.133,0.372,0.819,2.539,1.889,0.987,0.384,1.829,-1.131,1.444,0.434,1.382,0.481,1.704,0.122,2.075,1.437,1.567,2.513,2.81,1.602,1.398,1.283,2.139,2.575,3.024,2.917,1.926,2.725,3.417,0.609,2.138,2.915,2.165,2.834,2.178,1.553
"6","United Arab Emirates","June",-0.307,-0.286,-0.166,0.352,0.462,0.053,-1.22,-0.888,0.229,-0.691,-0.204,1.41,-0.115,0.449,0.481,-0.538,1.395,0.453,2.102,0.462,0.217,0.697,1.226,-0.682,0.138,0.566,0.645,1.01,0.254,0.921,0.174,0.867,0.328,1.152,0.432,1.334,1.035,2.524,2.475,0.45,1.089,1.387,1.748,1.105,1.351,1.876,1.703,1.123,2.034,2.076,2.23,1.921,0.388,1.445,2.03,1.684,2.612,2.54,3.313
"7","United Arab Emirates","July",-0.119,0.781,0.336,0.335,0.139,-0.614,-0.491,-0.711,-0.239,0.592,-0.356,0.397,-0.296,-0.063,-0.294,-0.137,0.095,0.877,0.143,0.725,0.639,-0.305,-0.005,0.101,0.125,0.238,0.719,0.494,0.799,1.186,-0.817,-0.696,0.614,-0.43,-0.995,1.815,0.09,1.873,0.81,1.355,1.102,0.871,0.339,0.774,0.429,0.774,0.647,1.463,0.801,1.802,1.27,2.147,1.468,1.198,1.824,1.696,2.452,2.109,1.078
"8","United Arab Emirates","August",0.153,0.846,0.431,0.215,0.626,-0.167,-0.81,-1.186,0.187,-0.125,-0.89,-0.073,-0.011,0.383,0.028,-0.226,0.195,-0.015,0.502,-0.229,0.786,-0.42,0.763,-1.112,1.028,0.871,1.03,0.522,0.464,0.572,0.009,0.294,0.782,0.509,0.737,0.902,-0.217,1.781,2.105,1.333,0.787,0.63,1.352,0.558,1.153,1.41,1.654,1.116,1.124,1.634,1.748,1.89,0.815,1.283,1.915,2.033,1.862,1.521,1.669
"9","United Arab Emirates","September",0.061,0.167,-0.069,-0.109,1.172,0.333,-0.384,-0.864,-0.337,-0.516,-0.465,-0.306,0.56,0.155,0.367,-0.075,0.206,-0.699,0.259,-0.109,0.175,0.292,-0.07,-0.362,-0.145,0.372,0.563,0.66,0.14,0.607,-0.098,-0.576,0.303,0.411,-0.011,0.452,0.58,1.39,0.948,0.288,0.91,0.537,0.856,0.187,0.521,0.749,1.005,0.739,0.963,1.403,1.62,1.834,0.884,1.256,1.365,1.238,1.762,2.127,2.102
"10","United Arab Emirates","October",-0.421,-0.251,0.907,-1.16,1.223,0.897,0.959,-0.11,0.516,0.122,-1.321,-0.021,0.148,-0.834,-1.585,0.287,0.753,-0.975,0.902,-0.02,-0.31,0.498,-0.793,-1.435,-0.033,0.393,0.032,0.649,-0.063,0.471,-0.752,-0.593,0.107,-0.051,0.095,-0.673,0.689,1.049,0.62,0.648,0.483,0.957,0.935,0.568,0.59,1.294,0.206,0.881,0.51,1.457,0.922,1.051,0.28,1.521,1.806,0.385,1.567,1.213,2.032
