"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","United Kingdom","January",-0.053,0.705,-4.397,0.561,-0.421,-0.573,0.907,0.626,1.45,0.13,1.054,0.231,1.114,2.35,2.37,1.642,-0.79,-0.454,-3.143,-0.989,0.935,-0.523,2.374,-0.533,-2.346,-0.248,-2.039,1.226,2.939,2.498,-0.169,0.643,1.813,1.141,0.73,1.253,-0.493,1.442,1.616,1.459,-0.082,2.303,0.767,1.436,2.378,1.006,2.932,2.23,0.093,-1.698,0.254,1.845,0.692,2.065,0.982,1.774,1.242,1.315,0.922
"2","United Kingdom","February",2.883,0.82,-3.601,0.855,-0.221,1.147,1.621,-1.682,-2.637,-0.97,1.259,0.672,0.446,1.614,1.059,1.021,0.72,-1.351,-2.014,1.649,-0.286,1.328,-1.357,0.474,-0.7,-3.689,0.061,0.965,1.883,2.74,-1.309,1.927,1.761,-0.391,1.944,-0.697,2.373,3.769,1.2,2.16,0.479,2.424,0.587,1.289,0.694,0.639,2.176,2.035,0.782,-0.954,2.337,1.477,-0.001,2.275,0.799,0.987,2.377,-0.411,3.211
"3","United Kingdom","March",2.575,-2.649,0.363,-0.873,-0.401,0.95,1.057,0.579,-1.873,-1.593,-0.23,0.698,0.769,0.125,-0.764,-0.559,1.175,0.725,-1.293,-0.885,1.532,0.322,0.82,-0.728,-0.845,-0.326,-1.331,0.41,1.274,2.464,1.926,1.365,0.897,1.123,-0.437,-0.854,2.416,1.938,1.443,1.755,-0.425,1.75,2.016,1.075,1.628,-0.747,1.587,0.421,1.406,0.486,1.131,3.032,-2.186,1.995,0.809,0.737,2.575,-0.733,2.088
"4","United Kingdom","April",1.517,-0.345,0.298,0.693,0.06,-0.854,0.003,0.022,-0.455,-1.239,-0.052,0.445,-0.925,0.386,0.145,0.205,-0.851,-1.312,-0.518,0.79,-0.052,0.695,-1.344,0.443,0.27,-1.993,1.718,0.246,-1.219,0.171,0.157,0.5,1.261,-0.028,0.658,0.644,1.082,-0.246,1.348,-0.13,-0.153,1.302,1.96,1.61,1.017,0.442,3.291,0.171,1.985,1.058,3.684,-0.422,-0.482,2.32,0.957,-0.262,1.191,1.507,1.641
"5","United Kingdom","May",-0.101,-0.91,-0.697,1.512,0.134,-0.121,-0.929,-1.466,-0.24,1.201,0.537,-0.36,-0.023,-0.028,-1.181,0.46,-0.503,0.652,-1.508,0.18,0.373,0.285,-0.909,-0.862,-0.193,-0.095,-0.792,0.644,1.386,1.336,0.085,2.009,0.103,-0.499,0.222,-1.761,0.3,1.56,1.493,0.92,1.443,0.92,0.885,1.114,0.075,0.721,0.769,2.278,1.002,-0.124,1.163,0.517,-0.365,1.311,-0.209,1.306,2.208,2.024,0.219
"6","United Kingdom","June",0.073,-0.514,0.444,-0.311,0.113,1.049,0.001,0.461,0.006,1.799,-1.467,-2.012,0.582,-0.369,0.322,2.094,-1.402,-0.47,-0.143,-0.209,-0.708,0.725,-0.061,0.295,-1.283,0.468,-1.362,0.638,0.218,-0.302,-1.679,1.481,0.466,-0.035,0.207,0.188,-0.133,-0.136,-0.324,0.28,-0.117,0.392,1.718,1.151,1.291,1.593,0.866,0.246,0.984,1.403,-0.085,-0.413,0.199,1.471,-0.015,1.043,1.762,1.874,0.57
"7","United Kingdom","July",-0.638,-1.001,-0.613,0.048,-1.711,-0.604,0.497,-0.718,0.852,-0.721,0.76,-0.071,0.07,-0.694,1.15,2.061,0.379,-0.922,0.073,-0.841,-0.168,0.948,2.688,0.974,0.252,-0.06,0.324,-0.646,2.09,0.966,1.563,0.478,-0.561,1.548,2.222,0.373,1.043,-0.19,1.578,-0.091,0.858,0.142,1.957,0.2,1.004,3.365,0.017,1.004,0.951,1.266,-0.079,-0.149,2.569,2.157,0.173,1.083,1.016,2.78,2.027
"8","United Kingdom","August",-0.182,-1.091,-1.142,-0.361,-0.688,-0.813,0.005,-0.039,0.834,0.427,0.053,-0.604,0.667,-0.287,2.354,1.567,-0.225,-0.424,-0.813,0.246,0.658,0.187,1.735,1.607,-0.853,-1.836,0.059,-0.219,0.635,1.749,1.471,-0.308,-0.91,0.135,2.956,0.921,2.821,0.284,0.586,0.984,0.943,1.378,2.227,1.784,0.648,0.82,0.204,0.944,1.179,0.091,-0.089,1.181,1.417,-0.034,0.578,1.371,0.573,1.163,1.594
"9","United Kingdom","September",1.163,-0.868,-0.492,0.267,-0.994,0.563,0.2,0.301,0.328,0.587,0.865,-1.484,0.449,-1.488,-0.458,-0.165,-0.624,0.333,-0.37,0.98,0.877,0.319,-0.121,-0.249,0.48,-1.772,-0.041,-0.115,0.517,-0.536,0.75,-0.431,-0.97,-0.756,0.152,0.349,0.49,1.123,1.89,1.173,0.053,0.951,0.847,1.127,1.437,2.835,0.317,0.24,0.937,0.528,1.454,-0.211,0.6,1.656,-0.218,2.234,0.368,0.21,0.917
"10","United Kingdom","October",0.188,0.186,0.229,-1.384,0.374,-0.642,-0.339,1.462,2.124,0.01,0.823,0.138,-1.191,-2.459,-0.134,-0.131,1.191,1.198,0.651,-1.625,-2.652,-0.223,-0.278,0.229,0.426,0.196,-1.1,-0.14,0.947,0.929,-0.447,-2.682,-2.139,-0.494,2.056,0.853,-0.102,-0.501,0.359,-0.111,2.602,-0.774,-1.3,-0.209,1.953,2.099,0.744,-0.773,0.927,0.019,1.593,-1.168,1.665,1.55,0.635,0.472,1.719,0.249,-0.189
