"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","United Republic of Tanzania","January",0.832,-0.768,-0.626,-0.033,-0.359,0.345,0.313,-0.135,0.141,-0.126,-0.241,-0.203,0.37,-0.225,-0.001,-0.156,0.297,0.051,-0.373,0.758,0.979,0.436,0.214,-0.387,0.366,-0.168,0.203,0.817,-0.668,-0.02,0.228,0.579,-0.664,0.762,0.49,0.274,0.689,0.591,0.59,0.234,-0.212,0.233,0.947,1.231,1.284,1.653,0.761,0.694,1.326,1.018,0.717,0.588,1.405,1.088,0.949,1.276,2.063,0.725,1.799
"2","United Republic of Tanzania","February",-0.319,-0.278,-0.33,0.122,-0.145,0.287,0.311,-0.424,-0.177,0.398,-0.318,-0.476,0.804,0.239,0.462,-0.194,0.064,0.283,-0.203,0.667,0.751,1.17,1.16,0.294,-0.599,0.315,0.467,0.816,-0.211,0.344,0.616,0.494,-0.416,0.169,0.292,0.27,0.587,0.957,0.795,0.376,0.556,0.829,1.241,0.546,2.206,1.614,0.846,0.334,0.61,1.272,0.987,1.195,1.155,0.52,1.664,1.194,1.436,1.86,1.598
"3","United Republic of Tanzania","March",0.244,-0.292,-0.318,0.025,-0.224,-0.293,0.457,-0.842,0.445,0.08,0.034,-0.198,0.802,-0.099,-0.138,-0.109,0.159,-0.051,0.017,0.183,0.445,0.789,1.192,0.167,0.165,0.216,0.755,0.603,-0.15,-0.286,0.64,0.897,-0.589,0.024,0.351,0.339,1.067,1.151,-1.029,0.412,0.633,0.35,1.37,0.977,1.361,0.451,0.822,0.417,1.022,1.267,0.646,0.982,1.113,0.726,1.064,2.269,1.246,0.871,1.8
"4","United Republic of Tanzania","April",0.427,0.069,-0.427,-0.296,-0.299,-0.184,0.109,-0.661,1.001,-0.123,0.016,0.139,0.561,-0.242,0.054,-0.093,0.011,0.123,-0.153,0.619,0.158,0.159,0.82,0.344,-0.121,0.251,0.686,0.58,-0.438,0.274,0.235,0.496,0.62,0.167,0.324,-0.018,0.362,0.525,-1.169,0.579,0.298,0.343,0.874,0.487,0.7,0.479,0.788,-0.08,0.45,1.176,1.009,0.666,0.873,0.757,0.561,1.268,1.22,1.508,2.166
"5","United Republic of Tanzania","May",1.025,-0.641,-0.319,-0.624,-0.364,0.157,-0.014,-0.572,0.601,0.037,-0.241,0.424,0.35,-0.2,0.23,-0.052,0.276,-0.321,-0.349,0.231,-0.028,-0.016,1.031,0.155,0.189,0.404,0.56,0.457,-0.427,0.566,0.495,0.447,1.134,0.131,0.255,0.383,0.155,0.461,-0.6,0.984,0.896,0.55,0.977,0.377,1.207,0.867,1.201,0.354,0.884,1.483,1.198,0.702,0.816,0.825,1.073,1.966,1.94,0.534,1.538
"6","United Republic of Tanzania","June",0.872,0.043,-0.384,-0.296,-0.509,0.156,0.021,-0.465,0.39,0.29,-0.711,-0.004,0.118,-0.008,-0.025,0.076,0.157,0.211,-0.468,-0.017,0.033,0.572,1.088,0.133,-0.051,-0.316,-0.047,0.71,-0.123,0.253,0.229,0.516,0.503,0.399,0.336,0.466,0.891,1.045,0.311,0.78,0.276,0.475,0.85,0.374,0.743,0.614,0.632,0.045,1.414,1.467,1.14,1.237,0.714,1.494,1.473,1.047,1.931,1.064,1.612
"7","United Republic of Tanzania","July",0.762,-0.07,0.073,-1.151,-0.302,0.241,0.088,-0.548,0.531,0.432,0.013,0.332,-0.107,-0.273,0.313,-0.119,0.413,-0.205,-0.245,0.5,0.033,0.508,1.08,0.082,0.153,-0.304,0.595,0.744,0.097,-0.056,0.105,-0.068,-0.138,0.461,0.468,0.043,0.583,0.313,-0.437,0.675,0.349,1.127,0.549,0.589,0.649,0.818,0.993,0.369,0.862,1.199,1.212,1.457,1.013,1.495,1.756,1.171,1.838,1.249,1.643
"8","United Republic of Tanzania","August",0.076,0.071,-0.357,-0.57,-0.29,0.223,-0.105,-0.593,0.233,0.298,-0.56,0.186,0.097,-0.094,-0.521,-0.182,0.468,0.276,0.33,0.35,0.217,0.109,0.382,-0.388,0.093,0.004,0.923,0.746,-0.333,-0.059,-0.19,-0.094,-0.126,0.421,0.512,-0.133,0.655,0.621,-0.292,0.593,0.484,0.664,0.433,0.754,0.755,1.038,0.848,0.871,0.968,0.928,0.889,1.248,1.117,1.612,1.567,1.11,1.966,1.66,2.177
"9","United Republic of Tanzania","September",0.175,-0.181,-0.269,-0.795,0.041,0.427,-0.341,-0.359,0.312,-0.006,-0.373,0.334,0.326,-0.561,-0.459,0.057,0.614,0.325,0.115,0.413,0.581,0.456,0.262,-0.032,0.286,0.158,0.937,0.499,0.203,0.013,0.217,0.031,-0.56,0.344,0.248,0.285,0.975,0.256,-0.386,0.929,0.127,0.689,0.845,0.755,1.071,0.586,0.946,1.417,1.232,1.037,1.143,1.271,1.396,0.904,1.916,0.856,1.946,1.784,1.752
"10","United Republic of Tanzania","October",0.008,-0.317,0.308,-0.826,-0.117,-0.201,-0.129,-0.007,0.46,0.026,-0.426,0.333,0.266,-0.323,-0.868,0.204,0.631,0.376,0.114,0.516,0.552,0.144,-0.201,0.166,0.051,0.64,0.616,0.468,-0.034,0.173,0.02,-0.094,-0.15,0.856,0.25,-0.224,0.626,0.107,-0.781,0.45,0.361,0.585,0.74,1.283,0.708,0.426,0.523,0.992,0.994,1.468,0.602,1.026,0.899,1.184,1.756,0.889,1.656,1.367,1.076
