"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","United States of America","January",0.943,-0.771,-1.17,0.901,0.747,-1.654,1.635,-0.081,-0.487,-1.646,-1.209,-0.216,-0.504,0.538,0.798,0.146,-1.311,-0.435,-2.283,0.542,2.946,-1.677,1.42,-0.066,0.274,2.62,1.545,-0.157,0.805,2.814,0.228,2.205,0.615,0.355,1.817,-0.293,0.038,2.286,1.365,1.524,2.046,2.79,2.166,0.104,2.161,3.539,1.164,0.206,0.418,0.512,0.616,1.548,2.06,1.913,2.033,2.675,2.128,1.6,1.866
"2","United States of America","February",1.215,1.425,0.577,-1.032,-1.287,-0.969,-0.367,-0.567,-0.438,1.474,-0.509,-0.613,0.08,-0.656,-0.627,1.741,2.045,-1.935,-3.498,0.438,1.794,-0.273,1.738,0.64,-1.571,1.547,1.962,0.422,-0.801,-0.089,2.693,2.237,-0.441,-0.786,1.922,0.86,2.04,2.763,1.779,3.732,1.181,1.593,0.66,0.485,2.17,1.246,-0.414,0.161,1.349,-0.215,-0.048,2.438,0.662,-0.347,0.389,3.788,3.528,1.765,0.375
"3","United States of America","March",0.656,-1.082,1.4,-1.379,-1.034,0.214,1.739,1.691,-1.689,-0.264,-1.255,0.395,1.516,1.451,-0.774,0.692,0.733,0.607,1.057,0.044,2.061,0.881,1.127,0.488,1.464,2.16,1.133,1.068,0.943,2.284,1.302,1.92,1.037,1.486,0.825,-0.035,1.523,1.267,0.736,3.023,0.491,0.063,1.203,2.903,1.441,0.611,2.007,0.678,0.678,1.211,1.251,3.688,0.162,0.22,2.532,3.778,1.844,1.632,1.404
"4","United States of America","April",-1.21,0.409,0.399,-0.197,0.612,-0.595,0.4,-0.217,1.149,-0.656,-0.706,-0.788,-0.767,0.346,-2.023,0.408,0.963,0.653,0.004,0.585,2.029,-1.285,-1.265,-0.796,0.48,0.331,1.07,0.585,1.39,1.387,1.14,0.673,0.256,0.999,0.016,-0.034,-0.836,0.865,0.366,0.851,1.21,1.066,0.877,1.305,0.744,1.696,0.459,-0.132,0.119,1.414,0.546,2.043,-1.015,0.76,1.535,1.998,1.978,-0.414,1.411
"5","United States of America","May",-0.348,0.671,0.503,0.023,-0.127,-0.389,-1.053,-0.817,0.764,0.461,-1.164,0.051,-0.427,0.201,0.092,-0.625,0.597,0.048,-0.086,0.302,0.073,0.1,-0.797,-0.118,0.687,0.369,1.293,0.709,0.179,-0.047,1.183,0.093,0.749,0.44,-0.101,0.684,0.057,1.23,-0.062,1.11,0.721,-0.024,0.503,1.328,0.308,1.152,1.088,-0.181,0.943,0.323,-0.124,1.414,0.141,0.919,1.044,0.787,0.521,2.538,0.307
"6","United States of America","June",0.339,-0.306,-0.165,-0.158,-0.98,-0.122,-0.2,-0.018,-0.44,0.037,0.456,-0.27,0.165,-0.118,-0.563,-0.331,0.878,0.076,-0.236,0.145,0.698,-0.875,-0.409,0.304,-0.345,0.92,0.829,1.157,0.002,1.02,0.551,-0.26,-0.24,1.166,-0.236,0.724,0.3,0.056,0.125,0.493,0.559,1.166,0.077,0.455,0.71,1.051,0.859,0.555,0.149,1.001,0.709,1.057,1.369,0.444,1.632,1.773,1.1,1.48,0.677
"7","United States of America","July",-0.313,-0.515,-0.089,0.363,-0.622,0.562,-0.51,-0.062,0.08,0.02,-0.571,-0.376,-0.276,0.156,0.007,-0.331,0.532,0.188,-0.032,0.977,0.088,-0.124,0.322,-0.183,0.262,0.094,0.04,0.735,0.513,0.167,0.136,-0.819,-0.149,0.209,0.157,0.139,0.144,1.072,0.391,0.03,0.312,1.078,0.916,0.18,0.933,1.296,0.764,0.092,-0.056,0.501,1.089,1.335,0.536,-0.118,0.371,1.078,1.259,1.159,1.045
"8","United States of America","August",0.19,0.203,-0.072,-0.645,-0.576,-0.618,-0.246,-0.374,0.094,0.454,-0.113,0.071,0.084,-0.492,-0.227,-0.415,0.414,0.179,-0.097,0.257,0.008,0.023,1.202,0.423,-0.424,-0.261,0.158,0.77,0.055,0.432,0.384,-0.907,0.09,0.313,1.054,0.034,0.209,0.763,0.543,0.692,1.11,0.394,1.267,-0.215,0.869,0.51,1.541,0.016,-0.041,1.127,1.292,0.87,0.631,0.37,0.445,1.093,0.1,0.738,1.018
"9","United States of America","September",-0.467,-0.511,0.814,-0.411,-1.037,-0.005,-0.287,-0.538,0.479,-0.43,-0.216,-0.31,-0.092,-0.731,-0.954,-0.154,0.708,0.693,0.807,0.486,-0.087,-0.191,0.065,-0.515,-0.885,-0.294,0.103,-0.106,0.059,1.096,0.329,-0.835,-0.635,0.286,0.532,-0.8,1.164,1.959,-0.008,0.195,0.582,1.18,0.021,0.185,1.425,-0.243,1.068,0.311,0.838,1.055,0.83,0.695,0.882,0.827,1.561,1.295,0.918,1.638,2.021
"10","United States of America","October",-0.405,1.076,2.218,0.018,-0.226,-0.76,-0.174,0.107,-0.709,-1.316,0.371,-0.602,0.781,-0.441,0.099,-1.853,0.065,0.023,1.038,-0.368,-0.643,-0.867,0.13,-0.097,-0.265,0.068,-0.057,-0.518,0.181,-0.121,0.409,-0.278,-0.07,-0.17,0.366,-0.957,-0.517,0.682,0.061,0.366,-0.245,-0.342,1.643,0.93,0.75,-0.052,1.196,-0.599,-1.04,1.085,0.716,-0.022,0.565,1.297,1.95,2.036,1.23,0.67,-0.269
