"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","United States Virgin Islands","January",0.562,0.167,0.174,0.295,-0.898,0.536,-0.094,-0.425,-0.161,0.723,-0.022,-0.29,0.482,-0.349,-0.49,-0.957,0.473,0.029,-0.23,0.358,0.912,0.319,0.595,0.519,-0.503,0.161,0.253,0.443,0.001,0.548,0.577,-0.027,0.147,0.66,0.503,0.564,0.095,1.359,0.758,-0.283,0.592,1.186,0.975,0.082,0.057,0.37,0.815,0.206,0.811,0.964,0.622,-0.41,0.741,1.059,1.002,1.044,0.435,0.892,0.653
"2","United States Virgin Islands","February",0.346,-0.403,0.542,0.598,-0.37,0.126,-0.04,-0.445,-0.382,0.374,-0.232,-0.212,0.1,-0.141,-0.448,-0.817,0.639,0.223,-0.001,0.435,0.589,0.008,0.407,0.212,-0.018,-0.46,0.094,0.292,-0.386,-0.133,0.531,0.269,-0.009,0.484,0.739,0.335,0.082,1.127,-0.759,-0.293,0.255,0.406,0.98,0.527,-0.382,0.289,1.136,0.149,0.337,1.508,0.647,0.517,0.441,0.917,1.103,1.158,0.738,0.069,0.87
"3","United States Virgin Islands","March",0.255,-0.04,0.223,0.457,0.237,0.153,-0.944,-0.702,0.591,0.197,-0.021,-0.298,0.193,-0.368,-0.394,-1.109,0.131,0.34,-0.507,0.31,0.708,-0.277,1.354,0.163,-0.414,-0.082,-0.196,-0.011,-0.497,-0.366,0.317,0.162,0.182,0.455,-0.45,0.376,-0.188,0.916,0.248,-0.907,0.484,0.701,1.277,0.108,0.848,0.309,1.091,-0.236,-0.38,1.97,-0.043,0.205,0.446,0.641,0.493,1.053,0.657,0.374,0.801
"4","United States Virgin Islands","April",0.527,-0.07,0.134,-0.051,-0.444,0.078,-0.851,-1.118,1.187,0.422,-0.308,-0.024,0.026,-0.673,-0.429,-0.81,-0.407,0.216,-0.198,0.464,0.249,0.143,0.379,0.684,-0.479,0.147,1.033,0.402,-0.232,-0.06,0.201,0.43,0.458,0.407,0.454,0.056,0.005,0.605,0.374,0.25,0.205,0.153,0.641,0.532,1.526,0.748,0.696,-0.154,0.226,1.249,0.251,0.396,0.6,0.812,0.971,1.098,0.346,0.657,0.9
"5","United States Virgin Islands","May",0.301,0.011,-0.388,0.43,-0.39,-0.347,-0.409,0.124,0.823,-0.266,-0.642,-0.406,0.441,-0.696,-0.53,-0.627,-0.243,0.126,-0.6,0.946,0.472,-0.568,0.296,-0.19,-0.128,-0.421,0.239,0.747,-0.26,0.285,0.268,-0.239,0.138,0.967,0.852,-0.106,0.377,0.99,0.984,-0.044,0.04,0.701,0.603,-0.043,0.817,0.824,1.353,0.347,0.088,1.217,0.027,0.186,0.45,0.119,0.988,0.994,0.594,0.377,0.631
"6","United States Virgin Islands","June",0.028,-0.145,0.096,0.21,-0.505,-0.301,-0.2,-0.31,0.904,-0.22,-0.426,0.107,-0.083,-0.318,-0.2,-0.723,0.061,-0.067,-0.109,1.004,0.13,-0.195,0.549,-0.193,0.217,-0.047,0.238,0.672,-0.122,0.388,0.395,0.173,0.226,0.48,0.532,0.021,0.906,1.082,0.416,0.069,0.585,0.615,0.429,0.583,0.876,0.686,0.526,0.667,0.524,0.791,0.715,1.066,0.353,0.875,1.02,1.111,0.632,0.65,0.832
"7","United States Virgin Islands","July",-0.212,0.33,0.099,0.012,-0.25,0.109,-0.348,-0.293,0.272,-0.163,-0.396,-0.04,0.117,-0.108,-0.131,-0.159,0.091,-0.208,-0.005,0.612,0.311,-0.044,0.459,-0.195,0.415,0.102,0.335,0.353,0.463,0.208,0.309,0.123,0.18,0.133,0.676,-0.11,0.638,0.656,0.018,0.435,0.614,0.617,0.464,0.144,0.627,0.365,0.896,0.568,1.177,0.885,0.066,0.632,0.404,0.907,1.061,0.951,0.914,0.788,1.006
"8","United States Virgin Islands","August",0.014,0.012,0.294,0.034,-0.331,0.025,-0.247,-0.047,-0.062,-0.07,-0.507,-0.316,-0.205,-0.293,-0.245,-0.246,-0.387,-0.33,0.084,0.563,0.186,-0.13,0.197,-0.047,0.079,-0.01,0.66,-0.045,-0.05,0.489,0.392,-0.086,0.465,0.091,0.499,0.135,0.604,0.926,0.403,0.362,0.575,0.685,0.373,0.76,0.503,0.067,0.646,0.62,1.009,1.022,0.303,0.545,0.692,0.52,0.951,0.966,0.946,0.703,0.761
"9","United States Virgin Islands","September",0.017,0.237,0.367,0.227,0.063,-0.112,-0.122,0.197,0.161,-0.279,-0.165,-0.302,-0.17,-0.51,-0.536,-0.208,-0.424,0.108,-0.542,0.565,0.187,-0.124,0.665,-0.368,-0.172,0.09,0.674,0.122,-0.254,0.575,0.2,-0.002,0.516,-0.007,0.257,0.095,0.733,0.893,0.57,0.253,0.628,0.759,0.862,0.305,1.066,0.843,0.58,-0.052,0.546,0.517,0.312,0.823,0.745,0.418,1.03,0.705,0.963,0.783,0.911
"10","United States Virgin Islands","October",-0.143,0.132,0.6,-0.207,0.105,-0.052,-0.078,0.162,0.344,-0.351,-0.51,-0.166,-0.224,-0.472,-0.55,-0.139,-0.231,-0.213,0.154,0.806,-0.017,-0.116,0.087,-0.377,-0.77,0.049,0.77,0.25,-0.209,0.315,0.001,0.19,0.475,0.276,0.169,0.329,0.443,0.737,0.324,0.298,0.719,0.624,0.568,0.385,0.281,0.866,0.211,0.078,1.002,-0.028,0.693,0.945,1.028,0.817,1.202,0.643,0.502,0.4,1.08
