"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Uruguay","January",0.01,-1.044,-0.207,-0.107,0.869,-0.638,-0.63,0.254,-0.714,-0.403,-0.536,0.148,-0.367,0.049,-0.656,0.057,0.746,-0.311,0.337,0.463,-0.395,-0.46,1.611,1.062,0.218,1.412,0.654,0.189,1.996,1.799,-0.872,-0.369,0.921,-0.8,0.194,0.003,2.081,-1.335,-1.133,1.152,0.617,-0.096,0.687,0.515,1.396,0.604,0.653,0.363,0.52,0.735,1.545,1.04,-0.383,1.514,0.141,1.143,0.643,1.167,0.41
"2","Uruguay","February",0.046,-0.942,0.717,-0.515,2.168,-1.707,-0.057,0.702,0.194,1.787,-1.266,-0.085,-0.229,-0.998,-0.09,-0.035,0.263,-0.823,1.385,0.327,0.856,-0.636,-0.085,1.342,0.956,0.471,1.428,-0.632,2.359,0.296,-0.165,0.787,-0.595,-0.47,-0.783,0.212,-0.142,-0.843,-0.165,0.686,1.821,-0.54,0.389,-0.454,0.417,0.563,0.94,0.905,0.644,0.939,0.498,1.439,-0.194,0.463,0.639,2.074,1.683,0.856,0.213
"3","Uruguay","March",-0.293,1.233,0.262,-0.974,-1.855,-0.778,-1.194,0.108,0.05,1.009,-0.451,-0.795,0.739,-0.037,-0.215,-1.953,0.233,0.357,-0.692,2.729,-0.744,1.235,-0.744,0.435,0.188,-0.716,1.385,2.355,0.631,-0.252,1.234,1.131,1.174,0.148,0.036,1.105,0.49,-1.021,1.947,-0.388,2.297,1.882,0.54,1.142,0.17,0.341,0.804,0.635,1.218,1.119,0.357,0.284,-1.796,-1.027,1.17,-0.55,0.449,0.343,-0.246
"4","Uruguay","April",-0.962,-0.66,1.532,-0.229,-0.06,0.688,0.254,-2.355,1.01,2.537,-1.574,0.188,1.15,1.103,0.619,-0.591,0.482,-0.832,-0.301,3.311,0.615,2.19,0.283,-0.002,0.016,1.834,1.174,-1.255,1.473,1.125,0.799,0.435,1.853,0.33,0.744,1.451,1.398,0.821,-0.961,1.675,0.827,0.051,-0.233,2.724,-0.409,1.151,2.087,0.939,1.463,0.339,1.287,0.136,0.845,0.898,2.271,1.041,1.164,4.783,1.418
"5","Uruguay","May",1.23,-1.783,0.23,0.638,-1.262,0.478,2.95,-2.088,1.037,0.181,-1.613,2.046,-0.045,1.522,1.313,-0.125,-1.546,-0.733,-1.081,2.241,3.567,1.246,-0.082,0.208,0.421,0.003,-2.486,-2.928,-0.06,-0.734,2.071,-0.387,-0.15,2.021,-0.345,-0.165,1.21,0.531,-0.977,0.045,-0.136,2.015,0.712,-1.136,0.875,-1.496,-2.423,0.529,1.465,0.79,-0.285,2.312,-0.312,-0.069,1.85,-1.921,1.319,1.695,1.318
"6","Uruguay","June",0.144,-0.002,0.859,-2.448,3.253,1.122,-2.982,-0.087,1.104,-0.378,-2.677,2.502,1.434,-1.29,1.657,-0.748,0.76,-0.425,-0.298,-0.137,-0.988,0.64,-1.677,-1.578,1.131,2.652,-0.293,-2.201,0.264,-1.287,-0.057,2.205,0.309,1.483,-0.76,-1.627,0.315,0.204,-0.481,1.622,1.805,-0.745,1.222,1.244,3.463,1.236,-0.987,-1.158,-1.154,0.409,-0.322,0.109,0.169,0.107,1.832,-1.605,2.373,-0.883,3.4
"7","Uruguay","July",-0.302,-2.488,1.587,-1.615,-0.953,0.953,-0.361,1.793,1.112,-0.051,0.993,-0.827,-0.68,1.898,-0.982,-0.411,1.123,1.189,1.102,-1.071,0.192,0.409,-1.935,-1.156,0.691,0.521,1.99,-1.034,-1.274,-1.054,-0.82,-2.721,-1.775,0.091,0.438,-2.386,2.083,1.383,-0.492,-2.165,0.487,-0.46,-0.5,0.108,0.942,2.927,-2.982,2.713,-2.185,-0.609,-1.178,-2.614,-0.093,1.017,0.843,-0.161,2.951,-0.592,-0.358
"8","Uruguay","August",1.806,-0.299,-0.495,-0.632,0.462,-1.826,0.315,1.33,-1.382,0.323,0.454,-0.292,-0.921,-0.331,-0.521,-0.157,-0.207,-0.146,1.554,-0.001,1.985,0.995,-0.057,-1.893,0.11,0.438,-0.204,0.264,1.868,2.19,1.065,-0.181,0.242,-0.187,-0.051,2.343,2.181,0.191,0.855,0.018,3.883,1.78,-0.869,1.319,1.396,-0.359,-2.074,-0.068,2.034,-0.714,-0.873,2.616,-1.201,1.75,3.665,1.425,2.705,-0.646,-0.263
"9","Uruguay","September",-0.192,0.159,0.643,-0.137,-0.857,-1.759,0.826,0.079,0.501,1.075,1.714,1.009,-0.646,-1.292,0.42,-0.297,1.913,1.172,-0.748,-0.627,-0.214,1.984,-1.044,0.049,0.901,1.238,-1.371,-0.912,-0.844,-0.838,1.702,0.077,-0.684,1.644,0.545,-0.165,0.337,-0.5,1.028,-0.097,0.642,-0.163,-0.134,1.262,-0.872,-0.264,2.504,-0.349,-0.735,0.686,0.745,1.203,0.736,1.687,0.128,-0.365,2.396,2.736,0.012
"10","Uruguay","October",2.013,-1.193,-0.56,-1.407,0.588,-1.286,1.417,0.633,-1.121,-0.75,0.335,-0.835,0.128,-0.264,0.057,-0.179,2.216,1.245,0.783,0.29,-0.198,-0.121,1.329,1.664,0.769,0.206,0.371,-0.444,0.045,2.049,-0.02,0.544,1.326,0.353,-0.377,1.483,0.846,1.315,0.37,0.62,1.706,2.455,1.411,0.04,-0.573,2.214,1.825,0.62,0.061,-0.444,0.049,1.47,0.878,3.118,-0.675,0.613,0.825,0.751,0.871
