"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","USSR","January",1.282,1.8,-0.276,-1.904,0.647,2.521,-1.108,-0.378,-4.415,-0.157,0.995,-4.154,-1.237,-1.154,2.639,1.503,-2.959,0.358,0.004,-1.245,2.714,0.652,2.799,2.29,-1.346,2.308,-0.999,1.561,1.771,1.684,1.922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","USSR","February",1.693,1.844,1.554,-1.1,-1.177,2.501,-0.991,0.326,-4.474,1.183,0.631,-2.865,2.746,-0.124,0.696,-3.062,1.183,-0.615,0.901,-0.868,2.274,-0.495,1.869,-2.404,-2.045,-1.154,1.692,0.367,1.99,3.575,-0.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","USSR","March",1.737,1.417,-1.251,-0.864,0.071,1.753,1.006,1.422,-1.871,0.886,0.655,-0.875,0.669,1.156,1.834,-1.959,2.354,1.474,1.222,-1.648,1.725,0.065,0.868,0.476,-1.865,-0.485,-1.742,0.706,3.195,3.214,0.726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","USSR","April",0.814,0.694,-0.218,-1.177,-1.485,0.478,0.05,0.332,-0.968,1.329,-0.358,1.073,0.616,-0.701,1.909,0.401,1.291,0.087,-0.242,0.556,-0.923,1.084,1.782,0.351,0.906,1.106,-1.956,0.5,0.937,0.76,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","USSR","May",1.354,-0.005,0.905,-0.639,-0.504,-0.123,0.711,0.478,-0.396,0.519,0.869,-0.183,-0.044,-0.085,1.154,-0.269,0.693,-0.989,0.326,-0.457,-0.064,0.582,1.286,0.572,0.956,0.208,0.206,-0.014,-0.037,0.286,-0.869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","USSR","June",1.051,-0.866,-0.384,0.915,-0.08,0.536,-0.706,-0.15,0.029,-0.221,-0.012,0.538,0.331,-0.169,1.01,-0.837,1.019,-0.947,0.183,0.345,0.159,-0.86,-0.332,-0.204,0.282,0.271,-0.06,1.113,0.516,0.8,0.293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","USSR","July",0.047,0.221,0.346,-0.252,-0.408,0.718,-0.397,-0.737,-0.887,-0.03,0.339,0.422,0.467,-0.573,1.177,-0.35,-0.33,-0.174,-0.494,0.751,0.387,-0.328,0.758,0.481,-0.457,0.395,-0.253,1.211,0.715,-0.063,0.846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","USSR","August",-0.092,-0.175,0.063,-0.942,-0.544,0.657,0.126,-0.065,-0.295,-0.092,0.063,0.02,0.075,-0.857,0.618,0.306,-0.41,-0.792,0.49,-0.588,-0.225,-0.273,0.428,0.361,0.577,0.449,-0.403,-0.268,0.501,0.124,0.398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","USSR","September",-0.246,-0.435,0.669,-0.121,0.322,-0.381,0.146,0.291,-0.609,-0.233,0.353,-0.266,-1.383,0.091,1.264,-0.423,-0.365,0.362,0.836,-0.245,0.412,0.104,0.383,0.314,-0.137,0.387,-0.5,0.329,0.176,0.432,0.569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","USSR","October",-0.327,0.296,1.058,-0.486,-0.638,0.615,1.415,-0.381,-0.325,-0.431,0.111,0.453,-0.099,1.355,-0.38,-2.525,-1.128,0.465,0.349,0.208,0.789,-0.209,0.262,0.813,-0.337,0.227,-1.903,-0.137,1.062,0.416,1.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","USSR","November",0.72,-0.16,0.993,0.43,-0.804,0.18,1.301,0.07,1.023,1.115,1.325,1.104,-0.159,0.872,-1.743,-0.799,1.898,0.058,0.4,1.133,0.293,-0.673,0.884,-0.127,-0.364,-0.061,-0.494,-0.515,-0.244,2.081,0.968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","USSR","December",0.511,-0.574,-1.472,-0.355,1.311,-0.334,-0.053,-0.949,0.052,-0.706,2.198,-0.133,-0.135,0.116,0.182,-0.562,-0.978,-0.894,1.849,2.139,1.306,0.859,0.823,-3.638,0.16,-0.728,0.804,1.369,1.598,0.618,0.252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
