"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Uzbekistan","January",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.828,1.338,0.438,2.184,-1.258,3.199,-0.24,2.814,2.926,0.229,5.263,3.617,5.138,1.735,-4.835,3.893,-9.334,1.883,3.145,0.598,-0.823,3.331,1.129,2.624,5.739,3.26,1.453,5.43
"2","Uzbekistan","February",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.97,1.268,-3.098,2.921,-0.85,0.623,-0.202,6.906,2.797,2.239,4.8,1.751,6.072,-2.273,4.848,3.59,-2.306,4.069,-1.07,-0.834,-4.168,3.579,-5.367,3.516,5.962,0.162,1.385,3.398
"3","Uzbekistan","March",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.69,-0.426,0.403,0.782,-2.105,1.932,-0.947,-0.341,1.561,4.302,4.577,-0.85,3.42,4.455,3.81,0.755,7.49,3.885,3.24,0.999,-0.175,4.1,1.73,0.35,5.683,2.332,4.595,4.642
"4","Uzbekistan","April",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.214,-1.603,2.35,-1.797,2.133,1.455,-0.581,4.592,2.455,-0.69,-1.563,-0.653,1.393,1.883,2.547,2.682,-2.213,2.079,2.347,5.434,0.557,-0.876,1.788,1.437,0.456,0.582,0.8
"5","Uzbekistan","May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.755,-1.738,0.643,0.269,0.111,0.096,-0.834,-0.122,1.089,3.832,-1.469,-1.555,1.535,1.002,1.819,1.125,2.756,0.657,1.069,2.51,1.993,1.316,3.535,1.651,1.821,2.796,0.721,2.566
"6","Uzbekistan","June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.476,0.645,1.038,1.091,0.831,1.973,1.179,-0.14,0.477,1.788,-0.471,-1.418,1.41,1.811,1.917,1.45,1.886,0.41,2.216,1.657,1.9,1.346,2.399,2.782,1.632,1.323,0.507,1.089
"7","Uzbekistan","July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.223,0.264,-0.451,1.343,0.637,1.351,1.161,-0.539,0.571,-0.463,0.241,0.115,-0.52,1.506,-0.247,0.572,1.438,0.377,0.749,1,1.359,0.953,-0.48,1.897,1.042,1.893,3.04,3.197
"8","Uzbekistan","August",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.513,-0.348,1.515,1.438,-0.189,0.51,1.762,2.84,2.302,0.205,1.517,1.596,0.719,0.189,2.215,1.391,2.069,0.376,1.888,1.923,2.419,0.494,2.341,0.61,1.783,1.264,0.522,0.641
"9","Uzbekistan","September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.864,-0.254,-1.811,0.441,1.098,0.642,1.151,0.492,0.654,-0.71,1.594,0.803,1.308,2.812,0.114,1.076,0.045,0.635,0.474,1.221,0.453,2.678,0.917,0.673,2.655,1.697,0.588,0.542
"10","Uzbekistan","October",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.624,-1.366,1.106,0.027,0.206,4.944,0.458,2.842,-1.654,-0.267,3.036,2.901,0.054,1.843,3.269,-0.369,1.157,1.469,2.815,1.513,2.275,1.079,-1.268,0.318,-1.566,1.397,0.967,2.322
