"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Vanuatu","January",0.084,0.302,-0.265,0.093,-0.104,0.069,-0.137,-0.102,-0.214,0.254,-0.227,-0.339,0.398,0.201,0.417,-0.13,-0.185,0.607,-0.193,0.63,0.147,0.485,0.564,-0.794,NA,0.737,-0.364,0.546,0.038,0.579,0.121,-0.282,-0.661,1.576,0.059,-0.034,0.539,0.757,NA,0.36,0.776,1.846,0.091,1.349,1.279,0.616,0.526,0.204,0.85,0.42,0.862,-0.06,0.619,1.056,0.745,1.26,1.044,0.749,0.675
"2","Vanuatu","February",0.588,-0.189,0.075,0.442,-0.116,0.033,0.103,0.054,-0.152,0.061,-0.139,-0.427,0.67,0.172,-0.34,-0.52,-0.224,-0.269,-0.008,0.748,0.518,-0.184,-0.027,-1.043,0.943,0.045,-0.37,0.738,-0.189,0.091,0.502,0.566,-0.707,0.787,0.171,0.779,0.61,0.677,1.245,0.724,0.281,1.097,1.001,1.632,1.248,0.226,0.647,0.473,0.565,0.575,0.606,0.281,0.488,0.83,1.43,2.215,0.984,0.77,0.914
"3","Vanuatu","March",0.216,-0.28,-0.102,0.349,-0.279,0.055,0.041,-0.342,0.006,0.777,-0.173,-0.098,0.642,-0.208,-0.372,-0.221,0.045,0.32,0.583,0.482,0.466,0.008,0.19,-0.681,0.453,-0.166,-0.503,-0.166,-0.304,0.627,0.378,0.296,NA,0.495,0.622,0.697,1.124,NA,1.022,0.196,0.9,0.529,1.271,0.682,0.683,0.891,0.645,0.176,0.833,0.599,0.427,0.937,0.344,0.796,0.517,1.79,1.457,0.833,1.127
"4","Vanuatu","April",-0.145,-0.07,-0.118,0.315,-0.515,0.084,-0.325,-0.528,0.459,0.166,-0.359,-0.147,-0.173,0.327,-0.152,-0.109,0.25,0.222,0.602,0.309,0.386,0.206,0.632,0.403,0.78,0.28,-0.283,0.526,0.027,0.219,0.481,0.253,0.135,0.284,0.939,0.966,0.303,2.236,0.878,0.902,1.306,1.232,1.075,0.368,0.68,0.742,0.705,0.498,0.719,0.788,0.69,0.297,1.493,0.735,1.037,1.47,1.281,0.558,1.133
"5","Vanuatu","May",0.128,0.472,-0.238,-0.04,-0.879,-0.726,0.281,-0.411,0.579,-0.052,-0.189,0.673,0.705,0.237,-0.072,0.182,-0.128,0.1,-0.097,0.547,0.385,0.106,0.698,0.299,-0.215,0.282,0.373,1.181,0.111,0.685,0.235,-0.021,0.014,0.36,0.097,-0.064,0.552,1.594,0.908,1.544,NA,0.994,1.545,0.581,1.051,0.864,0.992,0.027,0.121,1.014,1.088,0.563,0.886,0.372,0.735,1.334,1.798,0.3,1.018
"6","Vanuatu","June",0.421,-0.151,0.503,0.322,-0.777,-0.271,0.121,-0.204,0.415,0.196,0.47,-0.242,0.809,0.324,-0.158,0.196,0.183,-0.075,0.472,-0.316,0.129,0.07,0.487,0.609,0.238,-0.475,-0.536,1.037,0.553,0.517,-0.014,0.669,0.063,-0.457,0.206,-0.021,0.452,0.606,0.259,1.234,0.517,1.922,0.869,0.788,0.476,0.449,1.837,0.587,0.934,1.931,1.351,1.023,1.302,1.235,0.529,1.438,1.366,0.346,0.988
"7","Vanuatu","July",0.395,0.067,-0.286,0.164,-0.718,-0.661,-0.246,-0.28,-0.049,0.364,0.145,-0.799,0.65,0.636,0.267,-0.071,0.705,0.326,-0.282,-0.118,0.335,-0.069,-0.102,0.902,0.061,-0.895,-0.158,0.902,0.299,0.809,0.3,0.284,0.185,-0.854,0.513,0.83,0.489,0.674,1.675,0.551,0.366,0.454,0.65,0.276,0.031,-0.1,1.012,1.432,1.052,0.815,1.142,0.745,1.155,0.108,1.081,1.498,1.099,0.974,0.8
"8","Vanuatu","August",0.216,0.305,0.299,0.501,-1.232,-0.513,0.448,-0.465,0.349,1.093,0.687,-1.176,0.871,-0.131,0.403,-0.058,0.174,0.306,-0.872,-0.146,-0.772,-0.193,0.173,0.323,0.563,-0.452,-0.1,1.38,0.672,0.754,0.69,-0.067,-0.698,0.233,0.729,0.569,-0.03,1.503,1.209,1.854,1.873,NA,-0.321,0.338,0.25,-0.077,1.902,1.959,0.414,1.823,1.108,0.927,1.189,1.399,0.353,1.13,1.511,0.843,1.65
"9","Vanuatu","September",0.411,0.02,-0.138,0.093,-0.805,-0.437,0.055,-0.638,-0.279,0.655,0.337,-0.513,0.461,0.479,0.478,-0.532,-0.629,0.046,-0.233,-0.183,-0.314,-0.235,0.319,0.223,0.621,-0.601,-0.129,1.121,0.597,0.182,-0.477,0.352,-0.468,-0.95,0.961,1.207,0.003,1.026,1.428,1.393,1.391,0.261,-0.709,0.252,0.925,0.544,1.203,1.809,1.051,2.619,1.179,0.811,0.902,1.449,0.362,1.207,1.167,0.753,1.114
"10","Vanuatu","October",0.109,0.465,-0.671,0.471,-0.912,-0.479,0.001,0.016,-0.346,0.56,0.235,-0.302,0.617,0.191,0.384,0.343,-0.256,-0.418,0.433,-0.04,0.158,-0.327,0.154,0.239,0.56,0.079,0.511,0.521,0.588,0.618,-0.032,-0.613,-0.358,-1.03,0.927,0.816,-0.233,1.042,1.287,1.357,0.952,-0.122,0.015,-0.268,0.36,0.158,1.18,1.665,0.576,1.491,0.996,1.034,0.809,0.695,0.759,0.981,1.64,1.113,1.288
"11","Vanuatu","November",0.033,-0.217,-0.41,0.695,-0.764,-0.545,-0.488,-0.332,-0.206,-0.3,-0.051,0.25,1.023,0.373,-0.076,0.439,-0.159,0.191,0.41,-0.1,0.053,0.26,0.102,0.183,0.477,0.28,0.042,0.54,0.376,0.655,-0.59,0.304,0.499,0.339,0.612,0.163,0.105,0.093,0.636,1.175,1.143,-0.249,0.335,0.449,0.672,1.094,0.821,1.333,0.309,0.988,0.868,0.326,1.491,0.535,1.519,1.504,1.233,NA,1.032
"12","Vanuatu","December",0.32,-0.281,-0.402,0.041,-0.131,-0.877,0.102,-0.055,-0.104,-0.154,-0.58,0.133,0.549,-0.368,-0.115,0.318,0.322,0.288,-0.081,0.021,0.377,-0.068,-0.297,0.609,0.321,-0.016,0.605,-0.39,0.158,0.199,-0.239,0.038,NA,-0.501,0.438,0.99,1.162,2.302,1.012,0.512,1.29,0.138,0.846,0.673,1.025,0.575,0.715,1.257,0.206,0.891,0.779,1.023,1.221,1.076,1.377,1.17,0.585,0.928,1.27
