"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Venezuela (Bolivarian Republic of)","January",0.229,-0.23,-0.154,0.158,-0.264,0.607,-0.143,-0.38,0.184,0.438,-0.131,-0.485,1.102,-0.707,-0.382,-0.771,0.652,0.434,0.498,0.792,0.891,0.352,0.969,0.222,-0.506,0.066,0.327,0.382,-0.418,0.155,0.644,0.296,0.632,0.498,0.759,0.587,0.329,1.494,0.382,0.16,0.177,0.869,1.943,0.902,0.871,0.506,1.218,0.554,0.765,1.535,0.711,0.398,1.308,1.051,1.439,1.771,0.117,1.169,1.129
"2","Venezuela (Bolivarian Republic of)","February",-0.113,-0.391,-0.201,0.559,-0.559,0.314,-0.302,-0.249,0.253,0.167,-0.482,-0.292,0.728,-0.338,-0.272,-0.61,0.801,1.18,0.544,0.695,0.756,0.279,0.854,0.284,-0.504,-0.183,0.763,0.446,-0.582,-0.014,1.078,0.557,0.898,0.304,0.727,0.985,-0.112,2.127,0.062,-0.158,0.136,0.821,1.156,1.409,0.663,0.373,1.256,0.443,0.464,2.402,0.742,0.216,0.659,0.95,0.955,1.69,-0.571,0.346,1.098
"3","Venezuela (Bolivarian Republic of)","March",0.122,-0.148,-0.341,0.402,-0.15,0.198,-0.475,-0.34,0.803,0.144,-0.438,-0.28,0.748,-0.441,0.073,-1.062,0.364,0.599,0.229,0.539,0.706,-0.01,1.385,0.366,-0.372,-0.049,0.817,0.539,-0.787,-0.514,0.393,0.943,0.59,0.548,0.764,0.878,-0.105,1.235,0.172,-0.366,0.509,0.538,1.468,0.978,1.694,0.404,0.617,0.224,0.116,2.236,-0.08,-0.077,1.319,1.377,0.705,2.068,0.234,0.722,1.422
"4","Venezuela (Bolivarian Republic of)","April",0.357,0.256,-0.518,-0.032,-0.093,0.368,-0.565,-0.501,0.656,0.319,-0.571,-0.489,0.652,-0.374,-0.081,-0.652,0.764,0.104,0.127,0.765,-0.201,-0.48,0.437,0.621,0.31,0.459,0.984,0.826,-0.029,0.244,0.056,1.362,0.513,0.248,0.877,1.075,0.71,0.891,-0.177,0.204,0.579,0.364,1.339,0.997,1.051,0.989,0.869,0.779,0.646,0.974,0.285,0.013,0.994,0.85,1.209,1.024,0.703,0.129,1.177
"5","Venezuela (Bolivarian Republic of)","May",0.75,-0.081,-0.84,0.222,-0.245,0.339,-0.219,-0.717,0.924,0.313,-0.512,-0.183,0.495,-0.288,-0.172,-0.266,0.096,0.29,0.603,0.265,-0.138,-0.105,0.162,0.455,-0.118,0.164,0.261,0.783,-0.331,0.076,0.493,0.641,0.233,0.421,0.963,0.538,0.69,0.703,0.763,0.537,0.966,0.044,1.308,0.159,0.95,0.391,1.117,0.378,1.215,1.108,0.182,0.389,0.855,0.965,1.521,0.737,0.94,0.33,1.228
"6","Venezuela (Bolivarian Republic of)","June",0.269,-0.591,-0.136,-0.289,-0.366,0.118,-0.247,-0.296,0.967,0.185,-0.316,0.502,0.368,0.442,-0.047,-0.399,0.022,-0.146,-0.005,0.59,0.163,0.326,0.492,0.215,-0.205,-0.021,0.758,0.364,0.042,0.442,0.624,0.611,0.458,0.079,0.708,0.206,0.904,0.94,0.863,0.444,0.557,0.263,1.104,0.381,1.012,0.9,0.805,1.15,1.186,1.319,0.815,0.829,0.902,1.301,1.566,0.904,0.997,0.916,1.363
"7","Venezuela (Bolivarian Republic of)","July",-0.217,-0.202,-0.046,-0.295,0.097,0.025,-0.346,-0.065,0.572,0.017,-0.163,0.382,0.18,-0.052,-0.522,-0.292,0.465,0.26,0.284,0.46,0.045,0.397,0.796,0.082,0.092,0.123,0.713,-0.187,-0.136,0.438,0.152,0.057,0.763,-0.31,0.757,0.216,0.672,1.107,0.656,0.69,0.948,0.908,0.716,0.374,0.807,1.054,0.96,0.719,1.279,1.157,1.121,0.98,1.224,1.415,1.442,1.404,1.277,0.932,1.327
"8","Venezuela (Bolivarian Republic of)","August",-0.104,-0.14,0.293,-0.163,-0.213,-0.071,-0.316,-0.069,0.327,-0.196,-0.378,0.222,0.239,-0.127,-0.121,0.247,0.444,-0.487,0.628,0.515,0.138,0.318,0.665,-0.043,-0.329,0.354,0.552,0.04,0.371,0.287,-0.187,-0.015,0.722,0.097,0.584,0.354,0.868,1.231,0.296,0.701,0.994,0.843,0.923,0.542,0.848,1.04,0.462,0.891,1.215,1.136,1.379,0.689,0.955,1.016,1.502,1.239,1.556,0.978,1.261
"9","Venezuela (Bolivarian Republic of)","September",-0.261,0.043,0.326,-0.177,0.067,-0.127,-0.176,-0.041,0.539,-0.379,-0.444,0.312,-0.494,-0.565,-0.352,0.408,0.168,0.084,0.352,0.587,-0.069,0.597,0.345,-0.633,-0.145,-0.048,0.615,-0.429,0.066,0.517,0.029,-0.033,0.274,0.068,0.822,0.355,0.95,1.004,0.258,0.197,0.53,0.919,0.731,0.727,0.824,1.073,0.495,0.833,1.531,0.696,0.753,0.916,0.857,0.863,1.8,0.83,1.502,0.986,1.241
"10","Venezuela (Bolivarian Republic of)","October",-0.153,0.073,0.418,-0.405,0.243,0.02,-0.188,0.055,0.012,0.213,-0.648,0.318,-0.241,-0.287,-0.432,0.286,0.348,0.152,0.413,0.352,0.186,-0.153,0.255,-0.543,-0.126,-0.259,0.589,-0.3,-0.224,0.361,-0.108,0.166,0.775,0.293,0.473,0.33,1.211,0.71,0.037,0.292,0.99,1.002,0.981,0.855,0.657,0.857,0.206,0.59,1.073,0.903,0.684,0.862,1.03,0.813,1.705,1.128,0.713,1.015,0.92
