"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Viet Nam","January",-0.404,-1.388,-2.006,1.211,-0.463,1.684,-1.078,0.048,1.678,-0.096,-1.133,-0.615,0.816,-0.572,0.734,-0.758,-1.091,0.486,1.296,0.842,0.248,1.008,-0.715,-1.251,-0.454,-0.072,1.767,1.733,0.061,0.96,1.498,-0.723,-0.356,1.184,0.239,0.112,0.57,1.941,1.122,1.378,1.774,0.736,0.085,0.866,0.516,0.95,0.256,0.089,-0.562,1.995,-1.518,0.241,0.657,-0.252,0.457,1.569,2.512,1.03,1.698
"2","Viet Nam","February",-0.137,-0.533,-1.039,-0.507,1.168,1.593,-1.131,-2.351,0.105,0.743,-0.795,0.034,2.104,-1.083,0.784,0.392,-1.941,-0.032,1.582,-0.525,1.027,0.24,-0.134,-0.508,0.982,-0.214,1.644,0.902,-0.329,0.796,0.988,-0.374,0.467,1.544,-0.386,-0.921,-0.177,1.67,1.419,-0.175,0.463,1.235,2.151,0.333,1.805,1.5,2.172,-2.394,2.933,2.719,0.244,0.343,2.34,-0.133,1.047,-0.494,1.363,-0.28,3.32
"3","Viet Nam","March",0.288,-0.698,-1.005,0.08,-0.546,1.152,-0.416,-0.293,0.259,-0.294,-0.591,-0.661,1.254,-1.426,0.694,-0.744,-0.681,0.548,0.758,1.448,1.12,0.5,-0.846,-0.086,-1.541,-0.386,2.002,-0.706,-0.831,-0.071,1.145,0.006,0.162,-0.984,-0.23,0.29,0.273,1.282,1.418,-0.001,0.72,1.028,0.852,0.308,-0.622,0.51,1.077,-0.1,1.055,1.117,-2.267,0.576,2.034,0.346,1.513,0.263,0.888,1.072,1.94
"4","Viet Nam","April",0.051,-0.464,-0.517,0.781,0.206,0.796,-0.583,-1.244,0.161,-0.334,0.051,-0.915,0.986,-0.532,0.679,-0.575,-0.193,0.127,0.324,0.523,1.031,-0.892,0.558,0.755,-1.002,0.512,0.482,-0.587,0.14,0.657,0.087,0.653,0.224,1.065,0.846,-1.392,-0.102,1.546,0.934,0.255,1.031,1.455,1.585,0.836,0.613,1.521,-0.084,0.748,0.418,0.614,-0.725,1.277,0.952,1.19,0.923,1.815,0.786,0.339,2.66
"5","Viet Nam","May",-0.174,0.296,0.153,-0.38,-0.27,-0.678,0.331,-0.223,1.088,0.127,-0.498,0.594,0.321,-0.102,0.151,-0.615,0.798,-0.265,-0.042,0.069,-0.246,-0.148,0.567,-0.575,0.29,-0.433,1.322,0.675,-0.73,-0.854,0.239,0.426,-0.009,0.537,0.029,-0.176,0.274,1.286,-0.849,-0.028,0.031,0.547,1.08,-0.212,1.702,0.319,-0.301,-0.359,-0.535,1.538,-0.088,1.242,0.888,1.26,2.3,1.234,0.431,1.164,1.376
"6","Viet Nam","June",-0.32,-0.186,0.129,-0.075,-0.325,-0.053,0.206,-0.175,0.502,-0.145,-0.099,0.151,0.477,-0.089,-0.364,-0.303,1.122,0.031,-0.259,-0.353,-0.179,-0.018,1.014,0.063,0.179,0.617,0.897,0.464,0.055,0.006,0.276,0.318,0.876,-0.127,0.829,0.175,0.529,1.509,0.635,-0.049,0.378,0.471,1.011,0.268,1.409,1.064,0.991,0.138,1.046,1.262,0.745,1.304,0.637,1.106,1.629,1.475,1.383,0.986,2.252
"7","Viet Nam","July",0.155,-0.048,-0.159,0.053,0.122,-0.032,0.166,0.378,0.018,-0.038,-0.35,0.104,-0.072,0.005,-0.003,-0.173,0.197,-0.111,0.456,0.086,0.046,0.382,0.961,0.145,-0.042,0.146,0.685,0.447,-0.009,0,0.015,-0.376,0.549,-0.233,0.17,0.213,-0.23,1.156,0.811,0.274,0.708,0.836,0.802,-0.068,0.528,0.472,0.488,0.161,0.512,0.837,0.889,0.353,0.177,0.445,0.753,1.166,0.281,0.774,1.55
"8","Viet Nam","August",0.026,-0.22,-0.16,0.046,-0.14,0.032,0.159,0.352,0.192,0.027,-0.437,-0.051,-0.05,-0.187,-0.051,-0.341,0.512,0.069,0.127,0.157,0.801,0.348,0.194,0.128,0.341,0.279,0.353,0.393,0.14,0.787,0.252,0.487,0.485,0.194,0.382,0.319,0.551,1.008,0.549,0.55,0.406,0.105,0.73,0.521,0.96,0.424,0.373,0.375,0.918,0.323,0.672,0.888,0.432,0.592,1.277,1.476,1.059,0.951,1.474
"9","Viet Nam","September",0.236,-0.131,0.542,0.154,-0.209,-0.481,-0.104,0.154,0.129,0.302,0.156,0.138,0.104,0.301,0.089,0.244,-0.147,-0.596,0.155,-0.309,0.859,-0.168,0.615,-0.056,-0.098,0.094,0.225,0.394,0.727,0.698,0.671,0.825,0.219,-0.01,0.2,0.116,-0.514,0.663,0.661,0.315,0.938,0.352,0.765,0.473,0.715,0.273,0.495,0.637,0.807,1.117,0.591,0.08,0.145,1.109,1.415,1.328,1.886,1.19,1.029
"10","Viet Nam","October",0.206,0.075,-0.291,0.428,0.613,0.363,-0.531,-0.073,0.745,-0.295,-0.866,0.885,-0.223,-0.084,-0.037,0.381,0.57,-0.418,-0.467,0.245,0.245,0.884,0.406,-0.485,0.482,-0.062,1.221,-0.447,0.059,0.286,0.235,-0.81,-0.5,-0.421,0.937,0.613,0.99,0.808,0.656,0.545,0.881,0.677,0.741,0.278,0.72,1.619,0.394,1.042,1.133,0.192,0.465,1.065,0.079,0.907,1.478,1.952,0.972,1.288,1.559
"11","Viet Nam","November",0.579,0.024,1.232,-1.013,0.774,0.548,0.359,1.084,-0.433,-0.195,-1.363,0.851,-0.662,0.216,-0.691,-1.291,-0.41,-0.255,-0.523,0.944,0,1.09,-0.686,1.068,0.828,-0.019,0.887,-0.615,0.334,0.814,0.163,-0.857,0.537,1.155,-0.222,0.932,1.554,1.074,0.783,0.186,-0.295,0.71,1.221,1.204,1.247,2.336,-0.355,0.517,0.549,0.228,1.558,2.019,1.111,1.621,2.806,1.828,1.113,2.091,1.634
"12","Viet Nam","December",0.565,-0.547,0.08,-1.068,0.806,1.033,-1.305,2.131,-0.538,0.655,-0.366,0.493,-1.207,0.254,-2.389,0.144,1.045,0.664,0.334,0.151,-1.299,-1.493,-1.023,-0.389,0.164,0.517,-0.971,0.076,0.021,0.888,0.823,0.745,-0.555,1.308,-0.587,-0.276,1.393,0.945,-1.628,1.248,0.19,1.536,0.091,0.319,-0.426,0.685,1.617,-0.086,1.324,0.985,-0.334,1.661,-1.39,-0.115,1.44,1.857,0.244,1.606,1.246
