"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Wake Island","January",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4,-0.14,0.21,0.33,1.27,1.28,-0.73,1.34,1.19,0.44,0.81,0.53,1.33,0.75,0.63,0.48,-0.13,0.8,0.76,0.88,0.46,0.9,3.53,0.58,NA,0.93,1.14,1.36,-0.12,1.48,NA,0.73,-0.17,0.56,0.82,0.65,0.27,NA,0.68,0.63,0.88,1.18,NA
"2","Wake Island","February",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.078,-0.023,0.347,-0.403,0.978,0.748,-0.043,1.798,1.577,0.447,0.308,0.428,0.078,-0.252,0.127,0.567,0.047,1.058,0.168,0.317,0.967,0.848,0.038,2.017,1.617,1.508,1.018,1.447,-0.072,0.627,NA,0.527,0.327,0.018,-0.243,1.087,0.598,NA,-0.273,0.428,0.728,0.548,NA
"3","Wake Island","March",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.647,-0.408,0.733,0.322,1.342,0.772,-0.218,1.803,1.023,0.242,0.262,1.212,-0.668,-0.218,0.412,0.002,0.482,0.472,-0.198,0.952,0.543,1.232,-0.418,0.543,0.592,0.842,0.993,0.262,-0.198,-0.498,0.152,0.303,-0.498,0.282,0.533,0.433,1.003,1.112,0.603,NA,1.033,-0.198,0.683
"4","Wake Island","April",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.873,0.078,0.488,0.308,1.268,-1.003,-0.962,1.628,0.498,0.027,-0.322,0.767,0.228,-0.582,0.268,0.147,0.908,0.417,0.248,1.337,1.077,-0.192,1.467,-0.343,0.957,-0.553,0.248,0.668,-0.162,0.338,-0.062,0.338,0.587,-0.013,0.897,0.268,0.877,1.638,-0.463,NA,NA,0.237,1.188
"5","Wake Island","May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.21,-0.37,0.59,-0.01,0.73,-0.58,-0.58,1.64,1.06,-0.67,-0.56,0.39,0.19,-0.14,0.67,-0.63,0.34,0.4,-0.61,2.09,0.35,0.22,0.67,-0.33,1.2,0.06,-0.12,0.81,0.29,-0.21,0.44,0.44,0.44,-0.06,0.33,-0.19,1.1,1.14,0.19,NA,NA,-0.01,0.69
"6","Wake Island","June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.066,-0.106,-0.496,0.464,0.204,0.854,-0.706,-0.616,0.774,0.364,-0.126,-0.566,0.394,-0.266,-0.216,0.184,-0.006,0.674,0.184,0.394,1.714,1.254,0.174,0.264,-0.456,0.764,0.734,0.044,0.034,0.634,-0.416,0.034,-0.366,1.234,0.244,0.464,0.284,1.354,1.144,0.034,NA,0.484,-0.016,0.734
"7","Wake Island","July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.568,-0.318,-0.618,1.012,0.492,0.292,0.342,-0.348,0.402,0.472,0.132,-0.188,0.262,-0.688,-0.708,0.642,0.032,0.542,-0.138,0.822,0.342,0.382,-0.528,0.002,-1.778,0.052,0.452,-0.418,0.362,-0.238,-0.288,-0.638,-1.138,0.262,0.002,-0.568,-0.398,0.292,1.102,NA,0.252,0.772,-0.408,0.062
"8","Wake Island","August",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.016,-0.436,0.734,-0.696,0.414,-0.056,0.894,0.504,1.714,0.324,-0.136,0.624,0.604,-0.406,0.434,0.244,1.074,0.984,0.464,1.294,1.184,1.014,-0.126,0.264,-1.306,-0.116,0.724,0.304,1.264,0.464,-0.636,0.014,-0.536,-0.186,0.414,0.044,0.064,1.974,1.124,1.064,-0.846,0.664,0.624,0.714
"9","Wake Island","September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.346,-0.406,0.334,-0.196,0.614,0.454,0.574,0.474,1.434,0.794,0.044,0.104,-0.106,-0.856,-0.096,0.554,-0.306,0.674,0.144,0.574,1.074,-1.886,-0.116,-0.486,NA,-0.946,0.144,0.144,0.114,0.014,NA,-0.936,-1.486,0.204,-0.066,-0.986,-0.696,0.464,0.744,0.664,-0.086,0.364,NA,0.864
"10","Wake Island","October",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.026,-0.856,0.684,0.444,-0.246,0.154,0.684,1.014,0.354,0.844,0.294,0.084,0.284,-0.466,-0.306,-0.196,0.404,0.444,-0.726,-0.276,0.814,-0.436,1.084,-0.986,0.954,-0.296,0.354,0.334,-0.436,-0.186,NA,-0.136,-0.686,0.524,-0.766,-0.226,0.054,NA,0.114,0.114,NA,0.114,-0.006,NA
"11","Wake Island","November",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.194,-0.376,0.344,-0.706,0.544,1.194,0.124,1.074,1.424,0.124,0.154,0.114,1.064,-0.046,0.174,0.464,-0.286,0.324,-0.936,0.784,0.674,-0.116,1.954,-0.476,NA,0.504,0.714,0.034,-0.046,0.454,0.744,-0.096,0.154,0.524,-0.036,0.094,0.364,1.404,0.904,0.434,0.594,0.104,0.854,NA
"12","Wake Island","December",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.042,-0.748,0.362,-0.288,0.632,1.472,-0.348,1.222,0.802,-0.018,0.142,0.022,0.922,0.162,0.452,0.342,-0.378,0.412,0.322,0.702,-0.018,-0.348,2.082,0.822,NA,0.852,0.772,0.512,-0.708,1.142,NA,0.392,-1.208,0.342,-0.768,0.902,-0.088,NA,0.792,0.492,NA,0.992,0.432,-0.258
