"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Wallis and Futuna Islands","January",0.917,-0.473,-0.173,0.222,-0.154,0.297,-0.128,-0.327,-0.083,0.127,-0.314,-0.314,0.692,-0.024,0.092,-0.504,0.312,-0.048,-0.048,0.376,0.676,-0.074,0.169,-0.416,-0.064,0.079,1.048,0.378,-0.323,0.067,0.289,-0.104,-0.002,0.176,0.552,0.436,0.462,0.768,0.18,0.364,0.906,0.756,1.466,0.634,1.388,0.587,1.556,-0.048,0.484,0.385,0.004,0.508,0.842,1.386,1.665,2.007,1.429,1.21,1.403
"2","Wallis and Futuna Islands","February",0.01,-0.08,0.47,0.573,-0.247,-0.147,-0.322,0.302,0.47,0.07,-0.697,-0.288,0.508,-0.567,-0.282,-0.617,0.213,0.018,0.558,0.892,-0.012,0.178,0.176,-0.072,0.218,-0.057,1.111,1,-0.931,0.272,0.467,0.287,0.062,0.535,0.161,0.687,0.464,0.801,-0.097,-0.004,0.583,1.251,1.234,0.755,1.569,0.093,0.936,0.605,0.775,1.162,-0.212,0.122,1.327,1.102,1.31,2.005,0.675,1.033,1.033
"3","Wallis and Futuna Islands","March",0.416,0.066,-0.534,0.227,-0.048,0.701,0.252,-0.123,0.916,-0.084,-0.499,-0.423,0.657,-0.269,-0.273,-0.494,0.027,-0.234,0.271,0.666,0.146,0.257,-0.043,-0.41,0.126,0.595,0.456,0.446,-0.029,-0.253,0.069,-0.181,-0.519,0.767,0.253,0.311,0.246,0.947,0.748,0.543,0.651,0.816,1.214,0.67,1.266,1.27,0.955,0.431,0.451,0.969,0.634,0.805,0.653,0.982,1.282,1.747,1.207,0.882,1.745
"4","Wallis and Futuna Islands","April",0.253,0.203,0.803,0.063,-0.436,0.289,-0.437,-0.537,-0.157,-0.147,0.168,0.413,0.414,-0.112,-0.517,0.133,-0.127,-0.207,0.103,0.363,-0.202,0.43,-0.04,0.306,-0.031,0.069,0.196,0.133,-0.427,-0.461,0.571,0.157,-0.122,0.323,-0.052,0.973,0.619,0.167,0.783,0.737,0.746,0.649,0.823,0.972,0.744,1.037,1.116,0.651,0.827,0.975,1.431,0.395,1.387,1.18,0.59,0.913,1.374,0.569,2.149
"5","Wallis and Futuna Islands","May",0.886,0.186,-0.064,0.114,-0.36,0.385,-0.386,0.115,-0.464,0.076,0.018,0.164,0.304,-0.417,-0.087,-0.262,-0.586,-0.017,0.184,-0.251,0.251,0.407,0.368,0.773,0.125,-0.034,-0.353,0.759,0.309,0.805,0.337,0.329,0.468,0.171,-0.18,0.029,0.269,0.448,0.461,1.07,1.354,1.349,1.721,1.11,0.984,0.742,0.827,0.828,1.174,1.625,1.542,0.584,1.169,0.55,0.437,1.492,1.34,0.795,0.732
"6","Wallis and Futuna Islands","June",0.358,-0.342,0.458,0.183,-0.541,-0.066,-0.716,0.358,0.008,0.058,0.213,0.008,0.687,0.133,0.048,-0.457,-0.376,0.197,0.508,-0.227,0.271,0.41,-0.393,0.256,-0.096,0.291,-0.855,0.298,0.143,0.897,0.412,0.365,-0.021,-0.351,0.569,0.479,-0.417,0.695,0.554,0.749,0.566,0.978,0.305,0.594,0.161,1.063,1.593,0.654,0.529,1.138,1.549,1.075,1.112,0.764,0.625,1.407,0.816,0.9,1.167
"7","Wallis and Futuna Islands","July",0.63,-0.37,0.82,-0.051,-0.156,-0.202,-0.576,0.423,-1.02,0.78,0.177,-0.217,0.268,0.558,0.093,-0.407,0.083,-0.117,-0.436,0.283,0.03,0.265,-0.324,-0.057,0.344,-0.197,-0.613,0.208,0.043,0.416,0.81,0.616,-0.394,0.166,0.686,0.739,0.189,0.265,1.215,0.742,0.872,0.757,1.205,0.523,-0.647,0.695,1.63,0.156,0.899,1.135,1.683,0.995,0.542,0.238,1.016,1.173,0.994,0.645,1.045
"8","Wallis and Futuna Islands","August",0.29,0.08,-0.01,0.6,-0.549,-0.474,-0.375,-0.429,-0.81,0.04,0.329,0.156,0.44,0.474,0.22,0.175,-0.279,-0.194,-0.125,-0.409,0.377,-0.422,-0.05,-0.132,0.257,-0.297,-0.417,0.551,0.121,0.887,0.567,0.101,0.101,0.091,0.801,0.406,0.181,0.781,0.355,1.027,0.871,1.059,0.217,1.091,0.207,1.275,1.475,1.525,0.565,1.29,0.975,1.327,1.162,0.645,0.508,1.252,1.253,0.519,1.523
"9","Wallis and Futuna Islands","September",0.647,-0.043,-0.043,0.002,-0.847,-0.123,0.277,-0.173,-0.603,-0.123,0.281,-0.148,0.321,0.541,0.302,-0.133,-0.443,-0.118,0.172,0.246,-0.003,-0.608,0.429,-0.116,-0.165,-0.121,-0.187,0.222,0.756,0.748,-0.09,0.453,-0.174,-0.084,0.926,0.626,-0.047,0.75,0.367,0.964,0.727,0.996,1.047,0.48,1.292,1.185,1.414,0.916,0.425,1.346,1.172,1.064,0.704,1.058,0.804,0.751,1.301,1.582,1.1
"10","Wallis and Futuna Islands","October",-0.654,0.596,-0.654,0.259,-0.64,-0.065,-0.29,-0.604,-0.264,-0.09,-0.261,-0.215,-0.216,0.493,0.219,0.645,-0.37,0.04,0.464,0.309,-0.427,0.01,-0.042,-0.595,-0.032,0.186,0.316,0.074,0.443,0.665,0.146,0.266,-0.457,0.343,0.683,0.213,0.57,0.748,-0.024,0.454,0.79,0.953,0.939,0.916,1.395,0.578,0.999,0.601,0.928,1.026,1.235,1.197,0.432,1.019,0.852,1.886,1.242,1.433,1.404
